t,H,L
0.0,2.18,4.44
1.0,2.178256623855692,4.443553551924613
2.0,2.1765313945607767,4.447075195011936
3.0,2.1748239429210066,4.450565519864079
4.0,2.173133910641159,4.454025100541419
5.0,2.1714609499027757,4.457454495178744
6.0,2.1698047229620845,4.460854246572854
7.0,2.1681649017669553,4.464224882743205
8.0,2.1665411675918267,4.467566917467063
9.0,2.1649332106895987,4.470880850790548
10.0,2.163340729959558,4.474167169516881
11.0,2.1617634326304627,4.477426347673017
12.0,2.16020103395796,4.480658846955837
13.0,2.158653256935572,4.48386511715894
14.0,2.157119832018529,4.487045596581062
15.0,2.1556004968597646,4.4902007124170495
16.0,2.1540949960574487,4.49333088113229
17.0,2.152603080913449,4.496436508821424
18.0,2.1511245092021674,4.499517991552131
19.0,2.149659044949219,4.502575715694731
20.0,2.1482064582194544,4.5056100582382985
21.0,2.146766524913864,4.508621387093946
22.0,2.145339026574911,4.5116100613859045
23.0,2.143923750199892,4.514576431730978
24.0,2.142520488061919,4.517520840506935
25.0,2.1411290375381613,4.520443622110356
26.0,2.139749200944996,4.523345103204431
27.0,2.1383807853797347,4.526225602957172
28.0,2.1370236025686182,4.529085433270496
29.0,2.1356774687207816,4.531924899000576
30.0,2.1343422043879134,4.534744298169875
31.0,2.1330176343293434,4.53754392217123
32.0,2.1317035873823094,4.5403240559643425
33.0,2.1303998963371704,4.543084978265013
34.0,2.1291063978173366,4.545826961727443
35.0,2.1278229321637085,4.548550273119903
36.0,2.1265493433234233,4.551255173494056
37.0,2.125285478742714,4.5539419183482135
38.0,2.1240311892637083,4.556610757784782
39.0,2.122786329024987,4.559261936662142
40.0,2.1215507553657433,4.561895694741207
41.0,2.1203243287333886,4.564512266826866
42.0,2.1191069125944555,4.567111882904547
43.0,2.117898373348658,4.5696947682720825
44.0,2.116698580245978,4.572261143667077
45.0,2.1155074053066505,4.574811225389961
46.0,2.1143247232439255,4.577345225422913
47.0,2.1131504113894946,4.579863351544797
48.0,2.1119843496214696,4.58236580744229
49.0,2.1108264202948153,4.58485279281735
50.0,2.109676508174129,4.5873245034911605
51.0,2.108534500368678,4.589781131504695
52.0,2.107400286269607,4.592222865216032
53.0,2.1062737574892187,4.594649889394549
54.0,2.1051548078022613,4.597062385312106
55.0,2.10404333308913,4.5994605308313465
56.0,2.1029392312809176,4.601844500491213
57.0,2.1018424023062385,4.604214465589786
58.0,2.100752748039759,4.606570594264557
59.0,2.0996701722523676,4.6089130515702115
60.0,2.098594580562926,4.611241999554027
61.0,2.097525880391538,4.613557597328973
62.0,2.096463980914281,4.615860001144595
63.0,2.0954087930193466,4.618149364455757
64.0,2.094360229264536,4.620425837989331
65.0,2.09331820383606,4.622689569808898
66.0,2.0922826325086024,4.6249407053775355
67.0,2.0912534326065884,4.627179387618758
68.0,2.0902305229666287,4.629405756975675
69.0,2.089213823901086,4.631619951468431
70.0,2.0882032571627303,4.633822106749982
71.0,2.0871987459104404,4.636012356160276
72.0,2.0862002146759187,4.638190830778884
73.0,2.0852075893313784,4.640357659476127
74.0,2.084220797058176,4.6425129689627775
75.0,2.0832397663163498,4.644656883838351
76.0,2.0822644268150365,4.646789526638055
77.0,2.0812947094837364,4.6489110178784365
78.0,2.0803305464443955,4.651021476101767
79.0,2.07937187098428,4.653121017919209
80.0,2.0784186175296133,4.655209758052809
81.0,2.077470721619953,4.657287809376346
82.0,2.0765281198832812,4.659355282955076
83.0,2.0755907500117843,4.66141228808442
84.0,2.074658550738301,4.663458932327603
85.0,2.0737314618134164,4.665495321552308
86.0,2.072809423983179,4.667521559966355
87.0,2.0718923789674237,4.6695377501524415
88.0,2.0709802694386776,4.671543993101981
89.0,2.0700730390016333,4.673540388248055
90.0,2.069170632173169,4.675527033497518
91.0,2.0682729943629004,4.677504025262276
92.0,2.067380071854244,4.679471458489759
93.0,2.0664918117859803,4.681429426692632
94.0,2.065608162134298,4.683378021977733
