t,H,L
0.0,2.18,4.44
1.0,2.1786867225966784,4.4426763154463185
2.0,2.1773834010005046,4.445335010086256
3.0,2.1760898848069123,4.447976322573936
4.0,2.1748060268848084,4.450600486643883
5.0,2.1735316832828815,4.453207731246194
6.0,2.172266713139222,4.455798280677078
7.0,2.171010978594121,4.458372354704953
8.0,2.1697643447059107,4.460930168692292
9.0,2.1685266793697204,4.463471933713373
10.0,2.1672978532390337,4.465997856668108
11.0,2.1660777396499222,4.468508140392109
12.0,2.1648662145478577,4.471002983763135
13.0,2.1636631564169897,4.4734825818040544
14.0,2.1624684462117965,4.475947125782479
15.0,2.1612819672910093,4.478396803307182
16.0,2.160103605353725,4.480831798421426
17.0,2.158933248377615,4.48325229169333
18.0,2.157770786559157,4.485658460303372
19.0,2.1566161122558003,4.488050478129149
20.0,2.1554691199300002,4.49042851582749
21.0,2.154329706095044,4.492792740914023
22.0,2.1531977692626003,4.495143317840295
23.0,2.15207320989193,4.49748040806852
24.0,2.150955930340694,4.4998041701440625
25.0,2.1498458348172957,4.502114759765724
26.0,2.148742829334707,4.504412329853916
27.0,2.147646821665718,4.5066970306168015
28.0,2.14655772129956,4.5089690096144635
29.0,2.1454754393998514,4.511228411821189
30.0,2.144399888763818,4.513475379685917
31.0,2.1433309837827457,4.51571005319093
32.0,2.142268640403613,4.51793256990884
33.0,2.1412127760918693,4.520143065057931
34.0,2.140163309795316,4.522341671555917
35.0,2.1391201619090485,4.524528520072171
36.0,2.1380832542414265,4.526703739078472
37.0,2.137052509981034,4.528867454898317
38.0,2.1360278536645945,4.531019791754864
39.0,2.1350092111458108,4.533160871817529
40.0,2.1339965095650957,4.535290815247299
41.0,2.1329896773201633,4.537409740240794
42.0,2.1319886440374543,4.539517763073127
43.0,2.1309933405443626,4.541614998139589
44.0,2.1300036988422417,4.543701557996212
45.0,2.1290196520801596,4.54577755339924
46.0,2.1280411345293824,4.547843093343536
47.0,2.12706808155856,4.549898285099973
48.0,2.126100429609589,4.551943234251828
49.0,2.1251381161741363,4.553978044730226
50.0,2.1241810797707954,4.556002818848642
51.0,2.1232292599228604,4.5580176573365145
52.0,2.1222825971366945,4.560022659371982
53.0,2.121341032880676,4.562017922613776
54.0,2.120404509564702,4.564003543232293
55.0,2.119472970520233,4.565979615939881
56.0,2.118546359980862,4.567946234020343
57.0,2.1176246230633895,4.569903489357709
58.0,2.116707705749393,4.571851472464276
59.0,2.1157955548672693,4.5737902725079485
60.0,2.1148881180747403,4.575719977338901
61.0,2.1139853438418075,4.577640673515576
62.0,2.1130871814341385,4.579552446330047
63.0,2.1121935808968764,4.581455379832752
64.0,2.1113044930388547,4.583349556856632
65.0,2.110419869417211,4.585235059040679
66.0,2.109539662322382,4.5871119668529134
67.0,2.1086638247634744,4.588980359612815
68.0,2.1077923104539926,4.590840315513213
69.0,2.1069250737979237,4.592691911641653
70.0,2.106062069876157,4.594535224001266
71.0,2.105203254433239,4.596370327531136
72.0,2.104348583864446,4.598197296126196
73.0,2.1034980152031726,4.600016202656658
74.0,2.1026515061086175,4.601827118986987
75.0,2.1018090148537696,4.603630115994444
