t,H,L
0.0,2.18,4.44
1.0,2.1786867225966784,4.4426763154463185
2.0,2.1773837335390147,4.445335011505679
3.0,2.1760908808612553,4.447976329626788
4.0,2.174808015915501,4.450600506269817
5.0,2.173534993276449,4.4532077730438555
6.0,2.1722716706495167,4.45579835683964
7.0,2.1710179087822015,4.458372479957755
8.0,2.169773571378546,4.460930360232495
9.0,2.168538525016575,4.463472211151555
10.0,2.1673126390685837,4.465998241971728
11.0,2.16609578562416,4.4685086578307525
12.0,2.1648878394158286,4.471003659855484
13.0,2.1636886777472113,4.473483445266516
14.0,2.1624981804236025,4.475948207479403
15.0,2.1613162296848625,4.478398136202611
16.0,2.1601427101405375,4.4808334175323195
17.0,2.158977508707118,4.483254234044205
18.0,2.157820514547352,4.485660764882312
19.0,2.1566716190115334,4.48805318584513
20.0,2.155530715580687,4.490431669468973
21.0,2.15439769981158,4.4927963851087656
22.0,2.1532724692834906,4.495147499016342
23.0,2.1521549235466617,4.49748517441633
24.0,2.151044964072383,4.499809571579726
25.0,2.149942494204636,4.502120847895241
26.0,2.148847419113246,4.5044191579384885
27.0,2.1477596457484815,4.506704653539109
28.0,2.1466790827970548,4.508977483845889
29.0,2.1456056406394635,4.51123779538996
30.0,2.144539231308632,4.513485732146126
31.0,2.143479768449802,4.515721435592417
32.0,2.142427167281627,4.5179450447678935
33.0,2.141381344558429,4.5201566963287885
34.0,2.140342218533576,4.522356524603038
35.0,2.139309708923942,4.524544661643251
36.0,2.1382837368754055,4.526721237278175
37.0,2.1372642249293587,4.528886379162713
38.0,2.1362510969901884,4.531040212826529
39.0,2.1352442782936913,4.533182861721304
40.0,2.1342436953763997,4.5353144472666775
41.0,2.1332492760457775,4.537435088894918
42.0,2.1322609493512665,4.539544904094376
43.0,2.131278645556145,4.541644008451739
44.0,2.1303022961101785,4.543732515693151
45.0,2.129331833623032,4.545810537724217
46.0,2.128367191838421,4.54787818466893
47.0,2.127408305608974,4.549935564907568
48.0,2.1264551108717877,4.551982785113576
49.0,2.125507544624646,4.554019950289476
50.0,2.1245655449028877,4.5560471638018365
51.0,2.123629050756897,4.558064527415327
52.0,2.1226980022302,4.560072141325886
53.0,2.1217723403381457,4.562070104193029
54.0,2.1208520070471533,4.564058513171332
55.0,2.11993694525451,4.5660374639411065
56.0,2.1190270987686985,4.568007050738289
57.0,2.118122412290241,4.5699673663835805
58.0,2.11722283139304,4.571918502310849
59.0,2.116328302506204,4.57386054859482
60.0,2.115438772896341,4.575793593978074
61.0,2.1145541906503076,4.577717725897379
62.0,2.113674504658395,4.579633030509371
63.0,2.1127996645979454,4.581539592715601
64.0,2.1119296209173797,4.583437496186973
65.0,2.111064324820628,4.585326823387586
66.0,2.11020372825195,4.587207655598
67.0,2.109347783881132,4.589080072937942
68.0,2.10849644508905,4.590944154388465
69.0,2.1076496659535917,4.592799977813582
70.0,2.1068074012359204,4.594647619981386
71.0,2.105969606367076,4.596487156584667
72.0,2.1051362374349023,4.598318662261048
73.0,2.1043072511712873,4.6001422106126535
74.0,2.103482604939715,4.601957874225312
75.0,2.1026622567231112,4.603765724687318
