t,H,L
0.0,2.18,4.44
1.0,2.178256623855692,4.443553551924613
2.0,2.1765318035235475,4.44707519732369
3.0,2.17482516728474,4.450565531324791
4.0,2.173136354416367,4.454025132362318
5.0,2.171465014764575,4.4574545628004385
6.0,2.1698108083381293,4.460854369527116
7.0,2.1681734049212618,4.46422508452082
8.0,2.1665524837047156,4.467567225391432
9.0,2.164947732933974,4.4708812958967385
10.0,2.163358849573719,4.474167786435829
11.0,2.1617855389876355,4.477427174520625
12.0,2.1602275146327288,4.480659925226711
13.0,2.1586844977673714,4.4838664916245285
14.0,2.157156217172352,4.487047315191974
15.0,2.155642408884235,4.490202826209346
16.0,2.1541428159403893,4.493333444137547
17.0,2.1526571881350787,4.496439577980384
18.0,2.151185281786046,4.4995216266317675
19.0,2.1497268595110524,4.502579979208562
20.0,2.148281690013869,4.505615015369791
21.0,2.146849547879248,4.508627105622869
22.0,2.1454302133764247,4.511616611617482
23.0,2.1440234722707263,4.514583886427725
24.0,2.142629115642895,4.517529274823041
25.0,2.1412469397157494,4.5204531135285055
26.0,2.139876745687825,4.523355731474943
27.0,2.138518339573668,4.526237450039367
28.0,2.137171532050462,4.52909858327617
29.0,2.1358361383106867,4.531939438139511
30.0,2.1345119779205355,4.5347603146972775
31.0,2.133198874683814,4.537561506337024
32.0,2.131896656511076,4.540343299964233
33.0,2.130605155293752,4.543105976193245
34.0,2.129324206783048,4.5458498095311795
35.0,2.128053650473395,4.548575068555158
36.0,2.1267933294902526,4.5512820160831176
37.0,2.125543090482066,4.553970909338492
38.0,2.124302783516199,4.556642000109023
39.0,2.1230722619786704,4.559295534899952
40.0,2.121851382477518,4.561931755081837
41.0,2.120640004749651,4.564550897033199
42.0,2.1194379915710253,4.567153192278249
43.0,2.11824520867001,4.569738867619856
44.0,2.1170615246438103,4.572308145267992
45.0,2.1158868108778104,4.5748612429638085
46.0,2.114720941467727,4.57739837409954
47.0,2.1135637931444466,4.579919747834394
48.0,2.1124152452014435,4.582425569206589
49.0,2.1112751794246694,4.584916039241699
50.0,2.110143480024815,4.58739135505744
51.0,2.1090200335718507,4.589851709965044
52.0,2.1079047289317527,4.592297293567364
53.0,2.1067974572053267,4.594728291853806
54.0,2.1056981116690507,4.597144887292251
55.0,2.1046065877178544,4.599547258918044
56.0,2.1035227828097587,4.601935582420185
57.0,2.1024465964123094,4.604310030224822
58.0,2.1013779299507265,4.6066707715761375
59.0,2.1003166867577137,4.609017972614744
60.0,2.0992627720248582,4.61135179645366
61.0,2.0982160927555618,4.6136724032519725
62.0,2.097176557719449,4.615979950286257
63.0,2.0961440774081948,4.61827459201985
64.0,2.0951185639927172,4.620556480170038
65.0,2.094099931281691,4.622825763773249
66.0,2.0930880946813257,4.625082589248308
67.0,2.09208297115637,4.627327100457834
68.0,2.091084479192291,4.6295594387678385
69.0,2.090092538758594,4.631779743105586
70.0,2.089107071273232,4.63398815001579
71.0,2.088127999568077,4.636184793715181
72.0,2.0871552478554056,4.638369806145526
73.0,2.0861887416953735,4.640543317025133
74.0,2.0852284079644337,4.642705453898903
75.0,2.0842741748246736,4.644856342186972
76.0,2.0833259716940367,4.646996105232002
77.0,2.0823837292173963,4.6491248643451515
78.0,2.0814473792384565,4.651242738850775
79.0,2.080516854772448,4.653349846129902
80.0,2.0795920899795974,4.655446301662517
81.0,2.078673020139335,4.657532219068703
82.0,2.077759581625227,4.659607710148667
83.0,2.0768517118806016,4.661672884921688
84.0,2.0759493493948464,4.663727851664027
85.0,2.0750524336803577,4.665772716945831
86.0,2.074160905250117,4.66780758566706
87.0,2.0732747055958796,4.669832561092466
88.0,2.0723937771669485,4.671847744885662
89.0,2.07151806334952,4.673853237142302
90.0,2.0706475084465823,4.675849136422401
91.0,2.0697820576583466,4.67783553978183
92.0,2.0689216570631954,4.679812542802993
93.0,2.0680662535991345,4.681780239624731
94.0,2.067215795045727,4.683738722971468
