t,H,L
0.0,2.18,4.44
1.0,2.1786867225966784,4.4426763154463185
2.0,2.1773836567993583,4.44533501117812
3.0,2.176090651002561,4.447976327999205
4.0,2.1748075569084215,4.450600501740749
5.0,2.1735342294317923,4.453207763398221
6.0,2.1722705266087146,4.455798339263609
7.0,2.17101630950811,4.458372451053136
8.0,2.1697714421465646,4.4609303160306535
9.0,2.1685357914060694,4.463472147126884
10.0,2.1673092269546035,4.465998153054686
11.0,2.166091621169435,4.468508538420491
12.0,2.1648828490630376,4.4710035038320735
13.0,2.1636827882115064,4.473483246002791
14.0,2.1624913186853836,4.47594795785244
15.0,2.16130832298279,4.478397828604846
16.0,2.1601336859647735,4.480833043882335
17.0,2.15896729479279,4.48325378579718
18.0,2.157809038868224,4.485660233040162
19.0,2.156658809773885,4.488052560966337
20.0,2.1555165012173854,4.490430941678129
21.0,2.1543820089763415,4.492795544105832
22.0,2.1532552308453217,4.49514653408563
23.0,2.1521360665844766,4.497484074435229
24.0,2.1510244178697877,4.499808325027172
25.0,2.1499201882448733,4.502119442859945
26.0,2.1488232830742975,4.5044175821269254
27.0,2.147733609498319,4.506702894283284
28.0,2.146651076389035,4.508975528110881
29.0,2.145575594307864,4.511235629781253
30.0,2.144507075464319,4.513483342916745
31.0,2.14344543367603,4.515718808649852
32.0,2.1423905843299607,4.517942165680844
33.0,2.1413424443447875,4.5201535503337205
34.0,2.140300932134392,4.522353096610562
35.0,2.139265967572433,4.524540936244328
36.0,2.138237471957953,4.526717198750159
37.0,2.137215367981994,4.528882011475227
38.0,2.1361995796951763,4.531035499647192
39.0,2.135190032476212,4.5331777864213025
40.0,2.134186653001326,4.5353089929261925
41.0,2.1331893692145414,4.537429238308414
42.0,2.1321981102988143,4.539538639775748
43.0,2.1312128066479774,4.541637312639333
44.0,2.1302333898394723,4.543725370354651
45.0,2.1292597926078414,4.545802924561414
46.0,2.1282919488189553,4.5478700851223675
47.0,2.1273297934449507,4.54992696016107
48.0,2.1263732625398553,4.551973656098664
49.0,2.1254222932158786,4.554010277689677
50.0,2.1244768236203453,4.556036928056888
51.0,2.123536792913252,4.55805370872527
52.0,2.1226021412454257,4.560060719655067
53.0,2.1216728097372664,4.562058059274005
54.0,2.1207487404580534,4.564045824508677
55.0,2.1198298764058,4.566024110815128
56.0,2.118916161487638,4.567993012208662
57.0,2.1180075405007126,4.56995262129289
58.0,2.117103959113578,4.571903029288049
59.0,2.116205363848073,4.573844326058615
60.0,2.1153117020616627,4.575776600140221
61.0,2.114422921930235,4.577699938765915
62.0,2.1135389724313334,4.5796144278917605
63.0,2.1126598033278174,4.581520152221819
64.0,2.1117853651519347,4.583417195232515
65.0,2.1109156091897927,4.5853056391964095
66.0,2.110050487466219,4.5871855652054
67.0,2.109189952729999,4.589057053193363
68.0,2.1083339584394785,4.590920181958253
69.0,2.10748245874852,4.59277502918367
70.0,2.1066354084928056,4.594621671459926
71.0,2.1057927631764723,4.596460184304602
72.0,2.1049544789590726,4.598290642182633
73.0,2.104120512642849,4.600113118525912
74.0,2.103290821660318,4.601927685752449
75.0,2.102465364062146,4.603734415285079
