t,H,L
0.0,2.18,4.44
1.0,2.191952768102564,4.402843721969745
2.0,2.2037874015666032,4.366669848425532
3.0,2.215498903701638,4.331450460064733
4.0,2.2270820626461836,4.29715954746525
5.0,2.2385314598304356,4.263772867506258
6.0,2.2492478034206145,4.233045575587895
7.0,2.256905257721151,4.211562872032638
8.0,2.2624871389517556,4.1959587990765295
9.0,2.266675176386599,4.184113114241472
10.0,2.269869499435378,4.174848977623547
11.0,2.2723250323728252,4.167448938618609
12.0,2.274214287079206,4.161444765698552
13.0,2.275659490287853,4.156514693675374
14.0,2.276750391946826,4.152428545975583
15.0,2.2775660640216673,4.148989901406287
16.0,2.2783012145295416,4.145737284945939
17.0,2.2790140050893237,4.142533823551458
18.0,2.2797047463876288,4.139378700514732
19.0,2.280373748781838,4.136271107663375
20.0,2.281021322144997,4.13321024543489
21.0,2.2816477757149207,4.130195322946335
22.0,2.282253417947604,4.127225558059349
23.0,2.2828385563750255,4.124300177440456
24.0,2.283403497467421,4.121418416616543
25.0,2.283948546500087,4.118579520025459
26.0,2.2844740074247682,4.115782741061662
27.0,2.284980182745663,4.113027342116907
28.0,2.28546737340008,4.110312594615927
29.0,2.2859358786437567,4.107637779047114
30.0,2.2863859959408552,4.105002184988217
31.0,2.286818020858623,4.102405111127052
32.0,2.2872322469667132,4.099845865277286
33.0,2.287628965741139,4.097323764389317
34.0,2.2880084664728355,4.09483813455632
35.0,2.2883710361807914,4.092388311015512
36.0,2.2887169595297028,4.089973638144716
37.0,2.289046518752103,4.087593469454312
38.0,2.289359993574904,4.0852471675746465
39.0,2.2896576611502923,4.082934104239023
40.0,2.2899397959909065,4.080653660262351
41.0,2.2902066699092183,4.0784052255155885
42.0,2.2904585519610485,4.0761881988960615
43.0,2.290695708393126,4.07400198829381
44.0,2.2909184025946043,4.071846010554066
45.0,2.2911268950524515,4.069719691435983
46.0,2.2913214433106135,4.067622465567772
47.0,2.29150230193286,4.065553776398339
48.0,2.291669722469214,4.063513076145589
49.0,2.291823953425865,4.061499825741513
50.0,2.2919652402384663,4.059513494774194
51.0,2.2920938252487146,4.057553561426876
52.0,2.2922099476841065,4.055619512414222
53.0,2.2923138436407706,4.053710842915905
54.0,2.2924057460692735,4.05182705650766
