t,H,L
0.0,2.18,4.44
1.0,2.19180237253509,4.4028432523212775
2.0,2.2034860482486653,4.3666679011210805
3.0,2.2150461479710204,4.331445919392451
4.0,2.226477583694303,4.297151183694432
5.0,2.2377750671408543,4.263759330864335
6.0,2.248338238306925,4.233030182721494
7.0,2.2558447126962284,4.211543728528524
8.0,2.2612777010741483,4.195933799761422
9.0,2.2653186088576613,4.18408053053567
10.0,2.2683673608033965,4.174807302801389
11.0,2.2706787296222997,4.1673968335281515
12.0,2.272425102404223,4.16138103756704
13.0,2.2737285965886973,4.1564382861112845
14.0,2.2746788633575226,4.15233853224059
15.0,2.2753560338384897,4.1488827447914485
16.0,2.275959417427364,4.145598132138365
17.0,2.276541516100635,4.142360965337042
18.0,2.2771026355374757,4.13917044870043
19.0,2.277643080637993,4.136025795458621
20.0,2.278163155386726,4.132926227806891
21.0,2.278663162720344,4.129870976949461
22.0,2.2791434043996173,4.126859283138908
23.0,2.2796041808857024,4.123890395711164
24.0,2.280045791220791,4.120963573116046
25.0,2.2804685329131487,4.118078082943305
26.0,2.2808727018265635,4.115233201944155
27.0,2.281258592074217,4.112428216048285
28.0,2.281626495916976,4.109662420376374
29.0,2.2819767036661007,4.10693511924811
30.0,2.282309503590349,4.104245626185757
31.0,2.282625181827456,4.1015932639133075
32.0,2.282924022299955,4.098977364351273
33.0,2.2832063066353028,4.096397268607174
34.0,2.2834723140902597,4.093852326961795
35.0,2.2837223214794813,4.0913418988512795
36.0,2.2839566031082543,4.088865352845165
37.0,2.2841754307093196,4.08642206662042
38.0,2.2843790733837155,4.084011426931602
39.0,2.2845677975455665,4.08163282957723
40.0,2.2847418668707418,4.079285679362469
41.0,2.2849015422493064,4.076969390058252
42.0,2.285047081741679,4.07468338435694
43.0,2.2851787405384107,4.072427093824635
44.0,2.285296770923501,4.070199958850277
45.0,2.285401422241151,4.068001428591635
46.0,2.285492940865873,4.065830960918314
47.0,2.2855715701758497,4.06368802235191
48.0,2.2856375505294615,4.061572088003427
49.0,2.2856911192448726,4.05948264150809
50.0,2.2857325105825868,4.057419174957671
51.0,2.2857619557308744,4.055381188830455
52.0,2.2857796827939696,4.053368191918977
53.0,2.285785916782945,4.051379701255638
54.0,2.2857808796091597,4.0494152420363445
55.0,2.2857647900801945,4.047474347542263
56.0,2.2857378638981642,4.045556559059838
57.0,2.2857003136603233,4.043661425799175
58.0,2.285652348861864,4.041788504810904
59.0,2.285594175900817,4.039937360901644
60.0,2.285525998084958,4.038107566548176
61.0,2.285448015640634,4.036298701810431
62.0,2.2853604257234177,4.034510354243408
63.0,2.2852634224305035,4.032742118808117
64.0,2.285157196814756,4.0309935977816505
65.0,2.2850419369003308,4.029264400666487
66.0,2.2849178276997826,4.027554144099115
67.0,2.2847850512325802,4.025862451758076
68.0,2.28464378654495,4.024188954271517
69.0,2.284494209730972,4.022533289124326
70.0,2.2843364939548523,4.020895100564965
71.0,2.284170809474299,4.0192740395120365
72.0,2.2839973236649347,4.017669763460712
73.0,2.2838162010456706,4.016081936389057
74.0,2.2836276033049834,4.014510228664344
75.0,2.2834316893280224,4.012954316949422
76.0,2.283228615224493,4.011413884109204
77.0,2.2830185343572498,4.009888619117338
78.0,2.2828015973715434,4.008378216963124
79.0,2.2825779522248673,4.00688237855873
80.0,2.2823477442173465,4.005400810646766
81.0,2.2821111160226195,4.003933225708268
82.0,2.281868207719161,4.002479341871144
83.0,2.2816191568220012,4.001038882819119
84.0,2.2813640983147883,3.999611577701236
85.0,2.2811031646821593,3.99819716104195
86.0,2.280836485942371,3.99679537265185
87.0,2.2805641896801494,3.995405957539053
88.0,2.280286401079724,3.994028665821305
89.0,2.2800032429580064,3.9926632526388137
90.0,2.2797148357978783,3.991309478067854
91.0,2.279421297781557,3.9899671070351643
92.0,2.279122744824004,3.9886359092331705
93.0,2.2788192906063482,3.987315659036052
94.0,2.278511046609296,3.9860061354166816
95.0,2.2781981221464953,3.9847071218644494
96.0,2.2778806243978353,3.983418406304002
97.0,2.277558658442652,3.982139781014902
98.0,2.277232327292818,3.980871042552233
99.0,2.276901731925695,3.9796119916681563
100.0,2.2765669713169285,3.978362433234439
101.0,2.2762281424730664,3.9771221761659574
102.0,2.2758853404639785,3.9758910333451905
103.0,2.2755386584550674,3.974668821547709
104.0,2.2751881877392504,3.9734553613686683
105.0,2.2748340177686956,3.972250477150311
106.0,2.2744762361863056,3.971053996910481
107.0,2.2741149288569265,3.969865752272157
108.0,2.2737501798982795,3.9686855783940027
109.0,2.273382071711599,3.967513313901941
110.0,2.2730106850119665,3.9663488008217476
111.0,2.272636098858334,3.965191884512663
112.0,2.272258390683228,3.9640424136020305
113.0,2.2718776363221234,3.9629002399209434
114.0,2.271493910042485,3.9617652184409127
115.0,2.2711072845724654,3.9606372072115423
116.0,2.270717831129258,3.959516067299212
117.0,2.2703256194470973,3.9584016627267595
118.0,2.2699307178049026,3.9572938604141634
119.0,2.2695331930535643,3.9561925301202088
120.0,2.2691331106428643,3.955097544385142
121.0,2.2687305346480313,3.9540087784742988
122.0,2.2683255277959287,3.9529261103226996
123.0,2.267918151490873,3.9518494204806083
124.0,2.2675084658400793,3.9507785920600393
125.0,2.2670965296787355,3.9497135106822117
126.0,2.2666824005947057,3.948654064425932
127.0,2.266266134952857,3.9476001437769077
128.0,2.2658477879190175,3.9465516415779707
129.0,2.2654274134835615,3.945508452980207
130.0,2.2650050644846207,3.944470475394983
131.0,2.26458079263093,3.9434376084468528
132.0,2.264154648524301,3.9424097539273415
133.0,2.2637266816817307,3.941386815749591
134.0,2.263296940557144,3.9403686999038565
135.0,2.2628654725627757,3.9393553144138442
136.0,2.2624323240901885,3.9383465692938806
137.0,2.2619975405309356,3.937342376506897
138.0,2.261561166296869,3.9363426499232235
139.0,2.2611232448400926,3.9353473052801786
140.0,2.260683818672569,3.9343562601424416
141.0,2.260242929385378,3.933369433863198
142.0,2.259800617667634,3.9323867475460488
143.0,2.2593569233250657,3.9314081240076635
144.0,2.258911885298255,3.9304334877411793
145.0,2.2584655416805504,3.92946276488032
146.0,2.258017929735647,3.928495883164233
147.0,2.2575690859148456,3.9275327719030315
148.0,2.25711904587399,3.9265733619440253
149.0,2.256667844490087,3.925617585638635
150.0,2.2562155158776163,3.9246653768099757
151.0,2.2557620934045297,3.9237166707210993
152.0,2.255307609707947,3.9227714040438824
153.0,2.2548520967095524,3.9218295148285507
154.0,2.2543955856306943,3.920890942473831
155.0,2.2539381070071935,3.919955627697713
156.0,2.253479690703864,3.9190235125088195
157.0,2.25302036592875,3.9180945401783633
158.0,2.252560161247087,3.9171686552126928
159.0,2.252099104594983,3.9162458033264023
160.0,2.2516372232928337,3.9153259314160085
161.0,2.2511745440584683,3.914408987534175
162.0,2.2507110930200374,3.9134949208644785
163.0,2.250246895728638,3.9125836816967037
164.0,2.2497819771706897,3.9116752214026618
165.0,2.249316361780057,3.9107694924125176
166.0,2.248850073449931,3.9098664481916163
167.0,2.248383135544467,3.9089660432178057
168.0,2.2479155709101852,3.9080682329592373
169.0,2.247447401887142,3.90717297385264
170.0,2.2469786503198663,3.9062802232820597
171.0,2.246509337568077,3.9053899395580514
172.0,2.2460394845171776,3.904502081897317
173.0,2.245569111588531,3.9036166104027807
174.0,2.2450982387495264,3.902733486044093
175.0,2.2446268855234344,3.901852670638552
176.0,2.2441550709990556,3.900974126832439
177.0,2.243682813840172,3.9000978180827532
178.0,2.2432101322947946,3.8992237086393464
179.0,2.242737044204223,3.8983517635274403
180.0,2.24226356701191,3.897481948530524
181.0,2.2417897177721433,3.896614230173624
182.0,2.241315513158539,3.8957485757069374
183.0,2.240840969472361,3.8948849530898197
184.0,2.2403661026506603,3.8940233309751235
185.0,2.239890928274242,3.8931636786938784
186.0,2.239415461575464,3.892305966240306
187.0,2.2389397174458683,3.8914501642571606
188.0,2.238463710443651,3.8905962440213937
189.0,2.23798745480097,3.8897441774301296
190.0,2.237510964431099,3.8888939369869515
191.0,2.237034252935424,3.8880454957884862
192.0,2.2365573336102966,3.887198827511285
193.0,2.2360802194537306,3.8863539063989934
194.0,2.2356029231719616,3.885510707249801
195.0,2.235125457185863,3.884669205404171
196.0,2.2346478336372213,3.8838293767328382
197.0,2.234170064394878,3.8829911976250715
198.0,2.2336921610607385,3.8821546449771973
199.0,2.233214134975649,3.881319696181375
200.0,2.2327359972251473,3.8804863291146217
201.0,2.2322577586450874,3.8796545221280767
202.0,2.2317794298271436,3.8788242540365094
203.0,2.2313010211241933,3.8779955041080543
204.0,2.2308225426555826,3.8771682520541746
205.0,2.230344004312277,3.8763424780198514
206.0,2.2298654157619,3.8755181625739863
207.0,2.229386786453662,3.8746952867000197
208.0,2.2289081256231804,3.8738738317867565
209.0,2.2284294422971933,3.873053779619396
210.0,2.2279507452981737,3.8722351123707592
211.0,2.2274720432488375,3.8714178125927163
212.0,2.2269933445765564,3.870601863207798
213.0,2.226514657517672,3.869787247500998
214.0,2.226035990121717,3.8689739491117576
215.0,2.2255573502555395,3.8681619520261266
216.0,2.225078745607342,3.8673512405691
217.0,2.2246001836906277,3.866541799397126
218.0,2.2241216718480605,3.865733613490781
219.0,2.2236432172552414,3.8649266681476058
220.0,2.2231648269243998,3.8641209489751036
221.0,2.2226865077080045,3.8633164418838937
222.0,2.2222082663022946,3.8625131330810163
223.0,2.2217301092507333,3.8617110090633897
224.0,2.221252042947383,3.8609100566114103
225.0,2.2207740736402095,3.860110262782697
226.0,2.220296207434309,3.859311614905976
227.0,2.2198184502950675,3.858514100575098
228.0,2.2193408080512476,3.857717707643196
229.0,2.2188632863980087,3.8569224242169664
230.0,2.2183858908998593,3.856128238651082
231.0,2.2179086269935446,3.8553351395427278
232.0,2.217431499990869,3.8545431157262597
233.0,2.2169545150814582,3.8537521562679826
234.0,2.2164776773354578,3.8529622504610446
235.0,2.216000991706174,3.8521733878204443
236.0,2.215524463032653,3.8513855580781513
237.0,2.2150480960422074,3.8505987511783357
238.0,2.2145718953528832,3.8498129572727016
239.0,2.2140958654758722,3.849028166715927
240.0,2.2136200108178734,3.848244370061205
241.0,2.213144335683399,3.8474615580558855
242.0,2.212668844277032,3.8466797216372113
243.0,2.212193540705631,3.8458988519281516
244.0,2.211718428980488,3.8451189402333297
245.0,2.2112435130194377,3.8443399780350376
246.0,2.21076879664892,3.843561956989343
247.0,2.210294283605997,3.842784868922283
248.0,2.209819977540324,3.842008705826139
249.0,2.2093458820160787,3.8412334598558004
250.0,2.2088720005138454,3.840459123325204
251.0,2.20839833643246,3.839685688703856
252.0,2.2079248930908113,3.8389131486134316
253.0,2.2074516737296044,3.838141495824448
254.0,2.2069786815130836,3.837370723253014
255.0,2.2065059195307177,3.8366008239576503
256.0,2.2060333907988485,3.8358317911361826
257.0,2.2055610982623004,3.8350636181227005
258.0,2.2050890447959572,3.8342962983845887
259.0,2.2046172332063025,3.8335298255196206
260.0,2.2041456662329253,3.832764193253118
261.0,2.2036743465499935,3.831999395435174
262.0,2.203203276767694,3.8312354260379378
263.0,2.2027324594336406,3.8304722791529584
264.0,2.202261897034252,3.829709948988591
265.0,2.201791591996096,3.8289484298674568
266.0,2.2013215466872103,3.8281877162239613
267.0,2.2008517634183846,3.8274278026018687
268.0,2.200382244444424,3.8266686836519277
269.0,2.199912991965378,3.8259103541295523
270.0,2.199444008127744,3.825152808892553
