t,H,L
0.0,2.18,4.44
1.0,2.19180237253509,4.4028432523212775
2.0,2.2034862281731873,4.366667901719336
3.0,2.215046688489714,4.3314459225075765
4.0,2.2264786659987235,4.297151192780988
5.0,2.2377768727057936,4.263759351144043
6.0,2.2483409502704457,4.233030213122436
7.0,2.255848505667383,4.2115437774005855
8.0,2.2612827478737363,4.195933878032258
9.0,2.265325081225253,4.184080650593415
10.0,2.2683754293620777,4.17480747855677
11.0,2.270688563930992,4.167397080313112
12.0,2.272436871048745,4.161381371969629
13.0,2.273742467288876,4.156438725787348
14.0,2.274695003077988,4.152339095722576
15.0,2.275374601193739,4.1488834697179735
16.0,2.2759805377206606,4.1455991377261014
17.0,2.2765653500325542,4.142362288181894
18.0,2.2771293425613703,4.139172127647703
19.0,2.2776728189632096,4.136027871580107
20.0,2.278196081982844,4.13292874437687
21.0,2.278699433322401,4.1298739794196955
22.0,2.279183173514273,4.126862819112689
23.0,2.2796476017983007,4.123894514916465
24.0,2.2800930160032777,4.120968327377858
25.0,2.2805197124328016,4.1180835261551945
26.0,2.2809279857554925,4.115239390039118
27.0,2.2813181288995925,4.112435206968958
28.0,2.2816904329519447,4.109670274044643
29.0,2.2820451870613447,4.10694389753419
30.0,2.282382678346252,4.104255392876786
31.0,2.2827031918068337,4.101604084681519
32.0,2.2830070102413096,4.098989306721785
33.0,2.283294414166565,4.096410401925462
34.0,2.2835656817429832,4.093866722360882
35.0,2.283821088703444,4.091357629218703
36.0,2.28406090828644,4.088882492789762
37.0,2.2842854111732414,4.086440692438971
38.0,2.284494865429045,4.084031616575385
39.0,2.284689536448038,4.081654662618517
40.0,2.284869686902302,4.079309236961015
41.0,2.2850355766944728,4.0769947549278
42.0,2.285187462914081,4.074710640731793
43.0,2.285325599797487,4.072456327426318
44.0,2.2854502386913196,4.070231256854331
45.0,2.285561628019332,4.068034879594566
46.0,2.285660013252583,4.065866654904731
47.0,2.2857456368828495,4.06372605066188
48.0,2.285818738399177,4.061612543300073
49.0,2.285879554267472,4.059525617745451
50.0,2.285928317913044,4.057464767348859
51.0,2.285965259705994,4.05542949381612
52.0,2.2859906069493574,4.053419307136105
53.0,2.286004583869906,4.051433725506703
54.0,2.2860074116115086,4.04947227525882
55.0,2.2859993082309567,4.047534490778529
56.0,2.285980488696161,4.04561991442748
57.0,2.285951164886622,4.043728096461696
58.0,2.2859115455960795,4.041858594948865
59.0,2.285861836537255,4.040010975684235
60.0,2.2858022403485894,4.038184812105237
61.0,2.285732956602887,4.036379685204922
62.0,2.285654181817781,4.034595183444349
63.0,2.285566109467929,4.032830902663987
64.0,2.285468929998857,4.0310864459942675
65.0,2.285362830842363,4.029361423765364
66.0,2.285247996433408,4.027655453416299
67.0,2.2851246082284002,4.025968159403477
68.0,2.284992844724811,4.024299173108715
69.0,2.284852881482031,4.02264813274688
70.0,2.2847048911434027,4.0210146832732
71.0,2.284549043459355,4.019398476290332
72.0,2.2843855053115645,4.017799169955272
73.0,2.284214440738085,4.016216428886168
74.0,2.284036010959369,4.014649924069127
75.0,2.283850374405125,4.013099332765061
76.0,2.283657686741946,4.01156433841666
77.0,2.283458100901648,4.010044630555537
78.0,2.283251767110264,4.0085399047096235
79.0,2.2830388329176343,4.007049862310852
80.0,2.2828194432275426,4.005574210603199
81.0,2.2825937403283443,4.004112662551125
82.0,2.282361863924038,4.00266493674848
83.0,2.2821239511657327,4.001230757327893
84.0,2.281880136683464,3.9998098538707256
85.0,2.2816305526183154,3.998401961317593
86.0,2.2813753286548057,3.9970068198795263
87.0,2.281114592053495,3.995624174949789
88.0,2.2808484676837812,3.9942537770163953
89.0,2.2805770780568375,3.9928953815753556
90.0,2.28030054335867,3.991548749044687
91.0,2.2800189814832494,3.990213644679209
92.0,2.2797325080656923,3.988889838486154
93.0,2.2794412365154595,3.9875771051416233
94.0,2.279145278049543,3.9862752239078962
95.0,2.278844741725615,3.9849839785516292
96.0,2.2785397344751095,3.983703157262952
97.0,2.2782303611362194,3.9824325525754856
98.0,2.277916724486779,3.981171961287289
99.0,2.2775989252770112,3.979921184382761
100.0,2.277277062262126,3.978680026955495
101.0,2.276951232234738,3.977448298132111
102.0,2.276621530057099,3.976225810997064
103.0,2.276288048693119,3.975012382518446
104.0,2.275950879240162,3.973807833474778
105.0,2.275610110960605,3.97261198838281
106.0,2.275265831313142,3.9714246754263236
107.0,2.274918125983824,3.9702457263859467
108.0,2.274567078916818,3.969074976569978
109.0,2.274212772344885,3.9679122647462286
110.0,2.273855286819547,3.966757433074875
111.0,2.273494701240959,3.965610327042328
112.0,2.273131092887456,3.9644707953961147
113.0,2.27276453744478,3.963338690080767
114.0,2.2723951090349708,3.962213866174725
115.0,2.272022880244928,3.961096181828238
116.0,2.2716479221546204,3.95998549820227
117.0,2.2712703043649536,3.9588816794083983
118.0,2.270890095025283,3.957784592449701
119.0,2.270507360860569,3.9566941071626327
120.0,2.2701221671981755,3.955610096159872
121.0,2.269734577994304,3.9545324347741433
122.0,2.2693446558600625,3.953461001002997
123.0,2.268952462087169,3.9523956754545506
124.0,2.268558056673287,3.95133634129417
125.0,2.2681614983469913,3.9502828841920943
126.0,2.2677628445923657,3.949235192271983
127.0,2.267362151673228,3.9481931560603893
128.0,2.26695947465699,3.9471566684371386
129.0,2.266554867438144,3.94612562458661
130.0,2.266148382761384,3.945099921949905
131.0,2.265740072244359,3.944079460177899
132.0,2.2653299864000584,3.9430641410851575
133.0,2.2649181746588374,3.942053868604716
134.0,2.2645046853900763,3.9410485487437046
135.0,2.264089565923482,3.940048089539808
136.0,2.2636728625700298,3.939052401018555
137.0,2.263254620642551,3.938061395151418
138.0,2.262834884475968,3.9370749858147205
139.0,2.262413697447177,3.936093088749332
140.0,2.261991101994589,3.9351156215211462
141.0,2.26156713963732,3.9341425034823287
142.0,2.261141850994047,3.9331736557333197
143.0,2.2607152758015245,3.9322090010855857
144.0,2.260287452932766,3.9312484640251055
145.0,2.259858420414898,3.9302919706765787
146.0,2.2594282154466865,3.9293394487683475
147.0,2.2589968744157414,3.9283908275980184
148.0,2.2585644329154024,3.9274460379987732
149.0,2.2581309257613094,3.9265050123063596
150.0,2.257696387007664,3.9255676843267464
151.0,2.257260849963181,3.9246339893044357
152.0,2.2568243472067437,3.923703863891421
153.0,2.2563869106027514,3.9227772461167745
154.0,2.2559485713161815,3.921854075356863
155.0,2.2555093598273563,3.920934292306171
156.0,2.255069305946425,3.9200178389487275
157.0,2.254628438827564,3.9191046585301197
158.0,2.254186786982901,3.9181946955300924
159.0,2.2537443782961626,3.9172878956357104
160.0,2.2533012400360564,3.9163842057150844
161.0,2.2528573988693843,3.9154835737916436
162.0,2.252412880873899,3.914585949018947
163.0,2.2519677115509,3.913691281656025
164.0,2.2515219158375817,3.9127995230432373
165.0,2.2510755181191278,3.911910625578641
166.0,2.250628542240567,3.9110245426948596
167.0,2.250181011518385,3.9101412288364386
168.0,2.2497329487519013,3.9092606394376848
169.0,2.2492843762344163,3.908382730900975
170.0,2.2488353157641265,3.9075074605755256
171.0,2.24838578865482,3.90663478673662
172.0,2.2479358157463496,3.905764668565274
173.0,2.24748541741489,3.904897066128341
174.0,2.2470346135829837,3.9040319403590447
175.0,2.246583423729379,3.903169253037925
176.0,2.2461318668986614,3.9023089667741995
177.0,2.245679961710687,3.901451044987525
178.0,2.2452277263698166,3.900595451890151
179.0,2.2447751786739576,3.899742152469462
180.0,2.244322336023416,3.8988911124708965
181.0,2.2438692154295623,3.898042298381234
182.0,2.243415833523314,3.897195677412251
183.0,2.242962206563441,3.8963512174847246
184.0,2.2425083504446914,3.89550888721279
185.0,2.24205428070575,3.894668655888636
186.0,2.241600012537025,3.893830493467537
187.0,2.241145560788266,3.892994370553207
188.0,2.2406909399760284,3.89216025838348
189.0,2.240236164290968,3.8913281288162986
190.0,2.239781247604987,3.8904979543160123
191.0,2.2393262034782246,3.889669707939975
192.0,2.2388710451658964,3.8888433633254382
193.0,2.238415785624989,3.888018894676729
194.0,2.2379604375208095,3.887196276752714
195.0,2.2375050132333936,3.8863754848545358
196.0,2.237049524863776,3.8855564948136214
197.0,2.236593984240126,3.884739282979954
198.0,2.236138402923749,3.8839238262106024
199.0,2.2356827922149587,3.883110101858507
200.0,2.235227163158823,3.8822980877615083
201.0,2.2347715265507833,3.8814877622316244
202.0,2.234315892942153,3.880679104044558
203.0,2.2338602726454977,3.8798720924294416
204.0,2.233404675739894,3.8790667070588074
205.0,2.2329491120760787,3.878262928038778
206.0,2.2324935912814827,3.8774607358994784
207.0,2.232038122765156,3.8766601115856547
208.0,2.2315827157225847,3.8758610364475072
209.0,2.231127379140404,3.875063492231723
210.0,2.230672121801005,3.8742674610727073
211.0,2.2302169522870448,3.873472925484013
212.0,2.229761878985854,3.8726798683499566
213.0,2.2293069100937504,3.871888272917423
214.0,2.2288520536202547,3.8710981227878527
215.0,2.2283973173922185,3.870309401909404
216.0,2.227942709057856,3.8695220945692945
217.0,2.2274882360906925,3.8687361853863087
218.0,2.2270339057934208,3.867951659303474
219.0,2.2265797253016775,3.8671685015809016
220.0,2.226125701587732,3.866386697788783
221.0,2.2256718414640977,3.8656062338005457
222.0,2.2252181515870606,3.8648270957861595
223.0,2.224764638460133,3.864049270205594
224.0,2.2243113084374286,3.863272743802419
225.0,2.2238581677269638,3.8624975035975506
226.0,2.2234052223938865,3.8617235368831344
227.0,2.2229524783636343,3.860950831216566
228.0,2.22249994142502,3.8601793744146455
229.0,2.2220476172332533,3.859409154547861
230.0,2.221595511312891,3.8586401599348004
231.0,2.2211436290607254,3.857872379136688
232.0,2.220691975748607,3.8571058009520423
233.0,2.2202405565262064,3.8563404144114544
234.0,2.219789376423712,3.85557620877248
235.0,2.219338440354473,3.854813173514648
236.0,2.2188877531175764,3.8540512983345807
237.0,2.2184373194003753,3.85329057314122
238.0,2.217987143780955,3.852530988051164
239.0,2.2175372307305485,3.8517725333841017
240.0,2.2170875846158937,3.8510151996583586
241.0,2.2166382097015442,3.8502589775865323
242.0,2.2161891101521243,3.849503858071231
243.0,2.2157402900345358,3.8487498322009053
244.0,2.2152917533201157,3.847996891245774
245.0,2.2148435038867467,3.8472450266538383
246.0,2.2143955455209197,3.8464942300469893
247.0,2.2139478819197507,3.8457444932171962
248.0,2.2135005166929544,3.8449958081227855
249.0,2.213053453364772,3.8442481668847988
250.0,2.2126066953758574,3.8435015617834343
251.0,2.2121602460851224,3.8427559852545663
252.0,2.211714108771538,3.8420114298863433
253.0,2.2112682866359,3.8412678884158598
254.0,2.2108227828025506,3.840525353725905
255.0,2.210377600321067,3.8397838188417825
256.0,2.2099327421679074,3.8390432769282
257.0,2.2094882112480247,3.83830372128623
258.0,2.209044010396442,3.8375651453503363
259.0,2.208600142379794,3.836827542685469
260.0,2.208156609897834,3.836090906984221
261.0,2.2077134155849074,3.835355232064051
262.0,2.2072705620113933,3.834620511864566
263.0,2.2068280516851124,3.8338867404448655
264.0,2.206385887052706,3.8331539119809435
265.0,2.2059440705009825,3.8324220207631496
266.0,2.205502604358235,3.831691061193705
267.0,2.2050614908955293,3.8309610277842756
268.0,2.2046207323279643,3.8302319151535973
269.0,2.2041803308159027,3.8295037180251543
270.0,2.203740288466176,3.8287764312249095
271.0,2.203300607333263,3.828050049679086
272.0,2.2028612894204396,3.827324568411995
