t,H,L
0.0,2.18,4.44
1.0,2.1916018449777046,4.402842626324974
2.0,2.203083908547568,4.3666653052801125
3.0,2.214441465818203,4.3314398652496475
4.0,2.225669591722045,4.297140029561841
5.0,2.2367631697414057,4.2637412735641185
6.0,2.247120418249795,4.233009641604451
7.0,2.2544235619155364,4.211518171394663
8.0,2.259655672479495,4.195900410434224
9.0,2.2634977250226647,4.18403699227075
10.0,2.2663493730582718,4.174751591839272
11.0,2.2684651889237384,4.16732714667314
12.0,2.270017395057752,4.1612957639610615
13.0,2.271127964885137,4.156335994008155
14.0,2.271886419543164,4.152217960199279
15.0,2.2723743011946773,4.1487391431097365
16.0,2.2727970428875177,4.1454116324544446
17.0,2.273199612506471,4.142129248922306
18.0,2.2735823106027198,4.138891221526113
19.0,2.2739454363997984,4.135696788663227
20.0,2.2742892876791876,4.132545198132647
21.0,2.2746141606700934,4.129435707148109
22.0,2.2749203499434247,4.126367582347186
23.0,2.275208148309984,4.123340099796354
24.0,2.275477846722871,4.12035254499205
25.0,2.275729734184099,4.1174042128577035
26.0,2.2759640976554056,4.114494407736782
27.0,2.276181221973238,4.111622443381866
28.0,2.2763813897678826,4.108787642939805
29.0,2.2765648813867103,4.10598933893299
30.0,2.276731974821486,4.103226873236814
31.0,2.2768829456397026,4.1004995970533695
32.0,2.277018066919882,4.097806870881473
33.0,2.2771376091907887,4.095148064483071
34.0,2.277241840374488,4.092522556846137
35.0,2.2773310257331874,4.089929736144125
36.0,2.2774054278197857,4.0873689996920906
37.0,2.2774653064320574,4.0848397538995656
38.0,2.2775109185703926,4.082341414220297
39.0,2.277542518399015,4.079873405098945
40.0,2.27756035721059,4.077435159914856
41.0,2.2775646833941434,4.075026120923015
42.0,2.2775557424061983,4.072645739192291
43.0,2.277533776745042,4.070293474541085
44.0,2.2774990259280377,4.067968795470496
45.0,2.2774517264718823,4.065671179095124
46.0,2.277392111875727,4.06340011107161
47.0,2.27732041260706,4.061155085525052
48.0,2.277236856090263,4.058935604973383
49.0,2.2771416666977506,4.056741180249847
50.0,2.2770350657435974,4.054571330423673
51.0,2.2769172714795576,4.052425582719069
52.0,2.2767884990933935,4.050303472432635
53.0,2.2766489607094154,4.048204542849314
54.0,2.2764988653911447,4.0461283451569825
55.0,2.2763384191460116,4.04407443835979
56.0,2.2761678249319997,4.0420423891903505
57.0,2.275987282666148,4.040031772020881
58.0,2.2757969892348315,4.0380421687734005
59.0,2.2755971385057268,4.036073168829072
60.0,2.2753879213413897,4.034124368936787
61.0,2.2751695256143583,4.032195373121095
62.0,2.2749421362237037,4.0302857925895434
63.0,2.2747059351129537,4.028395245639547
64.0,2.274461101289309,4.0265233575648365
65.0,2.274207810844083,4.024669760561602
66.0,2.2739462369742904,4.02283409363438
67.0,2.2736765500053164,4.021016002501779
68.0,2.2733989174145974,4.019215139502114
69.0,2.2731135038562487,4.017431163499013
70.0,2.2728204711865723,4.015663739787072
71.0,2.272519978490386,4.013912539997615
72.0,2.272212182108114,4.012177242004636
73.0,2.2718972356635754,4.010457529830962
74.0,2.271575290092421,4.00875309355471
75.0,2.271246493671163,4.007063629216093
76.0,2.27091099204674,4.005388838724611
77.0,2.270568928266574,4.003728429766691
78.0,2.2702204428090678,4.002082115713827
79.0,2.2698656736144933,4.000449615531239
80.0,2.2695047561162336,3.998830653687125
81.0,2.2691378232723274,3.9972249600625234
82.0,2.268765005597281,3.99563226986183
83.0,2.2683864311941053,3.9940523235240066
84.0,2.2680022257865393,3.992484866634513
85.0,2.2676125127514295,3.9909296498379914
86.0,2.267217413151222,3.9893864287517307
87.0,2.266817045766545,3.987854963879945
88.0,2.2664115271288385,3.9863350205288826
89.0,2.266000971553016,3.98482636872279
90.0,2.2655854911701128,3.9833287831207587
91.0,2.265165195959913,3.9818420429344648
92.0,2.2647401937835108,3.9803659318468263
93.0,2.264310590415799,3.9789002379315894
94.0,2.263876489577849,3.9774447535738617
95.0,2.2634379929691697,3.9759992753916027
96.0,2.2629952002998177,3.974563604158085
97.0,2.2625482093223495,3.973137544725337
98.0,2.262097115863585,3.9717209059485707
99.0,2.2616420138561786,3.970313500611609
100.0,2.2611829953699707,3.968915145353317
101.0,2.260720150643115,3.967525660595037
102.0,2.260253568112959,3.9661448704690403
103.0,2.2597833344466727,3.964772602747989
104.0,2.259309534571607,3.963408688775419
105.0,2.2588322517053765,3.962052963397241
106.0,2.2583515673856516,3.9607052648942545
107.0,2.2578675614996557,3.9593654349156857
108.0,2.2573803123133533,3.958033318413736
109.0,2.256889896500328,3.9567087635791482
110.0,2.256396389170335,3.9553916217777774
111.0,2.255899863897532,3.954081747488175
112.0,2.2554003927483715,3.952778998240169
113.0,2.2548980463091577,3.9514832345544457
114.0,2.254392893713263,3.9501943198831175
115.0,2.253885002667993,3.948912120551282
116.0,2.253374439481105,3.9476365056995535
117.0,2.2528612690869734,3.946367347227572
118.0,2.2523455550723988,3.9451045197384693
119.0,2.2518273597020593,3.943847900484295
120.0,2.2513067439436054,3.9425973693123897
121.0,2.2507837674923925,3.9413528086126934
122.0,2.250258488795854,3.9401141032659877
123.0,2.249730965077513,3.938881140593054
124.0,2.249201252360634,3.9376538103047447
125.0,2.2486694054915115,3.9364320044529544
126.0,2.2481354781624017,3.9352156173824797
127.0,2.2475995229340926,3.9340045456837616
128.0,2.247061591258117,3.9327986881464962
129.0,2.2465217334986107,3.9315979457141044
130.0,2.245979998953812,3.9304022214390484
131.0,2.2454364358772114,3.929211420438988
132.0,2.244891091498351,3.92802544985376
133.0,2.2443440120432734,3.9268442188031747
134.0,2.2437952427546244,3.9256676383456153
135.0,2.2432448279114157,3.9244956214374294
136.0,2.2426928108484443,3.9233280828931014
137.0,2.2421392339753754,3.9221649393461964
138.0,2.2415841387954902,3.9210061092110595
139.0,2.241027565924105,3.919851512645265
140.0,2.2404695551066585,3.918701071512799
141.0,2.2399101452364802,3.9175547093479666
142.0,2.2393493743722335,3.9164123513200138
143.0,2.2387872797550425,3.9152739241984476
144.0,2.238223897825309,3.914139356319049
145.0,2.2376592642392135,3.913008577550564
146.0,2.2370934138849172,3.9118815192620615
147.0,2.236526380898457,3.9107581142909495
148.0,2.2359581986793446,3.909638296911636
149.0,2.2353888999058733,3.9085220028048235
150.0,2.2348185165501295,3.9074091690274306
151.0,2.234247079892724,3.906299733983121
152.0,2.2336746205372378,3.9051936373934413
153.0,2.2331011684243918,3.9040908202695435
154.0,2.232526752845941,3.902991224884495
155.0,2.2319514024583014,3.9018947947461546
156.0,2.231375145295908,3.9008014745706103
157.0,2.2307980087843147,3.899711210256168
158.0,2.230220019753034,3.8986239488578796
159.0,2.2296412044481246,3.897539638562601
160.0,2.2290615885445293,3.896458228664571
161.0,2.228481197158168,3.8953796695414984
162.0,2.2279000548577885,3.894303912631154
163.0,2.2273181856765816,3.8932309104084517
164.0,2.2267356131235605,3.8921606163630096
165.0,2.226152360194713,3.8910929849771887
166.0,2.225568449383928,3.8900279717045914
167.0,2.2249839026936975,3.8889655329490167
168.0,2.224398741645607,3.8879056260438607
169.0,2.223812987290605,3.8868482092319545
