t,H,L
0.0,2.18,4.44
1.0,2.1916018449777046,4.402842626324974
2.0,2.2030838057333457,4.366665304938564
3.0,2.214441156948779,4.331439863471915
4.0,2.225668973256186,4.2971400243784466
5.0,2.236762137972699,4.2637412620003206
6.0,2.2471188685240158,4.233009624275647
7.0,2.254421394440516,4.211518143549426
8.0,2.259652788477367,4.1959003658572085
9.0,2.2634940263261267,4.184036923920312
10.0,2.266344762130225,4.174751491812337
11.0,2.268459568827232,4.167327006262896
12.0,2.270010669404049,4.161295573750679
13.0,2.271120037772785,4.156335743977496
14.0,2.271877195495074,4.152217639833113
15.0,2.272363689437017,4.148738731080246
16.0,2.272784971394014,4.145411061282384
17.0,2.2731859892777617,4.142128497920176
18.0,2.273567044332848,4.138890268745809
19.0,2.2739284364736774,4.1356956109099
20.0,2.274270464169541,4.132543770979104
21.0,2.2745934243338857,4.129434004949711
22.0,2.2748976122178095,4.126365578257207
23.0,2.2751833213077934,4.1233377657817805
24.0,2.2754508432276688,4.12034985184977
25.0,2.2757004676448207,4.117401130231076
26.0,2.275932482180608,4.114490904132531
27.0,2.2761471723249818,4.111618486187286
28.0,2.276344821355271,4.108783198440242
29.0,2.276525710259102,4.105984372329565
30.0,2.2766901176614103,4.1032213486643645
31.0,2.27683831975549,4.100493477598584
32.0,2.276970590238039,4.09780011860118
33.0,2.2770872002481317,4.09514064042267
34.0,2.277188418310059,4.092514421058138
35.0,2.277274510279967,4.0899208477067726
36.0,2.2773457392962277,4.08735931672805
37.0,2.2774023657334586,4.084829233594651
38.0,2.2774446471601166,4.082330012842213
39.0,2.277472838299588,4.0798610780160285
40.0,2.2774871909946848,4.077421861614792
41.0,2.277487954175466,4.075011805031513
42.0,2.2774753738302933,4.072630358491699
43.0,2.2774496929800336,4.070276980988921
44.0,2.2774111516553157,4.067951140217894
45.0,2.277359986876752,4.065652312505162
46.0,2.2772964326380296,4.063379982737523
47.0,2.2772207198917815,4.061133644288292
48.0,2.2771330765381417,4.058912798941542
49.0,2.2770337274158923,4.056716956814407
50.0,2.2769228942961095,4.054545636277588
51.0,2.276800795878215,4.052398363874155
52.0,2.276667647788342,4.050274674236768
53.0,2.276523662579923,4.048174110003423
54.0,2.276369049736411,4.04609622173183
55.0,2.2762040156760386,4.044040567812531
56.0,2.276028763758537,4.042006714380866
57.0,2.2758434942937154,4.0399942352278755
58.0,2.2756484045518253,4.03800271171026
59.0,2.275443688775619,4.036031732659478
60.0,2.275229538194022,4.034080894290084
61.0,2.2750061410373394,4.032149800107397
62.0,2.2747736825539104,4.030238060814592
63.0,2.274532345028144,4.0283452942193065
64.0,2.2742823077998486,4.026471125139827
65.0,2.2740237472847906,4.024615185310967
66.0,2.273756836996403,4.022777113289691
67.0,2.273481747568579,4.0209565543605725
68.0,2.273198646779478,4.01915316044116
69.0,2.2729076995762822,4.0173665899873185
70.0,2.272609068100836,4.015596507898613
71.0,2.2723029117161055,4.013842585423808
72.0,2.2719893870334014,4.012104500066531
73.0,2.271668647940304,4.010381935491183
74.0,2.2713408456292354,4.0086745814291245
75.0,2.271006128626621,4.0069821335852165
76.0,2.2706646428225956,4.005304293544755
77.0,2.2703165315011935,4.003640768680855
78.0,2.269961935370982,4.001991272062321
79.0,2.2696009925960885,4.000355522362067
80.0,2.2692338388275757,3.9987332437661074
81.0,2.2688606072351227,3.997124165883171
82.0,2.26848142853897,3.9955280236549764
83.0,2.268096431042091,3.9939445572671946
84.0,2.2677057406625485,3.9923735120611417
85.0,2.2673094809660053,3.9908146384462264
86.0,2.2669077731983474,3.9892676918131835
87.0,2.2665007363183935,3.9877324324481203
88.0,2.2660884870306566,3.9862086254474
89.0,2.265671139818127,3.9846960406333864
90.0,2.265248806975051,3.9831944524710696
91.0,2.2648215986396742,3.981703639985591
92.0,2.264389622826932,3.9802233866806915
93.0,2.2639529854610503,3.9787534804580886
94.0,2.2635117904080504,3.977293713537809
95.0,2.263066139508118,3.975843882379477
96.0,2.262616132607833,3.9744037876045843
97.0,2.2621618675922295,3.972973233919738
98.0,2.2617034404166727,3.971552030040902
99.0,2.2612409451385362,3.970139988618644
100.0,2.260774473948663,3.9687369261643815
101.0,2.260304117202593,3.967342662977647
102.0,2.259829963451551,3.9659570230743637
103.0,2.25935209947317,3.9645798341161433
104.0,2.2588706103019534,3.963210927340604
105.0,2.2583855792594503,3.9618501374927084
106.0,2.257897087984144,3.960497302757126
107.0,2.257405216461039,3.9591522646916157
108.0,2.2569100430509446,3.9578148681614262
109.0,2.256411644519434,3.956484961274716
110.0,2.255910096065489,3.9551623953189856
111.0,2.255405471349811,3.9538470246985207
112.0,2.2548978425227975,3.952538706872839
113.0,2.2543872802521805,3.9512373022961413
114.0,2.253873853750318,3.9499426743577524
115.0,2.2533576308011383,3.948654689323554
116.0,2.252838677786732,3.947373216278399
117.0,2.2523170597135906,3.9460981270694977
118.0,2.2517928402384846,3.944829296250774
119.0,2.251266081693986,3.9435666010281794
120.0,2.2507368451136296,3.9423099212059562
121.0,2.25020519025671,3.941059139133843
122.0,2.249671175632721,3.939814139655213
123.0,2.249134858525426,3.938574810056134
124.0,2.2485962950165717,3.9373410400153444
125.0,2.2480555400092355,3.9361127215551277
126.0,2.2475126472508142,3.934889748993085
127.0,2.246967669355649,3.933672018894787
128.0,2.2464206578272927,3.9324594300273006
129.0,2.2458716630804187,3.9312518833135734
130.0,2.2453207344623745,3.930049281787673
131.0,2.2447679202743784,3.928851530550863
132.0,2.244213267792367,3.927658536728508
133.0,2.2436568232874907,3.9264702094277952
134.0,2.2430986320462623,3.9252864596962653
135.0,2.2425387383903628,3.924107200481133
136.0,2.2419771856961033,3.9229323465893935
137.0,2.2414140164135485,3.921761814648703
138.0,2.2408492720853066,3.9205955230690144
139.0,2.240282993364983,3.9194333920049655
140.0,2.23971522003531,3.9182753433190047
141.0,2.2391459910259472,3.9171213005452414
142.0,2.2385753444309624,3.915971188854012
143.0,2.2380033175259912,3.914824935017147
144.0,2.237429946785087,3.9136824673739357
145.0,2.2368552678972553,3.9125437157977636
146.0,2.236279315782684,3.911408611663426
147.0,2.2357021246086712,3.910277087815096
148.0,2.2351237278052505,3.9091490785349414
149.0,2.234544158080526,3.908024519512377
150.0,2.233963447435714,3.9069033478139423
151.0,2.2333816271798965,3.9057855018537935
152.0,2.232798727944494,3.904670921364799
153.0,2.232214779697459,3.9035595473702283
154.0,2.231629811757195,3.9024513221560224
155.0,2.2310438528062044,3.9013461892436374
156.0,2.230456930904469,3.900244093363448
157.0,2.2298690735025715,3.8991449804287033
158.0,2.2292803074545553,3.8980487975100244
159.0,2.2286906590305318,3.8969554928104326
160.0,2.2281001539290375,3.8958650156408976
161.0,2.2275088172891455,3.8947773163963997
162.0,2.226916673702334,3.893692346532492
163.0,2.226323747224117,3.892610058542357
164.0,2.2257300613854425,3.891530405934343
165.0,2.2251356392038586,3.8904533432099786
166.0,2.224540503194456,3.889378825842448
167.0,2.223944675380586,3.888306810255524
168.0,2.223348177304362,3.887237253802948
169.0,2.2227510300369455,3.886170114748245
170.0,2.222153254188622,3.885105352244974
