t,H,L
0.0,2.18,4.44
1.0,2.1916018449777046,4.402842626324974
2.0,2.203084062768902,4.366665305792435
3.0,2.214441929122338,4.33143986791625
4.0,2.2256705194208273,4.297140037336942
5.0,2.23676471739444,4.263741290909853
6.0,2.2471227428384024,4.2330096675977416
7.0,2.254426813127917,4.211518213162715
8.0,2.2596599984823587,4.195900477300176
9.0,2.2635032730668216,4.1840370947972465
10.0,2.2663562894491633,4.174751741881184
11.0,2.268473619066502,4.167327357291038
12.0,2.2700274835351126,4.161296049280655
13.0,2.271139855548788,4.156336369060233
14.0,2.271900255608135,4.152218440757391
15.0,2.272390218820626,4.148739761167036
16.0,2.2728151501108975,4.145412489234181
17.0,2.273220047324601,4.142130375458022
18.0,2.273605209972484,4.1388926507427
19.0,2.2739709362414064,4.135698555356169
20.0,2.27431752288073,4.132547338946473
21.0,2.274645265092856,4.129438260554102
22.0,2.2749544564279245,4.126370588620383
23.0,2.275245388682694,4.1233436009919116
24.0,2.2755183518036,4.120356584920998
25.0,2.2757736337939884,4.1174088370621575
26.0,2.276011520625511,4.114499663464647
27.0,2.276232296153662,4.111628379561084
28.0,2.2764362420374247,4.108794310152188
29.0,2.2766236376630005,4.105996789387685
30.0,2.276794760071571,4.103235160743443
31.0,2.2769498838910534,4.100508776994889
32.0,2.2770892812717873,4.097817000186782
33.0,2.2772132218261105,4.095159201599423
34.0,2.277321972571746,4.092534761711382
35.0,2.2774157978789424,4.089943070158822
36.0,2.2774949594212974,4.0873835256915285
37.0,2.2775597161301855,4.084855536125724
38.0,2.2776103241527186,4.082358518293778
39.0,2.277647036813156,4.079891897990908
40.0,2.277670104577684,4.077455109918992
41.0,2.277679775022476,4.075047597627577
42.0,2.2776762928049537,4.072668813452221
43.0,2.2776598996381554,4.070318218450249
44.0,2.2776308342681246,4.067995282334068
45.0,2.2775893324542293,4.065699483402125
46.0,2.277535626952321,4.063430308467642
47.0,2.277469947500638,4.06118725278523
48.0,2.2773925208083687,4.058969819975498
49.0,2.277303570546777,4.0567775219477715
50.0,2.277203317342797,4.054609878821028
51.0,2.277091978775016,4.052466418843166
52.0,2.276969769371941,4.050346678308714
53.0,2.276836900612467,4.048250201475082
54.0,2.276693580928459,4.046176540477474
55.0,2.2765400157093514,4.044125255242555
56.0,2.2763764073086885,4.042095913400982
57.0,2.2762029550525096,4.040088090198895
58.0,2.2760198552495003,4.038101368408472
59.0,2.275827301202826,4.036135338237633
60.0,2.2756254832235636,4.034189597239008
61.0,2.2754145886456545,4.032263750218231
62.0,2.2751948018422965,4.030357409141678
63.0,2.2749663042437023,4.028470193043713
64.0,2.2747292743561456,4.026601727933537
65.0,2.2744838877822247,4.02475164670172
66.0,2.274230317242271,4.02291958902649
67.0,2.2739687325968325,4.021105201279855
68.0,2.273699300870167,4.01930813643364
69.0,2.2734221862746766,4.017528053965489
70.0,2.2731375502362208,4.015764619764928
71.0,2.2728455514202506,4.0140175060395205
72.0,2.272546345758696,4.012286391221207
73.0,2.2722400864775576,4.01057095987287
74.0,2.2719269241251396,4.008870902595184
75.0,2.271607006600875,4.007185915933815
76.0,2.2712804791846897,4.005515702287003
77.0,2.2709474845668547,4.0038599698135915
78.0,2.2706081628782777,4.002218432341546
79.0,2.270262651721191,4.000590809277002
80.0,2.2699110862001883,3.998976825513888
81.0,2.269553598953568,3.997376211344162
82.0,2.269190320184942,3.9957887023686998
83.0,2.2688213776950756,3.994214039408864
84.0,2.2684468969139098,3.992651968418797
85.0,2.268067000932744,3.9911022403984573
86.0,2.267681810536535,3.989564611307437
87.0,2.2672914442362813,3.98803884197958
88.0,2.266896018301468,3.9865246980384303
89.0,2.2664956467925323,3.985021949813532
90.0,2.2660904415933314,3.9835303722575994
91.0,2.265680512443579,3.9820497448645806
92.0,2.2652659669712287,3.9805798515886295
93.0,2.2648469107247817,3.9791204807640037
94.0,2.26442344720549,3.9776714250259007
95.0,2.26399567789944,3.976232481232248
96.0,2.2635637023094963,3.974803450386456
97.0,2.2631276179870787,3.973384137561148
98.0,2.262687520563766,3.971974351822868
99.0,2.2622435037827002,3.970573906157785
100.0,2.2617956595297826,3.96918261739839
101.0,2.2613440778646403,3.9678003061511977
102.0,2.2608888470513575,3.9664267967254516
103.0,2.2604300535889497,3.9650619170628425
104.0,2.259967782241578,3.9637054986682334
105.0,2.2595021160684836,3.9623573765414
106.0,2.259033136453643,3.961017389109783
107.0,2.258560923135124,3.9596853781622507
108.0,2.258085554234139,3.958361188783874
109.0,2.2576071062837904,3.9570446692917063
110.0,2.257125654257495,3.9557356711715723
111.0,2.2566412715970876,3.954434049015853
112.0,2.256154030240589,3.953139660462272
113.0,2.2556640006496456,3.951852366133671
114.0,2.255171251836624,3.9505720295787707
115.0,2.2546758513913647,3.9492985172139146
116.0,2.254177865507588,3.948031698265784
117.0,2.25367735900895,3.9467714447150803
118.0,2.253174395374743,3.945517631241165
119.0,2.2526690367652495,3.9442701351676517
120.0,2.2521613440467294,3.943028836408942
121.0,2.2516513768160586,3.941793617417692
122.0,2.2511391934250047,3.940564363133206
123.0,2.250624851004146,3.9393409609307444
124.0,2.250108405486433,3.938123300571741
125.0,2.249589911630389,3.936911274154912
126.0,2.2490694230429553,3.935704776068255
127.0,2.24854699220198,3.934503702941921
128.0,2.2480226704783477,3.9333079536019553
129.0,2.2474965081577607,3.93211742902489
130.0,2.2469685544621614,3.9309320322931836
131.0,2.2464388575708094,3.929751668551491
132.0,2.2459074646410064,3.928576244963761
133.0,2.2453744218284775,3.9274056706711384
134.0,2.2448397743074056,3.926239856750673
135.0,2.2443035662901276,3.9250787161748115
136.0,2.243765841046491,3.923922163771674
137.0,2.2432266409228734,3.922770116186091
138.0,2.242686007360873,3.9216224918413976
139.0,2.2421439809156674,3.920479210901974
140.0,2.2416006012740457,3.919340195236516
141.0,2.2410559072721212,3.9182053683820266
142.0,2.2405099369127233,3.91707465550852
143.0,2.2399627273824723,3.9159479833844215
144.0,2.239414315068546,3.9148252803426575
145.0,2.2388647355751354,3.91370647624742
146.0,2.2383140237395973,3.912591502461597
147.0,2.2377622136483057,3.9114802918148586
148.0,2.2372093386522094,3.910372778572383
149.0,2.236655431382092,3.9092688984042185
150.0,2.2361005237635485,3.908168588355264
151.0,2.2355446470316735,3.9070717868158615
152.0,2.2349878317454706,3.9059784334929906
153.0,2.2344301078019853,3.9048884693820485
154.0,2.233871504450164,3.9038018367392118
155.0,2.2333120503044457,3.9027184790543665
156.0,2.2327517733580886,3.9016383410245967
157.0,2.2321907009962367,3.9005613685282214
158.0,2.2316288600087297,3.899487508599368
159.0,2.2310662766026605,3.8984167094030777
160.0,2.230502976414685,3.8973489202109257
161.0,2.229938984523087,3.8962840913771535
162.0,2.2293743254596015,3.8952221743152977
163.0,2.2288090232210065,3.894163121475311
164.0,2.2282431012804764,3.893106886321162
165.0,2.2276765825987095,3.89205342330891
166.0,2.227109489634832,3.891002687865235
167.0,2.22654184435708,3.8899546363664297
168.0,2.225973668253265,3.888909226117831
169.0,2.2254049823410256,3.8878664153336877
170.0,2.2248358071778718,3.886826163117457
