t,H,L
0.0,2.18,4.44
1.0,2.192253558978802,4.40284466165573
2.0,2.2043904144600335,4.366673747294868
3.0,2.2164053339930363,4.331459558087913
4.0,2.2282928565244946,4.297176318471036
5.0,2.2400473005997967,4.263800032017199
6.0,2.2510715245824393,4.233076489135388
7.0,2.2590327597410482,4.211601355549367
8.0,2.264914526761185,4.19600910296809
9.0,2.2693991997338867,4.1841787382706315
10.0,2.2728873145910025,4.1749329804649955
11.0,2.2756340963953283,4.167554045782674
12.0,2.2778123048033434,4.161573411101229
13.0,2.2795443838539393,4.156669038831588
14.0,2.28092028020799,4.152610492753052
15.0,2.2820169006400706,4.149206657300445
16.0,2.283019550137889,4.146019067485117
17.0,2.283997922083345,4.14288416867585
18.0,2.2849523335409354,4.139801107626462
19.0,2.285883102264388,4.136769038658626
20.0,2.286790546504846,4.133787123789829
21.0,2.287674984822955,4.1308545328567225
22.0,2.2885367359050464,4.127970443633621
23.0,2.2893761183835903,4.125134041945942
24.0,2.290193450662081,4.122344521778398
25.0,2.290989050744486,4.1196010853777825
26.0,2.2917632360693982,4.116902943350192
27.0,2.292516323348993,4.114249314752594
28.0,2.2932486284128903,4.1116394271786065
29.0,2.2939604660570057,4.109072516838446
30.0,2.2946521498974497,4.106547828632954
31.0,2.295323992229541,4.104064616221683
32.0,2.295976303891964,4.1016221420850085
33.0,2.2966093941361057,4.099219677580266
34.0,2.2972235705005826,4.096856502991916
35.0,2.297819138690968,4.09453190757577
36.0,2.298396402464708,4.092245189597306
37.0,2.2989556635212107,4.089995656364139
38.0,2.299497221397084,4.0877826242526965
39.0,2.3000213733664805,4.08560541872918
40.0,2.3005284143465117,4.083463374364909
41.0,2.3010186368076693,4.081355834846119
42.0,2.301492330689201,4.0792821529783465
43.0,2.301949783319368,4.077241690685499
44.0,2.3023912793405104,4.075233819003723
45.0,2.302817100638841,4.0732579180702215
46.0,2.3032275262788797,4.071313377107126
47.0,2.3036228324424397,4.069399594400585
48.0,2.304003292372067,4.067515977275198
49.0,2.3043691763188368,4.065661942063941
50.0,2.304720751494402,4.063836914073747
51.0,2.3050582820271868,4.0620403275468755
52.0,2.305382028922619,4.060271625618249
