t,H,L
0.0,2.18,4.44
1.0,2.192253558978802,4.40284466165573
2.0,2.2043902602397245,4.366673746781025
3.0,2.216404870696698,4.331459555409913
4.0,2.2282919288558936,4.297176310652444
5.0,2.2400457530311524,4.263800014551574
6.0,2.2510692001514028,4.2330764629319075
7.0,2.2590295088351913,4.211601313383872
8.0,2.264910201326277,4.196009035376414
9.0,2.2693936526668725,4.18417863450919
10.0,2.2728803997718394,4.1749328284564795
11.0,2.2756256686425633,4.167553832203903
12.0,2.277802219795605,4.161573121526987
13.0,2.2795324980370646,4.156668657899214
14.0,2.280906450698614,4.1526100043300085
15.0,2.282000991942419,4.149206028522946
16.0,2.283001456281219,4.146018193996207
17.0,2.2839775058941685,4.142883018359639
18.0,2.284929458978454,4.139799646357735
19.0,2.285857634419837,4.136767230320253
20.0,2.28676235159975,4.133784930291387
21.0,2.2876439302063343,4.130851914154275
22.0,2.2885026900496137,4.127967357750592
23.0,2.2893389508809814,4.125130444995026
24.0,2.290153032217153,4.122340367984447
25.0,2.2909452531687324,4.1195963271016
26.0,2.2917159322735157,4.116897531113191
27.0,2.2924653873346457,4.114243197262241
28.0,2.293193935263712,4.11163255135461
29.0,2.293901891928877,4.109064827839612
30.0,2.2945895720081015,4.106539269884667
31.0,2.295257288847514,4.104055129443953
32.0,2.295905354324971,4.101611667321021
33.0,2.2965340787188375,4.099208153225385
34.0,2.297143770581992,4.096843865823096
35.0,2.2977347366210754,4.094518092781307
36.0,2.2983072815809633,4.092230130806898
37.0,2.2988617081344516,4.089979285679188
38.0,2.2993983167771224,4.0877648722768205
39.0,2.29991740572736,4.08558621459888
40.0,2.300419270831461,4.08344264578035
41.0,2.300904205473794,4.081333508101985
42.0,2.301372500491941,4.0792581529947265
43.0,2.301824444096752,4.077215941038761
44.0,2.302260321797241,4.0752062419573525
45.0,2.3026804163302343,4.073228434605568
46.0,2.3030850075946945,4.071281906954047
47.0,2.3034743725906153,4.069366056067937
48.0,2.303848785362402,4.0674802880811525
49.0,2.304208516946631,4.065624018166098
50.0,2.304553835324082,4.063796670499013
51.0,2.304885005375944,4.06199767822109
52.0,2.3052022888440744,4.06022648339552
