t,H,L
0.0,2.18,4.44
1.0,2.1924039542875127,4.402845131693315
2.0,2.204691431450053,4.3666756967197795
3.0,2.2168570781479793,4.331464104285774
4.0,2.2288953061506387,4.297184693145507
5.0,2.2408003004404193,4.263813587154862
6.0,2.251975995442143,4.233091900695691
7.0,2.260086171190046,4.211620519973632
8.0,2.2661144538665883,4.196034126080848
9.0,2.270743542482387,4.184211346514349
10.0,2.274374178932801,4.1749746754858466
11.0,2.2772617414165612,4.167606158436211
12.0,2.2795791161628256,4.161637122423565
13.0,2.28144885842417,4.156745389917506
14.0,2.2829610156097795,4.152700391477907
15.0,2.2841914191048467,4.1493136376769995
16.0,2.2853206946246805,4.146158059974633
17.0,2.286424278334521,4.14305686629572
18.0,2.287502493387106,4.140009179501286
19.0,2.288555664191806,4.1370141295042675
20.0,2.289584116200226,4.134070853430155
21.0,2.2905881756955617,4.131178495772908
22.0,2.2915681695859518,4.128336208545848
23.0,2.2925244252020542,4.125543151427244
24.0,2.2934572700990614,4.122798491900345
25.0,2.294367031863341,4.1201014053876435
26.0,2.2952540379238786,4.117451075379153
27.0,2.2961186153686794,4.114846693554553
28.0,2.296961090766265,4.11228745989904
29.0,2.2977817899923907,4.109772582812761
30.0,2.2985810380620846,4.107301279213738
31.0,2.2993591589671016,4.104872774634199
32.0,2.300116475518864,4.102486303310261
33.0,2.3008533091969445,4.1001411082649275
34.0,2.301569980003142,4.0978364413843815
35.0,2.302266806321172,4.095571563487581
36.0,2.3029441047819956,4.093345744389165
37.0,2.303602190134785,4.091158262955713
38.0,2.304241375123518,4.089008407155408
39.0,2.3048619703691853,4.0868954741011505
40.0,2.305464284257575,4.084818770087231
41.0,2.3060486228325936,4.082777610619618
42.0,2.306615289695075,4.08077132043999
43.0,2.307164585907015,4.078799233543596
44.0,2.307696809901166,4.0768606931911
45.0,2.30821225739591,4.0749550519145
46.0,2.308711221315334,4.073081671517297
47.0,2.30919399171441,4.071239923069026
48.0,2.309660855709196,4.069429186894329
49.0,2.3101120974119382,4.067648852556704
50.0,2.3105479978709886,4.065898318837105
51.0,2.3109688350154127,4.064176993707554
52.0,2.311374883604181,4.062484294299933
53.0,2.311766415179825,4.060819646870128
54.0,2.3121436980264343,4.059182486757701
55.0,2.3125069971318784,4.057572258341263
56.0,2.312856574154125,4.055988414989724
57.0,2.313192687391527,4.054430419009597
58.0,2.313515591756955,4.0528977415885326
59.0,2.313825538755646,4.051389862735261
60.0,2.3141227764666383,4.049906271216115
61.0,2.3144075495276693,4.04844646448831
62.0,2.3146800991233993,4.0470099486301505
63.0,2.3149406629768445,4.045596238268334
64.0,2.315189475343884,4.044204856502522
65.0,2.3154267670107194,4.042835334827346
66.0,2.3156527652941614,4.041487213051998
67.0,2.3158676940446203,4.040160039217585
68.0,2.316071773651681,4.038853369512381
69.0,2.316265221052138,4.0375667681851555
70.0,2.3164482497403807,4.0362998074566985
71.0,2.3166210697810072,4.035052067429712
72.0,2.316783887823558,4.033823135997197
73.0,2.3169369071192527,4.032612608749477
74.0,2.3170803275396334,4.031420088879985
75.0,2.317214345596996,4.030245187089959
76.0,2.317339154466513,4.029087521492157
77.0,2.3174549440099517,4.027946717513711
78.0,2.3175619008008796,4.0268224077982575
79.0,2.317660208151274,4.025714232107431
80.0,2.3177500461394343,4.0246218372218445
81.0,2.3178315916391146,4.023544876841662
82.0,2.3179050183497876,4.022483011486852
83.0,2.317970496827957,4.021435908397232
84.0,2.318028194519436,4.02040324143239
85.0,2.318078275792521,4.019384690971557
86.0,2.3181209019719744,4.0183799438135495
87.0,2.3181562313737536,4.017388693076822
88.0,2.318184419340417,4.016410638099733
89.0,2.3182056182771325,4.015445484341085
90.0,2.318219977688231,4.014492943281016
91.0,2.318227644214245,4.0135527323222915
92.0,2.3182287616693666,4.012624574692083
93.0,2.3182234710792757,4.011708199344264
94.0,2.31821191071928,4.010803340862303
95.0,2.318194216152718,4.009909739362786
96.0,2.318170520269578,4.009027140399631
97.0,2.3181409533252784,4.0081552948690335
98.0,2.318105642979578,4.007293958915177
99.0,2.318064714335561,4.0064428938367715
100.0,2.318018289978666,4.00560186599443
101.0,2.317966490015716,4.004770646718937
102.0,2.3179094321139195,4.003949012220427
103.0,2.3178472315397975,4.003136743498513
104.0,2.3177800011980203,4.002333626253385
105.0,2.317707851670109,4.001539450797902
106.0,2.3176308912529824,4.000754011970703
107.0,2.3175492259973205,3.99997710905036
108.0,2.317462959745718,3.9992085456705797
109.0,2.317372194170605,3.998448129736482
110.0,2.317277028811916,3.9976956733419637
111.0,2.3171775611144816,3.9969509926881592
112.0,2.317073886465127,3.9962139080030106
113.0,2.3169660982294613,3.995484243461955
114.0,2.316854287788338,3.9947618271097385
115.0,2.3167385445739708,3.9940464907833615
116.0,2.316618956105698,3.993338070036157
117.0,2.3164956080253702,3.9926364040630116
118.0,2.3163685841323662,3.9919413356267257
119.0,2.316237966418209,3.9912527109855165
120.0,2.3161038351007868,3.990570379821661
121.0,2.3159662686581592,3.989894195171283
122.0,2.3158253438619516,3.9892240133552725
123.0,2.3156811358103204,3.9885596939113444
124.0,2.315533717960491,3.9879010995272255
125.0,2.3153831621608574,3.9872480959749677
126.0,2.3152295386826456,3.986600552046379
127.0,2.3150729162511285,3.9859583394895695
128.0,2.314913362076398,3.985321332946602
129.0,2.314750941883684,3.9846894098922414
130.0,2.3145857199432247,3.984062450573792
131.0,2.314417759099682,3.9834403379520165
132.0,2.314247120801104,3.982822957643126
133.0,2.314073865127435,3.9822101978618307
134.0,2.313898050818569,3.9816019493654395
135.0,2.3137197353019503,3.980998105399003
136.0,2.3135389747197257,3.980398561641481
137.0,2.313355823955441,3.9798032161529306
138.0,2.31317033666029,3.979211969322697
139.0,2.3129825652789187,3.9786247238185997
140.0,2.312792561074783,3.9780413845370974
141.0,2.312600374155065,3.977461858554424
142.0,2.312406053495149,3.9768860550786784
143.0,2.3122096469626663,3.9763138854028584
144.0,2.312011201341104,3.975745262858823
145.0,2.3118107623529855,3.9751801027721747
146.0,2.3116083746826317,3.974618322418042
147.0,2.3114040819984942,3.9740598409777546
148.0,2.3111979269750793,3.973504579496394
149.0,2.3109899513144563,3.972952460841211
150.0,2.3107801957673613,3.972403409660887
151.0,2.310568700153896,3.971857352345641
152.0,2.310355503383833,3.971314216988153
153.0,2.310140643476525,3.970773933345299
154.0,2.309924157580427,3.9702364328006863
155.0,2.3097060819922373,3.969701648327966
156.0,2.3094864521756606,3.9691695144549226
157.0,2.3092653027797994,3.968639967228314
158.0,2.309042667657176,3.968112944179459
159.0,2.3088185798813976,3.967588384290556
160.0,2.3085930717644603,3.9670662279617157
161.0,2.3083661748737048,3.966546416978703
162.0,2.3081379200484267,3.9660288944813678
163.0,2.3079083374161455,3.965513604932757
164.0,2.30767745640854,3.9650004940888923
165.0,2.3074453057770525,3.9644895089692045
166.0,2.307211913608172,3.9639805978276064
167.0,2.3069773073383946,3.9634737101242
168.0,2.306741513768876,3.9629687964975986
169.0,2.3065045590797713,3.9624658087378566
170.0,2.3062664688442736,3.9619646997599927
171.0,2.3060272680423575,3.9614654235780975
172.0,2.3057869810742266,3.9609679352800113
173.0,2.305545631773478,3.9604721910025624
174.0,2.305303243419982,3.9599781479073544
175.0,2.305059838752487,3.9594857641570913
176.0,2.304815439980952,3.958994998892431
177.0,2.3045700687986135,3.958505812209354
178.0,2.3043237463937887,3.958018165137038
179.0,2.304076493461426,3.95753201961623
180.0,2.3038283302144,3.9570473384781026
181.0,2.3035792763945606,3.9565640854235857
182.0,2.3033293512835415,3.9560822250031653
183.0,2.3030785737133304,3.9556017225971365
184.0,2.302826962076605,3.9551225443963043
185.0,2.3025745343368427,3.9546446573831204
186.0,2.302321308038206,3.954168029313249
187.0,2.302067300315208,3.9536926286975502
188.0,2.3018125279021637,3.9532184247844753
189.0,2.301557007142432,3.95274538754286
190.0,2.301300753997448,3.9522734876451144
191.0,2.3010437840555573,3.951802696450792
192.0,2.3007861125406492,3.95133298599054
193.0,2.300527754320598,3.9508643289504137
194.0,2.300268723915515,3.9503966986565504
195.0,2.3000090355058105,3.949930069060198
196.0,2.29974870294008,3.9494644147230873
197.0,2.2994877397428075,3.9489997108031365
198.0,2.2992261591218965,3.948535933040492
199.0,2.298963973976029,3.9480730577438865
200.0,2.298701196901858,3.9476110617773124
