t,H,L
0.0,2.18,4.44
1.0,2.1924039542875127,4.402845131693315
2.0,2.204691945516959,4.366675698433763
3.0,2.216858622463095,4.3314641132212275
4.0,2.228898398356029,4.297184719241005
5.0,2.240805458937447,4.263813645466064
6.0,2.2519837434239802,4.233091988202703
7.0,2.2600970073062308,4.211620660831801
8.0,2.266128871544285,4.196034351946195
9.0,2.2707620319509143,4.184211693338332
10.0,2.274397227115708,4.174975183697531
11.0,2.2772898320792665,4.167606872648265
12.0,2.2796127301748506,4.161638090950153
13.0,2.2814884740699575,4.156746664221986
14.0,2.2830071089117254,4.1527020256100515
15.0,2.2842444412010896,4.1493157418551725
16.0,2.2853809971418313,4.146160984490696
17.0,2.2864923178793397,4.143060719038075
18.0,2.2875787227195015,4.140014075146637
19.0,2.2886405322247216,4.137020189462017
20.0,2.2896780680033983,4.1340782057823935
21.0,2.2906916525030137,4.131187275210214
22.0,2.2916816088070906,4.128346556299108
23.0,2.2926482604362355,4.125555215195694
24.0,2.293591931153477,4.122812425776059
25.0,2.29451294477409,4.120117369776667
26.0,2.2954116249800776,4.117469236919495
27.0,2.296288295139464,4.11486722503126
28.0,2.297143278130543,4.112310540156536
29.0,2.2979768961711953,4.109798396664688
30.0,2.2987894706533867,4.107330017350476
31.0,2.299581321982936,4.104904633528283
32.0,2.300352769424624,4.102521485119882
33.0,2.301104130952708,4.100179820735722
34.0,2.301835723106881,4.097878897749685
35.0,2.3025478608537195,4.095617982367342
36.0,2.3032408574536216,4.093396349687694
37.0,2.3039150243332567,4.091213283758446
38.0,2.304570670963514,4.089068077624843
39.0,2.3052081047429334,4.086960033372138
40.0,2.305827630886591,4.084888462161766
41.0,2.306429552320403,4.082852684261285
42.0,2.3070141695807993,4.080852029068213
43.0,2.3075817807197105,4.078885835127839
44.0,2.3081326812148024,4.07695345014514
45.0,2.308667163884889,4.075054230990914
46.0,2.3091855188104438,4.073187543702273
47.0,2.30968803325912,4.071352763477635
48.0,2.3101749916161913,4.069549274666342
49.0,2.310646675319819,4.067776470753084
50.0,2.311103362801034,4.066033754337252
51.0,2.3115453294283377,4.064320537107415
52.0,2.311972847456807,4.062636239811044
53.0,2.312386185981588,4.060980292219689
54.0,2.3127856108956677,4.059352133089747
55.0,2.3131713848517994,4.057751210119002
56.0,2.3135437672284653,4.056176979899114
57.0,2.3139030140997514,4.054628907864216
58.0,2.3142493782090137,4.0531064682358
59.0,2.314583108946209,4.051609143964057
60.0,2.314904452328766,4.050136426665843
61.0,2.3152136509858763,4.0486878165594495
62.0,2.3155109441460717,4.047262822396324
63.0,2.3157965676279733,4.045860961389936
64.0,2.316070753834081,4.044481759141922
65.0,2.316333731747485,4.0431247495657
66.0,2.3165857269313785,4.041789474807686
67.0,2.316826961531246,4.040475485166287
68.0,2.317057654279617,4.039182339008815
69.0,2.317278020503258,4.037909602686471
70.0,2.3174882721327013,4.036656850447554
71.0,2.3176886177139817,4.035423664349018
72.0,2.317879262422485,4.034209634166545
73.0,2.3180604080787908,4.033014357303235
74.0,2.318232253166406,4.031837438697077
75.0,2.3183949928512884,4.030678490727304
76.0,2.3185488190030523,4.029537133119764
77.0,2.3186939202177683,4.028412992851427
78.0,2.3188304818422485,4.02730570405415
79.0,2.3189586859997364,4.026214907917789
80.0,2.319078711616902,4.025140252592791
81.0,2.319190734452059,4.02408139309235
82.0,2.3192949271245182,4.023037991194238
83.0,2.3193914591449953,4.022009715342399
84.0,2.319480496946992,4.020996240548395
85.0,2.3195622039190757,4.0199972482928
86.0,2.319636740437984,4.019012426426616
87.0,2.3197042639024796,4.018041469072798
88.0,2.3197649287678925,4.017084076527954
89.0,2.319818886581278,4.016139955164303
90.0,2.3198662860171297,4.015208817331947
91.0,2.31990727291359,4.014290381261535
92.0,2.319941990309093,4.013384370967368
93.0,2.319970578479389,4.012490516151014
94.0,2.319993174974897,4.011608552105475
95.0,2.3200099146583337,4.01073821961997
96.0,2.320020929742569,4.009879264885375
97.0,2.3200263498286637,4.009031439400364
98.0,2.3200263019440444,4.008194499878305
99.0,2.3200209105807748,4.007368208154927
100.0,2.3200102977338823,4.006552331096828
101.0,2.3199945829397026,4.005746640510827
102.0,2.3199738833142063,4.004950913054206
103.0,2.3199483135912757,4.004164930145874
104.0,2.3199179861608963,4.003388477878479
105.0,2.3198830111072346,4.002621346931474
106.0,2.319843496246577,4.001863332485194
107.0,2.3197995471650947,4.001114234135929
108.0,2.319751267256422,4.000373855812035
109.0,2.31969875775901,3.9996420056910935
110.0,2.319642117793246,3.9989184961181214
111.0,2.3195814443983105,3.998203143524865
112.0,2.319516832568757,3.997495768350173
113.0,2.3194483752907944,3.996796194961466
114.0,2.319376163578254,3.9961042515773033
115.0,2.3193002865082333,3.9954197701910648
116.0,2.31922083125639,3.9947425864957387
117.0,2.319137883131887,3.994072539809832
118.0,2.3190515256119664,3.9934094730043967
119.0,2.318961840376145,3.992753232431178
120.0,2.3188689073400246,3.992103667851881
121.0,2.3187728046887024,3.991460632368563
122.0,2.3186736089097773,3.9908239823551352
123.0,2.3185713948259457,3.990193577389987
124.0,2.3184662356271764,3.989569280189717
125.0,2.3183582029024636,3.9889509565439734
126.0,2.318247366671152,3.9883384752513926
127.0,2.318133795413826,3.987731708056636
128.0,2.318017556102766,3.9871305295885144
129.0,2.3178987142319643,3.9865348172991926
130.0,2.3177773338467005,3.9859444514044675
131.0,2.3176534775726747,3.9853593148251116
132.0,2.3175272066446952,3.9847792931292703
133.0,2.317398580934925,3.9842042744759056
134.0,2.31726765898068,3.9836341495592773
135.0,2.317134498011788,3.983068811554446
136.0,2.3169991539774992,3.9825081560637963
137.0,2.3168616815729592,3.9819520810645566
138.0,2.3167221342652393,3.9814004868573187
139.0,2.316580564318927,3.980853276015533
140.0,2.3164370228212823,3.9803103533359727
141.0,2.3162915597069604,3.979771625790158
142.0,2.3161442237822993,3.9792370024767205
143.0,2.3159950627491845,3.9787063945747025
144.0,2.315844123228484,3.978179715297773
145.0,2.3156914507830657,3.9776568798493526
146.0,2.3155370899403946,3.9771378053786304
147.0,2.315381084214718,3.9766224109374613
148.0,2.31522347612884,3.9761106174381315
149.0,2.3150643072354895,3.975602347611979
150.0,2.3149036181382905,3.975097525968854
151.0,2.314741448512332,3.9745960787574104
152.0,2.3145778371243475,3.974097933926209
153.0,2.3144128218525086,3.9736030210856237
154.0,2.3142464397058338,3.973111271470541
155.0,2.3140787268432206,3.972622617903828
156.0,2.3139097185921065,3.97213699476057
157.0,2.3137394494667602,3.9716543379330527
158.0,2.313567953186212,3.9711745847964877
159.0,2.3133952626918264,3.9706976741754554
160.0,2.313221410164522,3.9702235463110642
161.0,2.313046427041646,3.969752142828807
162.0,2.312870344033506,3.9692834067071048
163.0,2.3126931911395645,3.968817282246522
164.0,2.312514997664305,3.968353715039648
165.0,2.31233579223277,3.9678926519416216
166.0,2.312155602805778,3.9674340410412987
167.0,2.311974456694826,3.966977831633043
168.0,2.3117923805766836,3.9665239741891285
169.0,2.311609400507678,3.9660724203327478
170.0,2.311425541937683,3.9656231228116066
171.0,2.3112408297238116,3.9651760354721004
172.0,2.3110552881438196,3.9647311132340555
173.0,2.3108689409092245,3.96428831206603
174.0,2.3106818111781453,3.9638475889611584
175.0,2.3104939215678684,3.96340890191353
176.0,2.3103052941671436,3.962972209895092
177.0,2.3101159505482167,3.9625374728330693
178.0,2.3099259117786013,3.962104651587881
179.0,2.3097351984325964,3.9616737079315554
180.0,2.3095438306025553,3.9612446045266254
181.0,2.309351827909908,3.9608173049054964
182.0,2.309159209515944,3.96039177345028
183.0,2.308965994132359,3.9599679753730777
184.0,2.30877220003157,3.9595458766967115
185.0,2.308577845056805,3.9591254442358883
186.0,2.3083829466319696,3.958706645578791
187.0,2.308187521771295,3.9582894490690848
188.0,2.307991587088774,3.9578738237883333
189.0,2.307795158807387,3.9574597395388125
190.0,2.3075982527681225,3.9570471668267166
191.0,2.3074008844387985,3.9566360768457467
192.0,2.307203068922684,3.9562264414610726
193.0,2.3070048209669305,3.955818233193661
194.0,2.3068061549708148,3.9554114252049635
195.0,2.306607084993794,3.955005991281953
196.0,2.306407624763382,3.9546019058225057
197.0,2.3062077876828484,3.9541991438211164
198.0,2.306007586838742,3.9537976808549424
199.0,2.305807035008248,3.95339749307017
200.0,2.305606144666373,3.952998557168692
