t,H,L
0.0,2.18,4.44
1.0,2.1924039542875127,4.402845131693315
2.0,2.204691688483506,4.36667569757677
3.0,2.2168578503055394,4.331464108753497
4.0,2.228896852253346,4.297184706193239
5.0,2.2408028796889776,4.2638136163104
6.0,2.2519798694331676,4.233091944449055
7.0,2.260091589248393,4.211620590402383
8.0,2.2661216627059937,4.196034239012799
9.0,2.2707527872177518,4.184211519924926
10.0,2.274385703026253,4.174974929589142
11.0,2.277275786751298,4.167606515537963
12.0,2.2795959231742535,4.161637606680077
13.0,2.281468666255336,4.156746027059478
14.0,2.282984062272906,4.1527012085290345
15.0,2.2842179301708683,4.149314689744041
16.0,2.285350845912013,4.146159522195989
17.0,2.2864582981495056,4.1430587926116695
18.0,2.2875406081132277,4.140011627245517
19.0,2.2885980982897,4.1370171593759935
20.0,2.289631092209623,4.134074529464025
21.0,2.2906399142391045,4.131182885306824
22.0,2.291624889374812,4.128341382186789
23.0,2.2925863430432867,4.125549183015197
24.0,2.2935246009046195,4.122805458470465
25.0,2.2944399886606854,4.120109387130725
26.0,2.295332831868107,4.1174601556005435
27.0,2.2962034557561006,4.114856958631596
28.0,2.2970521850493513,4.112298999237158
29.0,2.297879343796028,4.109785488800287
30.0,2.2986852552010544,4.1073156471755885
31.0,2.2994702414647175,4.104888702784496
32.0,2.300234623626693,4.102503892703997
33.0,2.300978721415544,4.100160462748775
34.0,2.301702853103736,4.097857667546739
35.0,2.302407335368206,4.095594770607948
36.0,2.3030924831564965,4.09337104438694
37.0,2.303758609558458,4.0911857703384955
38.0,2.3044060256835235,4.089038238966894
39.0,2.305035040543523,4.086927749868707
40.0,2.3056459609410185,4.08485361176922
41.0,2.306239091363115,4.082815142552554
42.0,2.3068147338806986,4.080811669285598
43.0,2.3073731880530475,4.078842528235854
44.0,2.307914750837743,4.0769070648833114
45.0,2.3084397165058115,4.0750046339264845
46.0,2.3089483765620153,4.07313459928274
47.0,2.309441019670203,4.071296334083066
48.0,2.309917931583624,4.069489220661418
49.0,2.310379395080116,4.067712650538805
50.0,2.3108256899020487,4.065966024402278
51.0,2.31125709270093,4.064248752078966
52.0,2.3116738769865477,4.062560252505347
53.0,2.3120763130805466,4.060899953691902
54.0,2.312464668074308,4.059267292683345
55.0,2.312839205791024,4.05766171551458
56.0,2.3132001867518324,4.056082677162571
57.0,2.3135478681458985,4.054529641494297
58.0,2.3138825038043125,4.053002081210965
59.0,2.314204344177675,4.051499477788652
60.0,2.314513636317252,4.050021321415554
61.0,2.3148106238595636,4.04856711092601
62.0,2.3150955470142853,4.047136353731473
63.0,2.3153686425553364,4.0457285657485915
64.0,2.3156301438150266,4.044343271324576
65.0,2.3158802806811414,4.042980003160002
66.0,2.3161192795968377,4.0416383022292255
67.0,2.3163473635632346,4.040317717698551
68.0,2.3165647521445725,4.039017806842322
69.0,2.3167716614758307,4.037738134957074
70.0,2.3169683042726774,4.036478275273906
71.0,2.3171548898436476,4.035237808869206
72.0,2.317331624104431,4.034016324573881
73.0,2.317498709594162,4.032813418881217
74.0,2.317656345493607,4.031628695853508
75.0,2.317804727645138,4.030461767027583
76.0,2.3179440485744016,4.029312251319348
77.0,2.318074497513571,4.028179774927473
78.0,2.318196260426094,4.027063971236335
79.0,2.318309520032841,4.025964480718324
80.0,2.318414455839558,4.02488095083563
81.0,2.3185112441655407,4.023813035941608
82.0,2.3186000581734434,4.022760397181822
83.0,2.318681067900137,4.021722702394863
84.0,2.3187544402885387,4.020699626013031
85.0,2.31882033922034,4.019690848962978
86.0,2.318878925549546,4.018696058566377
87.0,2.3189303571367725,4.017714948440717
88.0,2.3189747888842143,4.016747218400286
89.0,2.319012372771231,4.015792574357418
90.0,2.3190432578904803,4.014850728224077
91.0,2.3190675904845404,4.013921397813834
92.0,2.319085513982961,4.013004306744312
93.0,2.319097169039691,4.012099184340136
94.0,2.319102693570822,4.011205765536468
95.0,2.319102222792607,4.010323790783158
96.0,2.3190958892596942,4.00945300594957
97.0,2.3190838229035395,4.008593162230129
98.0,2.3190661510709463,4.007744016050619
99.0,2.3190429985626952,4.00690532897529
100.0,2.3190144876722214,4.006076867614799
101.0,2.3189807382243024,4.005258403535017
102.0,2.31894186761372,4.004449713166746
103.0,2.3188979908438654,4.003650577716359
104.0,2.3188492205652507,4.002860783077403
105.0,2.3187956671139003,4.002080119743188
106.0,2.318737438549593,4.001308382720372
107.0,2.318674640693928,4.000545371443574
108.0,2.3186073771681874,3.9997908896910377
109.0,2.318535749430978,3.9990447455013394
110.0,2.3184598568156223,3.9983067510911825
111.0,2.3183797965672848,3.997576722774272
112.0,2.318295663879811,3.996854480881286
113.0,2.318207551932263,3.996139849680952
114.0,2.3181155519251337,3.9954326573022416
115.0,2.3180197531162268,3.994732735657678
116.0,2.317920242856186,3.994039920367773
117.0,2.3178171066236626,3.9933540506865906
118.0,2.3177104280601095,3.99267496942844
119.0,2.3176002890041882,3.992002522895701
120.0,2.317486769525783,3.9913365608077798
121.0,2.317369947959611,3.9906769362311953
122.0,2.3172499009384233,3.9900235055107927
123.0,2.317126703425784,3.9893761282020823
124.0,2.3170004287484276,3.9887346670047
125.0,2.3168711486281865,3.9880989876969815
126.0,2.3167389332134833,3.987468959071649
127.0,2.3166038511103855,3.9868444528726017
128.0,2.316465969413218,3.986225343732802
129.0,2.3163253537347326,3.985611509113253
130.0,2.3161820682358294,3.985002829243056
131.0,2.3160361756548324,3.9843991870605424
132.0,2.315887737336315,3.9838004681554637
133.0,2.315736813259477,3.9832065607122424
134.0,2.315583462066072,3.98261735545426
135.0,2.315427741087887,3.9820327455891804
136.0,2.315269706373775,3.981452626755294
137.0,2.3151094127162373,3.9808768969688724
138.0,2.3149469136775664,3.980305456572524
139.0,2.3147822616155422,3.979738208184533
140.0,2.314615507708689,3.979175056649174
141.0,2.314446701981095,3.9786159089879924
142.0,2.314275893326795,3.9780606743520317
143.0,2.3141031295337258,3.9775092639749983
144.0,2.3139284573072465,3.976961591127352
145.0,2.31375192229324,3.9764175710713094
146.0,2.313573569100789,3.9758771210167416
147.0,2.3133934413244397,3.975340160077962
148.0,2.3132115815660472,3.974806609231384
149.0,2.313028031456217,3.9742763912740395
150.0,2.312842831675339,3.9737494307829397
151.0,2.312656021974226,3.973225654075274
152.0,2.312467641194353,3.972704989169423
153.0,2.3122777272877086,3.9721873657467803
154.0,2.3120863173362634,3.9716727151143676
155.0,2.311893447571055,3.971160970168227
156.0,2.3116991533908995,3.9706520653575823
157.0,2.311503469380734,3.970145936649753
158.0,2.311306429329593,3.969642521495807
159.0,2.311108066248226,3.9691417587969435
160.0,2.310908412386362,3.9686435888715903
161.0,2.310707499249622,3.968147953423199
162.0,2.3105053576160923,3.967654795508736
163.0,2.310302017552555,3.967164059507843
164.0,2.310097508430389,3.966675691092669
165.0,2.309891858941142,3.9661896371983474
166.0,2.3096850971117795,3.96570584599412
167.0,2.3094772503196186,3.9652242668550803
168.0,2.309268345306948,3.964744850334541
169.0,2.3090584081953422,3.9642675481369998
170.0,2.3088474644996775,3.9637923130917
171.0,2.308635539141846,3.9633190991267706
172.0,2.308422656464184,3.962847861243939
173.0,2.3082088402426133,3.9623785554937965
174.0,2.3079941136995004,3.961911138951618
175.0,2.3077784995162425,3.9614455696937108
176.0,2.307562019845581,3.9609818067742952
177.0,2.3073446963236526,3.960519810202897
178.0,2.307126550081776,3.960059540922244
179.0,2.306907601757986,3.9596009607866605
180.0,2.306687871508315,3.95914403254094
181.0,2.306467379017831,3.958688719799698
182.0,2.30624614351143,3.9582349870271876
183.0,2.3060241837643973,3.957782799517567
184.0,2.3058015181127316,3.957332123375616
185.0,2.305578164463245,3.9568829254978866
186.0,2.3053541403034385,3.9564351735542806
187.0,2.3051294627111605,3.955988835970046
188.0,2.304904148364049,3.955543881908181
189.0,2.3046782135487662,3.95510028125224
190.0,2.304451674170024,3.9546580045895285
191.0,2.3042245457594124,3.9542170231946843
192.0,2.303996843484028,3.9537773090136326
193.0,2.3037685821549094,3.9533388346479077
194.0,2.3035397762352834,3.952901573339334
195.0,2.303310439848626,3.9524654989550587
196.0,2.3030805867865425,3.952030585972928
197.0,2.302850230516468,3.9515968094671985
198.0,2.302619384189195,3.951164145094578
199.0,2.302388060646233,3.9507325690805892
200.0,2.3021562724269953,3.9503020582062454
201.0,2.301924031775829,3.949872589795035
