t,H,L
0.0,2.18,4.44
1.0,2.192604481231532,4.402845758611967
2.0,2.2050934374545355,4.366678299802262
3.0,2.2174613557871625,4.331470183081608
4.0,2.2297024790464777,4.297195906890294
5.0,2.241810813650524,4.263831763792937
6.0,2.2531917405622037,4.233112599478668
7.0,2.2615043987788384,4.211646309274021
8.0,2.267732546796926,4.196067864750245
9.0,2.2725593122859666,4.184255392983319
10.0,2.2763857071518747,4.1750310940846616
11.0,2.2794673095438824,4.167676790782738
12.0,2.281977170757149,4.161723614491243
13.0,2.284037991204193,4.1568492042552725
14.0,2.285739950052313,4.152822815265785
15.0,2.2871573964272978,4.149459558162961
16.0,2.288464516605784,4.146347986564054
17.0,2.2897446158251165,4.14329322065439
18.0,2.2909980197871946,4.140294360774259
19.0,2.292225056272023,4.137350513463838
20.0,2.2934260548973495,4.134460791663821
21.0,2.29460134688153,4.131624314911618
22.0,2.295751264809949,4.128840209532693
23.0,2.2968761424053046,4.126107608826685
24.0,2.297976314302031,4.123425653247954
25.0,2.299052115825143,4.12079349058023
26.0,2.300103882773732,4.118210276105108
27.0,2.3011319512093458,4.1156751727641065
28.0,2.302136657249455,4.113187351314072
29.0,2.30311833686619,4.110745990475744
30.0,2.304077325690517,4.108350277075291
31.0,2.3050139588219953,4.105999406178697
32.0,2.3059285706442445,4.103692581218851
33.0,2.3068214946462327,4.101429014115286
34.0,2.3076930632494737,4.099207925386455
35.0,2.308543607641211,4.097028544254537
36.0,2.309373457613642,4.09489010874272
37.0,2.310182941409229,4.092791865764974
38.0,2.310972385572118,4.09073307120832
39.0,2.3117421148056803,4.088712990007639
40.0,2.3124924518361762,4.086730896213052
41.0,2.3132237172825203,4.0847860730499725
42.0,2.3139362295321235,4.0828778129718755
43.0,2.3146303046227743,4.081005417705911
44.0,2.315306256130504,4.0791681982914545
45.0,2.3159643950633764,4.077365475111725
46.0,2.3166050297611327,4.075596577918598
47.0,2.3172284658006093,4.073860845850756
48.0,2.3178350059068427,4.072157627445338
49.0,2.3184249498697636,4.0704862806432365
50.0,2.3189985944663802,4.0688461727882155
51.0,2.3195562333883406,4.06723668062002
52.0,2.320098157174759,4.065657190261664
53.0,2.320624653150188,4.064107097201063
54.0,2.321136005367613,4.062585806267224
55.0,2.3216324945563387,4.061092731601158
56.0,2.322114398074641,4.059627296621729
57.0,2.3225819898670457,4.058188933986621
58.0,2.323035540426102,4.0567770855486245
59.0,2.32347531675851,4.055391202307442
60.0,2.3239015823554636,4.054030744357203
61.0,2.324314597167073,4.052695180829888
