t,H,L
0.0,2.18,4.44
1.0,2.192604481231532,4.402845758611967
2.0,2.205093591674291,4.366678300316926
3.0,2.2174618190792903,4.331470185765761
4.0,2.229703406698768,4.297195914732372
5.0,2.24181236117353,4.263831781323342
6.0,2.253194064907991,4.233112625795731
7.0,2.2615076495187623,4.21164635165436
8.0,2.267736871924223,4.196067932734323
9.0,2.272564858823554,4.184255497412563
10.0,2.276392621119252,4.175031247156569
11.0,2.2794757360012436,4.1676770059622
12.0,2.281987253884275,4.16172390636483
13.0,2.2840498743941984,4.156849588364056
14.0,2.285753776009229,4.152823307934792
15.0,2.287173300285342,4.14946019272816
16.0,2.28848260320354,4.146348869094689
17.0,2.289765021887305,4.143294383853296
18.0,2.2910208808557155,4.140295839417259
19.0,2.29225050670499,4.137352344384033
20.0,2.2934542278693835,4.134463013734417
21.0,2.2946323743852766,4.131626969027356
22.0,2.295785277658776,4.128843338589949
23.0,2.2969132702371318,4.126111257702306
24.0,2.2980166855842596,4.123429868776891
25.0,2.299095857860628,4.120798321532057
26.0,2.3001511217077604,4.11821577315946
27.0,2.3011828120375677,4.115681388485136
28.0,2.302191263826729,4.113194340123975
29.0,2.30317681191629,4.110753808627425
30.0,2.304139790816656,4.108358982624238
31.0,2.30508053451812,4.10600905895412
32.0,2.3059993763070525,4.103703242794171
33.0,2.30689664858787,4.101440747778007
34.0,2.307772682710862,4.099220796107513
35.0,2.3086278088059626,4.097042618657164
36.0,2.3094623556225184,4.094905455070891
37.0,2.310276650375097,4.092808553851498
38.0,2.311071018595363,4.090751172442625
39.0,2.311845783990036,4.088732577303305
40.0,2.3126012683049235,4.086752043975158
41.0,2.3133377911950244,4.0848088571422885
42.0,2.3140556701006645,4.082902310683964
43.0,2.314755220129636,4.081031707720177
44.0,2.315436753945284,4.0791963606501955
45.0,2.316100581660482,4.077395591184216
46.0,2.3167470107374313,4.07562873036826
47.0,2.317376345893198,4.0738951186024455
48.0,2.3179888890109073,4.072194105652793
49.0,2.3185849390564974,4.070525050656714
50.0,2.319164792000935,4.068887322122357
51.0,2.3197287407477787,4.067280297921973
52.0,2.3202770750659862,4.065703365279487
53.0,2.3208100815278403,4.0641559207524525
54.0,2.3213280434518713,4.062637370208575
55.0,2.321831240850656,4.061147128796992
56.0,2.322319950383355,4.059684620914502
57.0,2.3227944453128626,4.058249280166944
58.0,2.3232549954674298,4.056840549325907
59.0,2.3237018672066267,4.055457880280974
60.0,2.3241353233915056,4.054100733987698
61.0,2.324555623358824,4.052768580411496
62.0,2.324963022899189,4.0514608984676626
