t,H,L
0.0,2.18,4.44
1.0,2.1921031635838104,4.402844191747885
2.0,2.2040885742330323,4.366671796208309
3.0,2.2159511163310395,4.331455001389008
4.0,2.2276854528582515,4.297167911398684
5.0,2.239286033757999,4.263786402561571
6.0,2.2501546373570194,4.233060963065031
7.0,2.2579619800115642,4.2115820038246135
8.0,2.2636914840961393,4.195983776391819
9.0,2.2680252035111685,4.184145660208509
10.0,2.2713634731837202,4.174890591956895
11.0,2.273961369882737,4.167500951848347
12.0,2.2759915312434345,4.161508360355248
13.0,2.2775762942614373,4.156590914321544
14.0,2.2788055085971757,4.1525183060058355
15.0,2.2797571849096285,4.149096722179659
16.0,2.280621416937541,4.145875999421714
17.0,2.2814620397852474,4.142706121510258
18.0,2.282279369985933,4.139586248900089
19.0,2.283073724230601,4.136515550165218
20.0,2.2838454191926076,4.133493202101809
21.0,2.28459477135637,4.13051838982638
22.0,2.285322096850404,4.127590306869113
23.0,2.2860277112848086,4.124708155262084
24.0,2.2867119295933223,4.121871145622324
25.0,2.2873750658800422,4.119078497229557
26.0,2.2880174332709022,4.116329438098556
27.0,2.288639343769971,4.113623205046024
28.0,2.2892411081206414,4.110959043751952
29.0,2.2898230356717466,4.108336208815419
30.0,2.290385434248646,4.105753963804812
31.0,2.290928610029296,4.103211581302458
32.0,2.2914528674253214,4.1007083429436815
33.0,2.291958508968085,4.0982435394503165
34.0,2.2924458351997483,4.095816470658699
35.0,2.2929151445692955,4.093426445542197
36.0,2.2933667333335035,4.091072782228349
37.0,2.293800895462809,4.088754808010662
38.0,2.294217922552032,4.086471859355168
39.0,2.2946181037359032,4.08422328190183
40.0,2.29500172560933,4.082008430460887
41.0,2.2953690721523357,4.079826669004255
42.0,2.2957204246596015,4.077677370652097
43.0,2.296056061674527,4.075559917654677
44.0,2.2963762589277295,4.073473701369632
45.0,2.2966812892798916,4.071418122234788
46.0,2.2969714226688636,4.069392589736661
47.0,2.2972469260609247,4.067396522374769
48.0,2.297508063406107,4.065429347621913
49.0,2.2977550955974726,4.063490501880567
50.0,2.2979882804342453,4.061579430435511
51.0,2.2982078725886863,4.059695587402873
52.0,2.2984141235766082,4.057838435675716
53.0,2.298607281731414,4.056007446866332
54.0,2.2987875921815526,4.054202101245369
55.0,2.29895529683128,4.052421887677975
56.0,2.299110634344609,4.050666303557077
57.0,2.2992538401323444,4.048934854733953
58.0,2.2993851463420825,4.047227055446255
59.0,2.2995047818510703,4.045542428243609
60.0,2.299612972261809,4.043880503910947
61.0,2.299709939900295,4.042240821389712
62.0,2.2997959038167886,4.040622927697065
63.0,2.2998710797890016,4.0390263778432445
64.0,2.299935680327599,4.037450734747199
65.0,2.2999899146839105,4.035895569150632
66.0,2.3000339888597443,4.034360459530585
67.0,2.300068105619211,4.0328449920106735
68.0,2.3000924645024496,4.031348760271124
69.0,2.3001072618411595,4.029871365457691
70.0,2.3001126907758507,4.028412416089608
71.0,2.30010894127471,4.0269715279666585
72.0,2.3000962001539977,4.025548324075479
73.0,2.300074651099885,4.024142434495212
74.0,2.3000444746916457,4.022753496302588
75.0,2.300005848426119,4.021381153476559
76.0,2.299958946743364,4.0200250568025515
77.0,2.2999039410534183,4.018684863776448
78.0,2.2998409997640996,4.017360238508378
79.0,2.2997702883097615,4.0160508516264
80.0,2.299691969180939,4.0147563801801525
81.0,2.299606201954816,4.013476507544555
82.0,2.299513143326439,4.012210923323634
83.0,2.2994129471406284,4.010959323254533
84.0,2.2993057644245085,4.0097214091117825
85.0,2.2991917434206077,4.00849688861189
86.0,2.2990710296204666,4.007285475318309
87.0,2.2989437657987017,4.006086888546844
88.0,2.298810092047471,4.004900853271547
89.0,2.2986701458112893,4.003727100031153
90.0,2.2985240619221465,4.002565364836106
91.0,2.2983719726348846,4.00141538907622
92.0,2.298214007662783,4.000276919429011
93.0,2.298050294213319,3.99914970776875
94.0,2.2978809570240526,3.9980335110762697
95.0,2.297706118398609,3.996928091349553
96.0,2.2975258982427116,3.995833215515147
97.0,2.2973404141002396,3.994748655340424
98.0,2.297149781189271,3.993674187346721
99.0,2.296954112438086,3.99260959272338
100.0,2.296753518521094,3.991554657242717
101.0,2.2965481078946657,3.990509171175937
102.0,2.2963379868328357,3.989472929210015
103.0,2.2961232594628562,3.9884457303655623
104.0,2.2959040278005762,3.987427377915694
105.0,2.2956803917856257,3.9864176793059074
106.0,2.295452449316385,3.985416446074989
107.0,2.2952202962847172,3.9844234937769567
108.0,2.29498402661045,3.983438641904053
109.0,2.294743732275588,3.9824617138107863
110.0,2.2944995033582387,3.9814925366390352
111.0,2.2942514280662425,3.980530941244222
112.0,2.2939995927704877,3.979576762122551
113.0,2.2937440820379047,3.978629837339322
114.0,2.293484978664121,3.9776900084583184
115.0,2.293222363705775,3.9767571204722687
116.0,2.2929563165124702,3.9758310217343826
117.0,2.2926869147583706,3.9749115638909616
118.0,2.2924142344734215,3.973998601815078
119.0,2.2921383500741954,3.9730919935413236
120.0,2.2918593343943523,3.9721916002016195
121.0,2.2915772587147107,3.9712972859620894
122.0,2.2912921927929273,3.9704089179609805
123.0,2.2910042048927743,3.9695263662476377
124.0,2.2907133618130198,3.968649503722515
125.0,2.2904197289159014,3.9677782060782225
126.0,2.290123370155194,3.9669123517415987
127.0,2.28982434810387,3.9660518218168006
128.0,2.2895227239813494,3.965196500029404
129.0,2.2892185576803383,3.9643462726715004
130.0,2.2889119077932603,3.9635010285477903
131.0,2.288602831638274,3.9626606589226503
132.0,2.28829138528488,3.961825057468174
133.0,2.287977623579124,3.960994120213173
134.0,2.287661600168383,3.960167745493126
135.0,2.2873433675257533,3.9593458339010654
136.0,2.2870229769740273,3.95852828823939
137.0,2.286700478709272,3.957715013472596
138.0,2.2863759218240034,3.9569059166809066
