t,H,L
0.0,2.398,4.7652
1.0,2.395448198787427,4.7708733498256315
2.0,2.392938083828785,4.77647614294056
3.0,2.3904684504627007,4.782010264736275
4.0,2.3880381447983394,4.78747752514527
5.0,2.3856460609186434,4.7928796626400585
6.0,2.3832911382728694,4.798218347969727
7.0,2.380972359243285,4.803495187654493
8.0,2.378688746872284,4.808711727256864
9.0,2.37643936273742,4.813869454446381
10.0,2.3742233049629893,4.818969801873408
11.0,2.3720397063577803,4.82401414986611
12.0,2.3698877326695356,4.829003828963555
13.0,2.3677665809474715,4.83394012229676
14.0,2.365675478004947,4.838824267828549
15.0,2.3636136789750384,4.843657460462163
16.0,2.3615804659523736,4.848440854027778
17.0,2.35957514671514,4.853175563155336
18.0,2.357597053521658,4.85786266504142
19.0,2.3556455419763758,4.862503201117318
20.0,2.3537199899605445,4.867098178624835
21.0,2.3518197966232095,4.871648572105944
22.0,2.3499443814284846,4.876155324811859
23.0,2.348093183255399,4.880619350036735
24.0,2.3462656595468765,4.885041532380791
25.0,2.3444612855046754,4.889422728947294
26.0,2.342679553327343,4.893763770477539
27.0,2.340919971488471,4.898065462427641
28.0,2.33918206405272,4.902328585990693
29.0,2.337465370027273,4.906553899067598
30.0,2.3357694427465474,4.910742137189635
31.0,2.334093849288137,4.914894014395622
32.0,2.3324381699181136,4.919010224066344
33.0,2.330801997563933,4.923091439718715
34.0,2.32918493731332,4.927138315761996
35.0,2.327586605937613,4.931151488218234
36.0,2.326006631438154,4.935131575408925
37.0,2.3244446526144005,4.939079178609812
38.0,2.322900318652532,4.942994882675549
39.0,2.321373288733388,4.946879256635918
40.0,2.31986323165867,4.950732854265112
41.0,2.31836982549439,4.9545562146255655
42.0,2.316892757230631,4.958349862587659
43.0,2.315431722456723,4.9621143093266005
44.0,2.3139864250510165,4.965850052797658
45.0,2.312556576884465,4.969557578190887
46.0,2.3111418975372993,4.973237358366388
47.0,2.3097421140280945,4.976889854271111
48.0,2.308356960554597,4.980515515338116
49.0,2.306986178245698,4.984114779869196
50.0,2.3056295149239903,4.987688075401666
51.0,2.3042867248783683,4.991235819060116
52.0,2.3029575686461694,4.994758417893859
53.0,2.3016418128043803,4.998256269200762
54.0,2.30033922976946,5.001729760838126
55.0,2.29904959760536,5.0051792715212295
56.0,2.297772699839338,5.008605171110114
57.0,2.296508325285197,5.012007820885168
58.0,2.295256267873585,5.015387573812044
59.0,2.294016326489027,5.018744774796371
60.0,2.2927883048133744,5.022079760928774
61.0,2.2915720111753606,5.025392861720596
62.0,2.290367258405991,5.028684399330782
63.0,2.2891738636994945,5.031954688784293
64.0,2.2879916484795806,5.0352040381824485
65.0,2.286820438270765,5.038432748905535
66.0,2.2856600625745336,5.041641115808037
67.0,2.284510354750127,5.044829427406799
68.0,2.2833711518997464,5.047997966062428
69.0,2.282242294757978,5.051147008154233
70.0,2.2811236275852607,5.054276824248966
71.0,2.2800149980652114,5.0573876792636305
72.0,2.278916257205652,5.060479832622616
73.0,2.277827259243172,5.063553538409378
74.0,2.276747861551079,5.066609045512902
75.0,2.275677924550597,5.069646597769162
76.0,2.274617311625169,5.07266643409778
77.0,2.2735658890377453,5.075668788634077
78.0,2.2725235258509238,5.078653890856704
79.0,2.271490093849831,5.081621965711027
80.0,2.270465467467631,5.0845732337284435
81.0,2.269449523713555,5.087507911141777
82.0,2.2684421421033507,5.090426209996916
83.0,2.2674432045920545,5.093328338260837
84.0,2.266452595508995,5.09621449992615
85.0,2.265470201494938,5.099084895112312
86.0,2.2644959114412915,5.101939720163615
87.0,2.2635296164312866,5.104779167744093
