t,H,L
0.0,2.18,4.44
1.0,2.1788414867209833,4.442972301199656
2.0,2.1776939993491635,4.445925505641856
3.0,2.176557364214531,4.448859890401287
4.0,2.1754314116392175,4.451775726508148
5.0,2.1743159758168558,4.454673279123723
6.0,2.1732108946964455,4.457552807709578
7.0,2.172116009870524,4.4604145661907
8.0,2.171031166467453,4.463258803112807
9.0,2.169956213047642,4.466085761794099
10.0,2.1688910015035376,4.468895680471669
11.0,2.1678353869632114,4.471688792442806
12.0,2.1667892276974032,4.474465326201406
13.0,2.16575238502986,4.477225505569682
14.0,2.16472472325084,4.479969549825383
15.0,2.1637061095336483,4.482697673824686
16.0,2.1626964138540727,4.485410088120952
17.0,2.1616955089126066,4.488106999079511
18.0,2.1607032700593383,4.490788608988617
19.0,2.159719575221404,4.493455116166757
20.0,2.1587443048328945,4.496106715066425
21.0,2.1577773417671224,4.498743596374521
22.0,2.15681857127115,4.501365947109499
23.0,2.155867880902492,4.503973950715395
24.0,2.1549251604679083,4.50656778715284
25.0,2.153990301964198,4.509147632987195
26.0,2.1530631995209255,4.511713661473898
27.0,2.1521437493449973,4.514266042641143
28.0,2.15123184966702,4.516804943369976
29.0,2.1503274006893744,4.51933052747192
30.0,2.149430304535937,4.52184295576421
31.0,2.148540465203386,4.524342386142725
32.0,2.147657788514037,4.526828973652709
33.0,2.1467821820701465,4.529302870557358
34.0,2.145913555209632,4.531764226404345
35.0,2.145051818963154,4.534213188090363
36.0,2.1441968860125127,4.536649899923756
37.0,2.143348670650309,4.5390745036853
38.0,2.142507088740826,4.541487138687213
39.0,2.1416720576820847,4.543887941830436
40.0,2.1408434963690364,4.5462770476602605
41.0,2.1400213251578455,4.548654588420361
42.0,2.139205465831229,4.551020694105271
43.0,2.138395841564813,4.553375492511372
44.0,2.137592376894471,4.555719109286443
45.0,2.136794997684612,4.558051667977812
46.0,2.136003631097381,4.560373290079161
47.0,2.1352182055627464,4.562684095076037
48.0,2.1344386507494386,4.564984200490095
49.0,2.1336648975367156,4.56727372192213
50.0,2.132896877986923,4.569552773093934
51.0,2.132134525318825,4.57182146588901
52.0,2.1313777738816824,4.57407991039219
53.0,2.130626559130045,4.576328214928186
54.0,2.1298808175992434,4.578566486099106
55.0,2.129140486881555,4.5807948288209825
56.0,2.1284055056030167,4.58301334635932
57.0,2.1276758134008698,4.58522214036372
58.0,2.126951350901616,4.5874213109015916
59.0,2.1262320596996593,4.58961095649099
60.0,2.1255178823365237,4.591791174132599
61.0,2.1248087622806184,4.5939620593408925
62.0,2.124104643907543,4.5961237061745
63.0,2.1234054724809073,4.59827620726579
64.0,2.122711194133657,4.600419653849711
65.0,2.122021755849883,4.6025541357919
66.0,2.1213371054471017,4.604679741616088
67.0,2.1206571915589976,4.606796558530816
68.0,2.1199819636185997,4.608904672455497
69.0,2.1193113718418966,4.611004168045819
70.0,2.118645367211861,4.613095128718537
71.0,2.1179839014628814,4.6151776366756465
72.0,2.1173269270655846,4.61725177292798
73.0,2.116674397212037,4.619317617318219
74.0,2.1160262658013163,4.621375248543361
75.0,2.1153824874254386,4.623424744176638
76.0,2.114743017355634,4.625466180688921
77.0,2.114107811528959,4.627499633469609
78.0,2.1134768265352344,4.629525176847024
79.0,2.1128500196043034,4.631542884108331
80.0,2.1122273485935943,4.633552827518982
81.0,2.111608771975986,4.635555078341717
82.0,2.110994248827963,4.6375497068551175
83.0,2.110383738818051,4.639536782371731
84.0,2.1097772021955303,4.64151637325578
85.0,2.109174599779415,4.64348854694047
86.0,2.1085758929476888,4.645453369944896
87.0,2.1079810436267965,4.647410907890567
88.0,2.107390014281377,4.649361225517563
89.0,2.106802767904238,4.651304386700321
90.0,2.1062192680065586,4.653240454463077
91.0,2.1056394786083192,4.655169490994953
92.0,2.1050633642289514,4.657091557664719
93.0,2.1044908898781967,4.6590067150352255
94.0,2.103922021047178,4.660915022877518
95.0,2.103356723699669,4.662816540184643
96.0,2.102794964263559,4.664711325185157
97.0,2.1022367096225145,4.666599435356336
98.0,2.101681927107819,4.668480927437107
99.0,2.1011305844903987,4.670355857440698
100.0,2.1005826499730236,4.672224280667011
101.0,2.1000380921826793,4.674086251714749
102.0,2.0994968801631053,4.675941824493263
103.0,2.0989589833674978,4.677791052234169
104.0,2.0984243716513697,4.679633987502708
105.0,2.097893015265565,4.681470682208871
106.0,2.0973648848494233,4.683301187618295
107.0,2.096839951424093,4.685125554362932
108.0,2.096318186385983,4.68694383245149
109.0,2.095799561500358,4.688756071279674
110.0,2.0952840488950666,4.6905623196401995
111.0,2.0947716210544027,4.692362625732614
112.0,2.0942622508130952,4.694157037172916
113.0,2.0937559113504243,4.6959456010029745
114.0,2.0932525761844594,4.697728363699763
115.0,2.092752219166416,4.699505371184409
116.0,2.092254814475132,4.701276668831056
117.0,2.091760336611652,4.703042301475559
118.0,2.09126876039393,4.704802313423996
119.0,2.090780060951633,4.7065567484610185
120.0,2.0902942137210556,4.708305649858038
121.0,2.089811194440134,4.710049060381247
122.0,2.0893309791435617,4.711787022299489
123.0,2.088853544158005,4.713519577391969
124.0,2.0883788660974116,4.715246766955821
125.0,2.0879069218584125,4.716968631813526
126.0,2.0874376886158186,4.718685212320189
127.0,2.086971143818203,4.720396548370672
128.0,2.0865072651835703,4.722102679406596
129.0,2.0860460306951136,4.723803644423213
130.0,2.085587418597052,4.725499481976135
131.0,2.08513140739055,4.727190230187951
132.0,2.084677975829714,4.72887592675471
