t,H,L
200.0,2.0752477399669864,4.937777597779876
400.0,1.9374938033591287,5.049909180881255
600.0,1.9839952064681285,5.4526944355782625
800.0,2.0278658398816836,5.4299173629277195
1000.0,1.9687866674100793,5.57498978991975
1200.0,2.0786857132350147,5.671663786151473
1400.0,1.8515842458275213,5.939117025810289
1600.0,2.0402198663956512,5.997961027723822
1800.0,1.9873143836082845,6.0806439591331
2001.0,1.6710223767742625,6.125714639578326
2002.0,2.016294662927221,6.237183599204324
2003.0,2.078845120451738,6.312653794408293
2004.0,2.0651205606277503,6.1897532756166305
2005.0,1.799343032400282,6.130456880985571
2006.0,1.885067256993546,6.210326187873558
2007.0,1.757054561001767,6.270225436808356
2008.0,1.9539865924426225,6.4692488886165735
2009.0,1.9238591238191396,6.132328667942171
2010.0,2.07464463865298,6.164725366666056
2011.0,1.7939801508228452,6.045505313597447
2012.0,2.0918516161174034,6.187455440574057
2013.0,1.9997663808343569,6.1738526860861445
2014.0,1.8756648780398506,6.108551642717373
2015.0,1.9239312675570788,6.150921451513689
2016.0,1.9737647810811734,6.216384774712283
2017.0,1.88543179749292,6.230873791740794
2018.0,1.8035453006528364,6.068462191372856
2019.0,1.957280836845966,6.168213553722548
2020.0,2.0299433226279326,6.115747334005978
