t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.7
1.0,2.1785795918218525,4.443555393166131,2.2786136065912395,4.684771835103135,2.2482741577554686,4.7118674517693435,2.236233834068717,4.76708336075577,2.233589511611661,4.765775372156339,2.2635209119106054,4.6194715601980825,2.274664184761739,4.728088361523047,2.3059201620194556,4.753454834018499,2.5081791785851113,4.927878797993131,2.25915215728436,4.597477765961562,2.435705267994572,4.601551604215628,2.3043852972582926,4.715742094369454
2.0,2.177175478301842,4.447082499215371,2.277069596079257,4.688615101534592,2.246969610066735,4.715282544678668,2.2350905419731664,4.770212880258031,2.2324578827822963,4.7688828226359785,2.2619368509524644,4.623368411856338,2.2732331394967047,4.73173873693547,2.304342098831265,4.757378538691973,2.505432000948908,4.933919632013528,2.2575492341988532,4.6014020180418225,2.432541457424143,4.608149633939367,2.3026622412753794,4.719895032058577
3.0,2.1757873461431,4.450581820546564,2.2755435801722728,4.692426849822382,2.2456786796095676,4.718673308612125,2.233958186014985,4.7733225103508055,2.2313370158119104,4.771970681452255,2.2603717438829114,4.627232310313021,2.271817880900232,4.735361150666407,2.302782501916552,4.7612698175145605,2.5027308568061266,4.9398834783751635,2.2559657032327967,4.60529265107666,2.4294392820889463,4.614648487059778,2.30096254304363,4.724008124524316
4.0,2.174414890845178,4.4540538461575245,2.2740352041548704,4.6962076538393855,2.2444011302035047,4.72204013304385,2.2328365950740157,4.776412538042319,2.230226743500512,4.7750392292954515,2.2588252062080243,4.631063873132612,2.270418116650812,4.738956080796924,2.301241004948899,4.7651292646252745,2.5000743827778082,4.945772444979016,2.2544011662116286,4.609150302824892,2.4263966061422644,4.621051342163235,2.299285615587234,4.7280822862742955
5.0,2.1730578163797865,4.457499052120298,2.2725441235246677,4.6999580717645095,2.2431367316493147,4.725383398078002,2.231725601937113,4.779483244114714,2.2291269024383116,4.778088740810281,2.2572968648259346,4.634863700499841,2.2690335623325857,4.742523993126832,2.2997172522167992,4.76895745781176,2.4974612743483484,4.951588553318864,2.252855236901648,4.612975592878961,2.4234114014294925,4.627361225636762,2.2976308951604216,4.732118397804053
6.0,2.1717158348812817,4.460917902035443,2.271070003606345,4.703678646653207,2.2418852595299574,4.728703474748701,2.2306250431808365,4.782534903303876,2.2280373328927294,4.781119484769259,2.2557863575839012,4.638632375869707,2.2676639411545523,4.746065341594268,2.298210898219951,4.772754959108465,2.494890282545041,4.95733374316975,2.251327540540158,4.616769123352553,2.420481740409728,4.633581021293006,2.2959978399663195,4.736117307386279
7.0,2.1703886663511147,4.464310847466466,2.269612519183666,4.70736990698221,2.240646495019725,4.732000725308023,2.2295347590584957,4.785567784472789,2.226957878699568,4.784131724239885,2.2542933328566264,4.6423704665872645,2.266308983682094,4.749580568677448,2.296721607284496,4.776522315367594,2.492360210847676,4.963009876961512,2.2498177133884103,4.620531479535875,2.4176057896475327,4.639713479243345,2.294385928966829,4.740079832737595
8.0,2.169076038375483,4.467678328355426,2.268171354148505,4.711032367169866,2.239420224701165,4.735275503502596,2.2284545933913593,4.7885821507787,2.2258883871581636,4.787125716745891,2.2528174491446062,4.646078524478867,2.264968427580167,4.753070105779482,2.295249053196144,4.780260058804343,2.4898699123093744,4.968618743862476,2.2483254023060417,4.624263230520389,2.4147818038207536,4.645761224088691,2.2927946607756278,4.744006762573131
9.0,2.167777685855494,4.47102077342069,2.266746201165943,4.714666528073374,2.23820624038941,4.738528154839367,2.2273843934638413,4.791578259834355,2.2248287089303513,4.790101714422811,2.251358374691387,4.649757086416433,2.2636420173675633,4.756534373597121,2.2937929188502024,4.783968707517772,2.4874182868716055,4.974162063596124,2.246850264345776,4.627964929794702,2.4120081201961745,4.65172676249016,2.2912235526272253,4.747898858058221
10.0,2.166493350749179,4.474338600537755,2.2653367613545603,4.718272877464145,2.237004338963553,4.741759016841021,2.2263240099224966,4.7945563638635615,2.2237786979430694,4.7930599641681155,2.24991578711867,4.6534066748562015,2.2623295041816776,4.759973782474215,2.2923528959175803,4.787648765988633,2.4850042788579154,4.979641490011477,2.2453919663672477,4.631637115813212,2.409283153529941,4.657612490175246,2.289672139415671,4.751756854165583
11.0,2.1652227818247414,4.477632217103986,2.2639427439811097,4.7218518904824425,2.235814322204741,4.744968419291545,2.2252732966786564,4.7975167098513065,2.222738211294454,4.796000707786134,2.2484893730782813,4.657027798353344,2.2610306455532383,4.763388732740662,2.2909286845259076,4.791300725555358,2.4826268746323166,4.985058614426058,2.2439501846688743,4.6352803125389705,2.406605391354246,4.6634206984293956,2.2881399727971825,4.755581460945522
