t,H,L,aH,aL
0.0,2.18,4.44,2.3,4.7
1.0,2.178940251638644,4.44277089272606,2.286343548094508,4.73106736149801
2.0,2.1778899179804823,4.445525488131397,2.285143918930097,4.734121984105356
3.0,2.1768488620376263,4.448264004387422,2.283956875195046,4.7371552701280795
4.0,2.175816949728956,4.450986655273237,2.2827821691672883,4.740167599669935
5.0,2.174794049798999,4.453693650293417,2.281619561032514,4.743159341493863
6.0,2.1737800337396087,4.4563851947918565,2.2804688185247692,4.746130853511769
7.0,2.172774775714323,4.459061490061839,2.2793297165883772,4.749082483246399
8.0,2.1717781524853024,4.461722733452475,2.2782020370596188,4.75201456826724
9.0,2.1707900433427367,4.464369118471651,2.277085568366759,4.754927436602297
10.0,2.1698103300366256,4.467000834885639,2.2759801052471147,4.757821407127368
11.0,2.168838896710833,4.469618068815472,2.274885448479976,4.760696789934373
12.0,2.167875629839332,4.47222100283024,2.273801404634279,4.763553886680108
13.0,2.166920418164542,4.474809816037397,2.2727277858300425,4.766392990916732
14.0,2.1659731526376977,4.47738468417021,2.271664409512623,4.769214388405174
15.0,2.165033726361144,4.479945779672457,2.2706110982389576,4.772018357412543
16.0,2.164102034532503,4.48249327178047,2.269567679475002,4.774805168994581
17.0,2.1631779743906305,4.485027326602629,2.268533985403639,4.77757508726405
18.0,2.1622614451633004,4.487548107196397,2.267509852742397,4.780328369645987
19.0,2.161352348016544,4.490055773642991,2.2664951225703525,4.783065267120549
20.0,2.1604505860055885,4.492550483119778,2.2654896401636533,4.78578602445427
21.0,2.159556064027332,4.495032389970467,2.26449325483913,4.78849088042036
22.0,2.158668688774294,4.497501645773188,2.263505819805503,4.791180068008736
23.0,2.157788368689998,4.4999583994065375,2.2625271920217327,4.793853814626346
24.0,2.1569150139257185,4.502402797113649,2.2615572320620885,4.796512342288359
25.0,2.1560485362985533,4.504834982564369,2.2605958039875427,4.799155867800746
26.0,2.155188849250772,4.507255096915607,2.2596427752231287,4.801784602934713
27.0,2.154335867810385,4.509663278869915,2.258698016440909,4.80439875459346
28.0,2.153489508552908,4.512059664732371,2.2577614014482563,4.806998524971671
29.0,2.152649689564256,4.514444388465807,2.2568328070811274,4.809584111708136
30.0,2.1518163304047437,4.516817581744463,2.255912113102072,4.812155708031867
31.0,2.150989352074148,4.519179374006095,2.254999202102713,4.814713502902062
32.0,2.150168676977797,4.521529892502616,2.2540939594104445,4.817257681142229
33.0,2.149354228893643,4.523869262349296,2.2531962729991437,4.819788423568779
34.0,2.148545932940292,4.526197606572583,2.2523060334036638,4.822305907114371
35.0,2.14774371554596,4.528515046156596,2.251423133637918,4.824810304946268
36.0,2.1469475044183097,4.530821700088314,2.250547469116376,4.827301786579977
37.0,2.146157228515159,4.533117685401532,2.24967893757878,4.8297805179883655
38.0,2.1453728180160065,4.535403117219595,2.248817439017937,4.832246661706528
39.0,2.144594204294372,4.537678108796981,2.2479628756104137,4.8347003769325685
40.0,2.1438213198909053,4.539942771559739,2.2471151516500063,4.837141819624517
41.0,2.143054098487245,4.542197215144848,2.246274173483836,4.839571142593556
42.0,2.1422924748806063,4.544441547438511,2.245439849450949,4.841988495593743
43.0,2.1415363849590667,4.546675874613433,2.2446120898232977,4.844394025408372
44.0,2.140785765677529,4.548900301165098,2.2437908067489887,4.846787875933151
45.0,2.140040555034342,4.5511149299471,2.242975914197689,4.849170188256328
46.0,2.1393006920485558,4.553319862205536,2.2421673279080983,4.851541100735913
47.0,2.138566116737787,4.555515197612503,2.2413649653373717,4.853900749074124
48.0,2.1378367700966865,4.557701034298727,2.2405687456124275,4.856249266389178
49.0,2.137112594075973,4.559877468885342,2.239778589483032,4.858586783284538
50.0,2.136393531562031,4.562044596514856,2.238994419276596,4.860913427915758
51.0,2.1356795263570407,4.564202510881318,2.2382161588545992,4.863229326054981
52.0,2.1349705231596405,4.566351304259728,2.23744373357057,4.865534601153245
53.0,2.1342664675460856,4.568491067534691,2.236677070229557,4.86782937440064
54.0,2.1335673059519022,4.570621890228352,2.2359160970490213,4.870113764784451
55.0,2.132872985654016,4.572743860527632,2.2351607436210914,4.87238788914534
56.0,2.132183454753339,4.574857065310786,2.2344109408761232,4.874651862231663
57.0,2.1314986621578065,4.576961590173294,2.2336666210475027,4.876905796751992
58.0,2.130818557565843,4.579057519453123,2.232927717637652,4.87914980342593
59.0,2.130143091450249,4.581144936255358,2.232194165385175,4.881383991033261
60.0,2.129472215042498,4.583223922476238,2.2314659002331014,4.88360846646154
61.0,2.1288058803174184,4.585294558826605,2.230742859298183,4.88582333475214
62.0,2.128144039978272,4.587356924854782,2.230024980841203,4.888028699144858
63.0,2.127486647442191,4.589411098968906,2.229312204238253,4.890224661121114
64.0,2.1268336568259865,4.591457158458718,2.2286044699529333,4.892411320445801
65.0,2.1261850229322965,4.593495179516839,2.227901719509456,4.8945887752078345
66.0,2.1255407012360807,4.595525237259536,2.227203895466599,4.8967571218594825
67.0,2.1249006478714425,4.5975474057470045,2.2265109413924864,4.898916455254456
68.0,2.1242648196187712,4.599561758003165,2.2258228018401605,4.9010668686848815
69.0,2.123633173892194,4.601568366034999,2.2251394223239123,4.903208453917155
70.0,2.123005668727331,4.6035673008514415,2.2244607492963495,4.90534130122671
