t,H,L,aH,aL
0.0,2.18,4.7652,2.3,4.7
1.0,2.1790687005498603,4.767892774669661,2.254336388636974,4.739351860395951
2.0,2.1781451723645477,4.77057103274403,2.2528995371678033,4.742964024321652
3.0,2.177229311005621,4.773234953860108,2.2514796145917644,4.746546478627479
4.0,2.1763210140805582,4.775884714310656,2.2500762669879077,4.750099793520141
5.0,2.175420181189994,4.778520487127158,2.2486891515993257,4.753624522198399
6.0,2.174526713876645,4.781142442160221,2.2473179363601345,4.757121201543911
7.0,2.173640515575856,4.783750746157502,2.2459622994476223,4.760590352776551
8.0,2.172761491567698,4.786345562839251,2.244621928857923,4.764032482076418
9.0,2.171889548930577,4.788927052971561,2.2432965220037646,4.767448081174592
10.0,2.1710245964962764,4.7914953744374165,2.2419857853328846,4.770837627914512
11.0,2.170166544806397,4.794050682305599,2.2406894339658527,4.774201586785759
12.0,2.169315306070133,4.7965931288975465,2.2394071913521127,4.777540409431873
13.0,2.168470794123341,4.799122863852227,2.2381387889431346,4.780854535133739
14.0,2.167632924388852,4.801640034189105,2.236883965881664,4.784144391269961
15.0,2.1668016138379795,4.804144784369262,2.2356424687061116,4.787410393755531
16.0,2.165976780953188,4.806637256354742,2.2344140510691903,4.7906529474600585
17.0,2.16515834569187,4.809117589666174,2.2331984734699963,4.793872446606689
18.0,2.164346229451204,4.81158592143874,2.2319955029987284,4.797069275152792
19.0,2.1635403550340437,4.814042386476546,2.230804913093364,4.800243807153441
20.0,2.16274064661581,4.816487117305439,2.2296264833075967,4.803396407108598
21.0,2.1619470297123518,4.81892024422434,2.2284599990894125,4.806527430294915
22.0,2.1611594311487297,4.821341895355127,2.2273052515697302,4.809637223082957
23.0,2.160377779028911,4.823752196691128,2.2261620373605395,4.81272612324062
24.0,2.1596020027063245,4.826151272144264,2.22503015836204,4.815794460223481
25.0,2.158832032755257,4.828539243590891,2.223909421578285,4.818842555452759
26.0,2.158067800943066,4.830916230916381,2.222799638940889,4.821870722581507
27.0,2.157309240203165,4.833282352058487,2.2217006271403745,4.824879267749666
28.0,2.15655628460878,4.835637723049524,2.220612207464753,4.8278684898285205
29.0,2.1558088693474198,4.837982458057416,2.219534205644973,4.830838680655101
30.0,2.1550669306960755,4.840316669425641,2.2184664517068873,4.833790125257027
31.0,2.154330405997087,4.842640467712096,2.2174087798294013,4.836723102068264
32.0,2.1535992336346763,4.844953961726945,2.2163610282084973,4.839637883136228
33.0,2.152873353012125,4.847257258569453,2.21532303892684,4.842534734320688
34.0,2.1521527045295668,4.849550463663861,2.2142946578286913,4.845413915484813
35.0,2.1514372295623803,4.851833680794312,2.213275734399871,4.848275680678777
36.0,2.150726870440163,4.8541070121388765,2.2122661216525192,4.85112027831625
37.0,2.1500215704262664,4.856370558302695,2.2112656760144325,4.853947951344125
38.0,2.149321273697873,4.858624418350264,2.2102742572227547,4.856758937405769
39.0,2.148625925326603,4.860868689836896,2.209291728221812,4.859553468998132
40.0,2.1479354712596286,4.863103468839383,2.2083179550649055,4.862331773622955
41.0,2.1472498583012825,4.865328849985872,2.2073528068198707,4.865094073932375
42.0,2.1465690340951467,4.867544926484995,2.206396155478238,4.867840587869164
43.0,2.1458929471066024,4.869751790154268,2.2054478758678178,4.8705715288018405
44.0,2.1452215466058315,4.871949531447776,2.204507845568566,4.87328710565488
45.0,2.1445547826512525,4.874138239483172,2.203575944831575,4.875987523034254
46.0,2.14389260607338,4.87631800206801,2.202652056501059,4.878672981348469
47.0,2.1432349684590912,4.878488905725431,2.2017360659391843,4.8813436769253356
48.0,2.142581822136295,4.880651035719215,2.2008278609536442,4.8839998021246265
49.0,2.141933120158978,4.882804476078229,2.199927331727832,4.8866415454468015
50.0,2.1412888162926333,4.884949309620284,2.1990343707535205,4.889269091637973
51.0,2.140648865000044,4.887085617975404,2.1981488727659304,4.891882621791273
52.0,2.140013221427424,4.889213481608554,2.197270734681086,4.894482313444736
53.0,2.139381841390897,4.891332979841811,2.196399855535361,4.897068340675905
54.0,2.13875468136331,4.893444190876016,2.1955361364271346,4.899640874193225
55.0,2.138131698461364,4.895547191811914,2.194679480460443,4.902200081424411
56.0,2.137512850433062,4.897642058670788,2.1938297926905728,4.904746126601869
57.0,2.1368980956454577,4.899728866414622,2.1929869800715016,4.907279170845323
58.0,2.136287393072699,4.901807688965786,2.192150951405105,4.909799372241736
59.0,2.1356807022843585,4.90387859922626,2.1913216172920786,4.912306885922645
60.0,2.1350779834340408,4.905941669096428,2.190498890084478,4.914801864138992
61.0,2.1344791972482606,4.907996969493427,2.1896826838398415,4.917284456333581
62.0,2.1338843050155853,4.910044570369082,2.1888729142768093,4.919754809211218
63.0,2.1332932685760286,4.912084540727431,2.188069498732193,4.922213066806645
64.0,2.132706050310695,4.914116948641853,2.187272356119434,4.924659370550348
65.0,2.1321226131316653,4.916141861271809,2.1864814068884004,4.927093859332314
66.0,2.1315429204721155,4.918159344879208,2.185696572986462,4.929516669563811
67.0,2.130966936276664,4.920169464844406,2.1849177778208064,4.931927935237288
68.0,2.1303946249919403,4.9221722856818495,2.1841449462219416,4.934327787984425
69.0,2.129825951557369,4.924167871055371,2.1833780044083397,4.936716357132447
70.0,2.129260881396166,4.926156283793149,2.1826168799521812,4.939093769758719
71.0,2.128699380406534,4.928137585902339,2.1818615017461607,4.941460150743728
72.0,2.1281414149530606,4.930111838583381,2.1811117999713057,4.943815622822484
73.0,2.1275869518583086,4.932079102244002,2.1803677060657876,4.9461603066343915
74.0,2.127035958394593,4.934039436512911,2.179629152694667,4.948494320771673
75.0,2.126488402275942,4.935992900253196,2.178896073720561,4.950817781826374
76.0,2.1259442516502376,4.9379395515754405,2.1781684041751803,4.953130804436006
77.0,2.1254034750915256,4.939879447850551,2.1774460802317193,4.955433501327866
78.0,2.1248660415924987,4.941812645722318,2.1767290391780603,4.957725983362109
79.0,2.124331920557142,4.943739201119708,2.176017219390765,4.960008359573575
80.0,2.123801081793539,4.945659169268895,2.1753105603098275,4.9622807372124385
81.0,2.123273495506834,4.947572604705038,2.1746090024141567,4.96454322178372
82.0,2.1227491322923457,4.949479561283818,2.173912487197775,4.96679591708569
83.0,2.1222279631288297,4.951380092192728,2.1732209571466865,4.969038925247211
84.0,2.121709959371884,4.95327424996213,2.172534355716418,4.971272346764037
85.0,2.1211950927474974,4.955162086476086,2.171852627310188,4.973496280534129
86.0,2.120683335345733,4.957043652982966,2.171175717257697,4.975710823892005
87.0,2.1201746596145457,4.958919000105832,2.1705035717945065,4.977916072642151
88.0,2.119669038353729,4.960788177852617,2.169836138041997,4.980112121091545
89.0,2.119166444708992,4.962651235626098,2.1691733639878796,4.982299062081282
90.0,2.118666852166156,4.96450822223366,2.1685151984672433,4.984476987017393
91.0,2.1181702345454725,4.966359185896869,2.1678615911441232,4.986645985900819
92.0,2.117676565996065,4.96820417426085,2.1672124924935696,4.988806147356598
93.0,2.117185820990473,4.970043234403479,2.1665678537842004,4.990957558662307
94.0,2.116697974319324,4.971876412844391,2.1659276270612304,4.9931003057757355
95.0,2.116213001086098,4.973703755553808,2.165291765129944,4.995234473361858
96.0,2.1157308767020138,4.9755253079611945,2.164660221539621,4.99736014481911
97.0,2.1152515768810067,4.977341114963746,2.164032950567873,4.999477402304989
98.0,2.114775077634817,4.979151220934701,2.1634099072054083,5.0015863267609975
99.0,2.1143013552681715,4.9809556697314985,2.162791047141183,5.003686997936957
100.0,2.1138303863740644,4.98275450470378,2.1621763267479457,5.005779494414719
101.0,2.113362147829132,4.984547768701226,2.161565703068156,5.007863893631261
102.0,2.112896616789119,4.986335504081249,2.1609591338002625,5.009940271901222
103.0,2.112433770684436,4.988117752716537,2.1603565772853375,5.012008704438875
104.0,2.1119735872158003,4.989894556002453,2.159757992494049,5.014069265379554
105.0,2.111516044349972,4.991665954864288,2.159163339013965,5.016122027800552
106.0,2.111061120315561,4.993431989764388,2.1585725770371744,5.018167063741523
107.0,2.110608793598927,4.995192700709133,2.1579856673482287,5.02020444422437
108.0,2.1101590429401527,4.996948127255791,2.1574025713123692,5.022234239272661
109.0,2.109711847329096,4.998698308519248,2.156823250864062,5.024256517930581
110.0,2.1092671860015217,5.000443283178597,2.1562476684958067,5.026271348281424
111.0,2.108825038435303,5.002183089483624,2.155675787247225,5.028278797465643
112.0,2.108385384346699,5.003917765261154,2.155107570694413,5.0302789316984855
113.0,2.107948203686702,5.0056473479213,2.1545429829395566,5.0322718162871976
114.0,2.107513476637453,5.007371874463571,2.1539819886007936,5.034257515647836
115.0,2.1070811836087304,5.0090913814828975,2.1534245528023246,5.036236093321675
116.0,2.1066513052344944,5.0108059051755225,2.15287064116476,5.0382076119912504
117.0,2.1062238223695093,5.012515481344798,2.152320219795696,5.040172133496016
118.0,2.105798716086019,5.014220145406873,2.151773255280513,5.042129718847651
119.0,2.10537596767049,5.015919932396275,2.151229714673397,5.044080428245007
120.0,2.104955558620412,5.0176148769714,2.150689565488568,5.046024321088728
121.0,2.1045374706411586,5.019305013419892,2.1501527756917107,5.047961455995526
122.0,2.104121685642909,5.020990375663938,2.1496193136916153,5.049891890812143
123.0,2.10370818573762,5.022670997265457,2.1490891483319974,5.051815682628995
124.0,2.103296953236059,5.024346911431209,2.1485622488835223,5.053732887793515
125.0,2.102887970644889,5.026018151017804,2.148038585035999,5.055643561923197
126.0,2.1024812206638077,5.027684748536625,2.1475181268907604,5.057547759918349
127.0,2.1020766861827345,5.029346736158669,2.1470008449532143,5.059445535974571
128.0,2.101674350279056,5.031004145719295,2.146486710125564,5.061336943594955
129.0,2.101274196214912,5.0326570087228975,2.1459756936996923,5.063222035602021
130.0,2.100876207434538,5.034305356347494,2.1454677673502034,5.065100864149392
131.0,2.10048036756165,5.035949219449235,2.144962903127624,5.066973480733213
132.0,2.100086660396879,5.037588628566834,2.1444610734517524,5.068839936203339
133.0,2.099695069915248,5.03922361392592,2.1439622511051577,5.070700280774263
134.0,2.099305580263697,5.040854205443322,2.143466409226817,5.072554564035824
