t,H,L
0.0,2.18,4.44
1.0,2.1795113294444115,4.441259118703858
2.0,2.179027450663333,4.442508568743736
3.0,2.178548306560757,4.443748453654912
4.0,2.1780738409533718,4.444978875443974
5.0,2.1776039985514357,4.44619993461905
6.0,2.1771387249401504,4.447411730219278
7.0,2.176677966561516,4.448614359843552
8.0,2.1762216706966537,4.449807919678551
9.0,2.1757697854485825,4.450992504526077
10.0,2.1753222597254345,4.452168207829731
11.0,2.1748790432240965,4.453335121700929
12.0,2.174440086414265,4.454493336944301
13.0,2.174005340522901,4.455642943082463
14.0,2.1735747575190754,4.456784028380206
15.0,2.1731482900991885,4.457916679868103
16.0,2.1727258916725587,4.459040983365558
17.0,2.1723075163473635,4.460157023503304
18.0,2.1718931189169273,4.461264883745382
19.0,2.1714826548463417,4.462364646410598
20.0,2.1710760802594136,4.463456392693486
21.0,2.1706733519259247,4.464540202684777
22.0,2.1702744272492014,4.465616155391409
23.0,2.16987926425398,4.466684328756065
24.0,2.169487821574561,4.467744799676274
25.0,2.1691000584432447,4.468797644023075
26.0,2.1687159346790397,4.469842936659257
27.0,2.168335410676637,4.470880751457191
28.0,2.167958447395641,4.471911161316264
29.0,2.1675850063500515,4.472934238179919
30.0,2.1672150495979894,4.473950053052324
31.0,2.1668485397316593,4.4749586760146665
32.0,2.166485439867543,4.475960176241095
33.0,2.166125713636816,4.476954622014309
34.0,2.1657693251759813,4.477942080740807
35.0,2.165416239117719,4.478922618965812
36.0,2.165066420581937,4.479896302387868
37.0,2.164719835167028,4.480863195873123
38.0,2.1643764489413146,4.481823363469313
39.0,2.1640362284346937,4.482776868419438
40.0,2.163699140630458,4.483723773175161
41.0,2.1633651529573026,4.4846641394099125
42.0,2.163034233281504,4.485598028031729
43.0,2.162706349899273,4.486525499195817
44.0,2.162381471529272,4.487446612316856
45.0,2.162059567305293,4.488361426081054
46.0,2.1617406067690994,4.489269998457944
47.0,2.1614245598634128,4.490172386711943
48.0,2.161111396925058,4.491068647413677
49.0,2.16080108867825,4.4919588364510705
50.0,2.1604936062280213,4.492843009040218
51.0,2.1601889210537943,4.493721219736027
52.0,2.1598870050030823,4.494593522442653
53.0,2.159587830285327,4.495459970423728
54.0,2.159291369465861,4.496320616312379
55.0,2.15899759546,4.497175512121049
56.0,2.158706481527251,4.498024709251131
57.0,2.1584180012656473,4.498868258502401
58.0,2.1581321286061934,4.499706210082277
59.0,2.1578488378074256,4.500538613614889
60.0,2.1575681034500844,4.501365518149982
61.0,2.157289900431894,4.502186972171635
62.0,2.1570142039624463,4.503003023606821
63.0,2.156740989558189,4.5038137198338015
64.0,2.156470233037512,4.504619107690356
65.0,2.1562019105159362,4.505419233481862
66.0,2.155935998401392,4.506214142989216
67.0,2.155672473389596,4.507003881476605
68.0,2.155411312459515,4.507788493699137
69.0,2.155152492868923,4.508568023910326
70.0,2.154895992150042,4.509342515869433
71.0,2.154641788105268,4.510112012848678
72.0,2.1543898588029813,4.510876557640317
73.0,2.154140182573437,4.511636192563581
74.0,2.1538927380047355,4.5123909594715
75.0,2.153647503938866,4.513140899757592
76.0,2.1534044594678328,4.513886054362433
77.0,2.153163583929849,4.514626463780115
78.0,2.152924856905606,4.515362168064574
79.0,2.1526882582146114,4.516093206835818
80.0,2.152453767911597,4.516819619286032
81.0,2.152221366282993,4.51754144418558
82.0,2.151991033843471,4.518258719888902
83.0,2.151762751332545,4.518971484340298
84.0,2.1515364997112427,4.519679775079623
85.0,2.1513122601588344,4.520383629247867
86.0,2.151090014069621,4.521083083592652
87.0,2.150869743049784,4.521778174473619
88.0,2.150651428914292,4.522468937867732
89.0,2.1504350536838603,4.523155409374487
90.0,2.1502205995819716,4.523837624221029
91.0,2.1500080490319444,4.524515617267181
92.0,2.149797384654059,4.525189423010393
93.0,2.1495885892627307,4.525859075590598
94.0,2.149381645863738,4.5265246087949915
95.0,2.1491765376514973,4.527186056062727
96.0,2.1489732480063855,4.527843450489536
97.0,2.148771760492111,4.5284968248322635
98.0,2.1485720588531327,4.529146211513336
99.0,2.148374127012121,4.529791642625148
100.0,2.1481779490674637,4.530433149934381
101.0,2.1479835092908197,4.531070764886245
102.0,2.1477907921247086,4.531704518608656
103.0,2.1475997821801465,4.532334441916341
104.0,2.1474104642343215,4.532960565314879
105.0,2.1472228232283084,4.533582919004669
106.0,2.147036844264824,4.534201532884844
107.0,2.1468525126060194,4.534816436557114
108.0,2.1466698136713087,4.535427659329547
109.0,2.1464887330352385,4.536035230220292
110.0,2.1463092564253894,4.536639177961242
111.0,2.1461313697203144,4.53723953100164
112.0,2.145955058947512,4.537836317511618
113.0,2.1457803102814337,4.538429565385697
114.0,2.1456071100415226,4.539019302246214
115.0,2.1454354446902872,4.539605555446707
116.0,2.145265300831405,4.5401883520752415
117.0,2.145096665207858,4.540767718957684
118.0,2.1449295247000997,4.541343682660932
119.0,2.1447638663242516,4.54191626949608
120.0,2.144599677230329,4.542485505521555
121.0,2.1444369447004945,4.543051416546186
122.0,2.1442756561473426,4.543614028132234
123.0,2.1441157991122095,4.54417336559838
124.0,2.143957361263511,4.544729454022658
125.0,2.1438003303951083,4.5452823182453495
126.0,2.143644694424698,4.545831982871833
127.0,2.143490441392228,4.54637847227539
128.0,2.1433375594583413,4.546921810599966
