t,H,L
0.0,2.18,4.44
1.0,2.1892789503933887,4.400473411950785
2.0,2.1985948018111015,4.36156578571135
3.0,2.2079440288371988,4.3232678078732025
4.0,2.2173228996797025,4.285570765876431
5.0,2.2267087169138633,4.248566286054003
6.0,2.2348648435375944,4.218320888627454
7.0,2.2412241396461265,4.196492412343536
8.0,2.2463162734468787,4.17987159924418
9.0,2.250473793079485,4.16675205388487
10.0,2.2539169734471582,4.156127300402593
11.0,2.2567986410923697,4.147357807402982
12.0,2.259228996241234,4.14001368025422
13.0,2.2612900886278764,4.133792908388302
14.0,2.263044664622945,4.128475652170174
15.0,2.264541799541831,4.1238971510552345
16.0,2.2658206124202613,4.119930887099513
17.0,2.2669127927859853,4.116477699224686
18.0,2.2678443665690535,4.113458504351048
19.0,2.2686369603016914,4.110809287152519
20.0,2.2693087258444775,4.108477562910211
21.0,2.2698750300600863,4.106419823841548
22.0,2.2703489783221547,4.104599658294439
23.0,2.270741818319867,4.102986340442378
24.0,2.271063256123787,4.101553755487015
25.0,2.2713217069077483,4.100279568391972
26.0,2.271524496279222,4.099144572274266
27.0,2.2716780237571963,4.098132171320291
28.0,2.2717878968643586,4.097227965825527
29.0,2.27185904212984,4.096419415755224
30.0,2.271895797744147,4.095695565397977
31.0,2.271901991480052,4.095046816080076
32.0,2.271881006665048,4.0944647370798775
33.0,2.271835838375877,4.0939419071978325
34.0,2.2717691415638113,4.093471781149322
35.0,2.2716832724689784,4.093048576225905
36.0,2.2715803244135215,4.092667175635399
37.0,2.2714621588556447,4.092323045666497
38.0,2.2713304324243757,4.092012164389086
39.0,2.271186620527066,4.091730960040345
40.0,2.271032038020086,4.091476257590031
41.0,2.2708678573517926,4.091245232249345
42.0,2.2706951245211267,4.091035368903107
43.0,2.2705147731417257,4.090844426617515
44.0,2.2703276368576084,4.090670407514883
45.0,2.270134460320325,4.090511529419797
46.0,2.269935908907431,4.09036620177348
47.0,2.2697325773370522,4.090233004389172
48.0,2.2695249973122187,4.0901106686841695
49.0,2.2693136443108264,4.089998061076511
50.0,2.2690989436219686,4.08989416827804
51.0,2.268881275716472,4.08979808425238
52.0,2.2686609810284244,4.089708998637453
53.0,2.2684383642149806,4.089626186458521
54.0,2.2682136979535232,4.089548998980268
55.0,2.2679872263281644,4.089476855565627
56.0,2.2677591678513926,4.089409236425611
57.0,2.2675297181613083,4.089345676158652
58.0,2.267299052430182,4.089285757990237
59.0,2.267067327515979,4.089229108634348
60.0,2.2668346838848765,4.089175393707467
61.0,2.266601247329638,4.089124313634025
62.0,2.266367130505925,4.089075599989251
63.0,2.266132434306155,4.089029012231557
64.0,2.2658972490883578,4.088984334782061
65.0,2.2656616557755505,4.088941374413619
66.0,2.265425726839455,4.088899957915955
67.0,2.2651895271808753,4.088859930007179
68.0,2.2649531149177142,4.088821151465303
69.0,2.2647165420904214,4.088783497456223
70.0,2.2644798552936094,4.088746856037245
71.0,2.2642430962416373,4.088711126817482
72.0,2.2640063022751225,4.088676219758497
73.0,2.2637695068146018,4.088642054100347
74.0,2.2635327397669003,4.088608557399783
75.0,2.2632960278891696,4.088575664668785
76.0,2.263059395115039,4.088543317602876
77.0,2.262822862846845,4.0885114638897715
78.0,2.262586450217491,4.088480056589949
79.0,2.262350174325112,4.088449053581591
80.0,2.2621140504433837,4.088418417063171
81.0,2.2618780922100155,4.088388113107651
82.0,2.2616423117957085,4.088358111262907
83.0,2.2614067200556067,4.088328384193556
84.0,2.261171326665067,4.088298907359874
85.0,2.26093614024138,4.088269658729942
86.0,2.2607011684528993,4.088240618521555
87.0,2.260466418116892,4.088211768970815
88.0,2.260231895287275,4.088183094124628
89.0,2.2599976053332957,4.088154579654616
90.0,2.259763553010084,4.088126212690243
91.0,2.2595297425219303,4.088097981669141
92.0,2.259296177579036,4.08806987620287
93.0,2.2590628614484123,4.0880418869565105
94.0,2.2588297969995366,4.088014005540649
95.0,2.2585969867453053,4.0879862244144896
96.0,2.25836443287877,4.087958536798925
97.0,2.258132137306095,4.087930936598557
98.0,2.2579001016761238,4.087903418331723
99.0,2.257668327406903,4.087875977067718
100.0,2.2574368157094855,4.087848608370459
101.0,2.2572055676092817,4.087821308247941
102.0,2.2569745839652233,4.087794073106865
103.0,2.2567438654869565,4.0877668997119345
104.0,2.256513412750271,4.087739785149316
105.0,2.2562832262109476,4.087712726793846
106.0,2.256053306217185,4.0876857222795975
107.0,2.255823653020752,4.087658769473461
108.0,2.255594266786998,4.087631866451429
109.0,2.255365147603837,4.087605011477305
110.0,2.255136295489812,4.087578202983594
111.0,2.254907710401334,4.087551439554341
112.0,2.2546793922391806,4.0875247199097275
113.0,2.2544513408543283,4.087498042892242
114.0,2.2542235560531885,4.087471407454256
115.0,2.25399603760231,4.0874448126468765
116.0,2.253768785232599,4.08741825760993
117.0,2.253541798643107,4.087391741562969
118.0,2.2533150775044346,4.087365263797197
119.0,2.253088621461785,4.087338823668214
120.0,2.252862430137707,4.087312420589505
121.0,2.252636503134557,4.087286054026586
122.0,2.25241084003671,4.087259723491746
123.0,2.2521854404125463,4.087233428539334
124.0,2.2519603038162317,4.087207168761511
125.0,2.2517354297893206,4.087180943784442
126.0,2.2515108178621928,4.087154753264874
127.0,2.2512864675553432,4.087128596887062
128.0,2.251062378380542,4.087102474360004
129.0,2.2508385498418746,4.08707638541496
130.0,2.2506149814366765,4.087050329803219
131.0,2.2503916726563715,4.087024307294099
132.0,2.250168622987226,4.086998317673142
133.0,2.2499458319110257,4.086972360740498
134.0,2.2497232989056806,4.086946436309467
135.0,2.2495010234457724,4.086920544205194
136.0,2.2492790050030433,4.086894684263494
137.0,2.2490572430468347,4.086868856329793
138.0,2.2488357370444825,4.086843060258182
139.0,2.24861448646167,4.086817295910559
140.0,2.2483934907627448,4.0867915631558684
141.0,2.248172749411006,4.086765861869403
142.0,2.2479522618689574,4.086740191932191
143.0,2.2477320275985377,4.086714553230432
144.0,2.247512046061326,4.086688945654999
145.0,2.2472923167187253,4.08666336910099
146.0,2.2470728390321293,4.086637823467317
147.0,2.246853612463069,4.086612308656344
148.0,2.246634636473345,4.086586824573558
149.0,2.246415910525147,4.086561371127278
150.0,2.2461974340811603,4.0865359482283825
151.0,2.245979206604659,4.086510555790078
152.0,2.2457612275595924,4.086485193727677
153.0,2.245543496410661,4.086459861958413
154.0,2.2453260126233836,4.086434560401258
155.0,2.245108775664158,4.086409288976776
156.0,2.2448917850003136,4.08638404760697
157.0,2.244675040100162,4.086358836215165
158.0,2.244458540433037,4.086333654725893
159.0,2.244242285469334,4.086308503064783
160.0,2.244026274680543,4.08628338115848
161.0,2.243810507539279,4.086258288934549
162.0,2.2435949835193068,4.086233226321411
163.0,2.2433797020955657,4.086208193248271
164.0,2.243164662744189,4.0861831896450544
165.0,2.242949864942523,4.0861582154423575
166.0,2.2427353081691397,4.086133270571395
167.0,2.2425209919038545,4.086108354963955
168.0,2.242306915627734,4.086083468552364
169.0,2.2420930788231095,4.0860586112694435
170.0,2.2418794809735823,4.086033783048482
171.0,2.241666121564034,4.086008983823204
172.0,2.24145300008063,4.0859842135277455
173.0,2.2412401160108275,4.085959472096628
174.0,2.241027468843376,4.085934759464738
175.0,2.2408150580683235,4.085910075567306
176.0,2.2406028831770177,4.085885420339891
177.0,2.240390943662108,4.085860793718362
178.0,2.2401792390175466,4.085836195638888
179.0,2.239967768738589,4.085811626037919
180.0,2.239756532321793,4.085787084852179
181.0,2.2395455292650217,4.085762572018655
182.0,2.2393347590674386,4.085738087474583
183.0,2.2391242212295093,4.085713631157446
184.0,2.2389139152529984,4.085689203004958
185.0,2.2387038406409694,4.085664802955066
186.0,2.238493996897781,4.085640430945936
187.0,2.2382843835290855,4.085616086915951
188.0,2.2380750000418272,4.085591770803702
189.0,2.2378658459442393,4.0855674825479875
190.0,2.23765692074584,4.085543222087807
