t,H,L
0.0,2.18,4.44
1.0,2.225898809151001,4.235847894122892
2.0,2.245861937684436,4.1766767966402405
3.0,2.2583536723973614,4.142678522634854
4.0,2.2670190595236233,4.1200981631181035
5.0,2.2733772760887114,4.103909960954068
6.0,2.2782033412168965,4.091750577750254
7.0,2.2819457407592267,4.08233090523317
8.0,2.284887516002503,4.074874243248782
9.0,2.2872189441929156,4.068877912836826
10.0,2.2890741843663465,4.063998621212533
11.0,2.290551369184222,4.059991992050693
12.0,2.2917243731641146,4.056678292302539
13.0,2.2926500872497284,4.053921850808766
14.0,2.293373122890332,4.051618093823855
15.0,2.2939326935501008,4.0496767435999725
16.0,2.294429116791192,4.0478727297676995
17.0,2.2949103163790987,4.046099018756254
18.0,2.2953765611086303,4.0443550305381795
19.0,2.2958281169840835,4.042640193619247
20.0,2.296265247166094,4.040953945017466
21.0,2.2966882119226315,4.039295730237695
22.0,2.2970972685840496,4.037665003242016
23.0,2.297492671502074,4.036061226416008
24.0,2.297874672012634,4.034483870531085
25.0,2.2982435184024257,4.0329324147030405
26.0,2.298599455879095,4.031406346346958
27.0,2.29894272654494,4.029905161128644
28.0,2.299273569374007,4.028428362912731
29.0,2.299592220192482,4.026975463707609
30.0,2.299898911662259,4.025545983607341
31.0,2.3001938732675704,4.0241394507307024
32.0,2.300477331304579,4.022755401157513
33.0,2.300749508873804,4.0213933788623875
34.0,2.301010625875284,4.020052935646079
35.0,2.3012608990063614,4.018733631064526
36.0,2.301500541761982,4.01743503235578
37.0,2.301729764437395,4.016156714364923
38.0,2.301948774133162,4.014898259467133
39.0,2.3021577747623536,4.0136592574890155
40.0,2.3023569670598456,4.012439305628346
41.0,2.3025465485936043,4.011238008372336
42.0,2.3027267137778664,4.010054977414556
43.0,2.3028976538881163,4.008889831570635
44.0,2.303059557077766,4.0077421966928535
45.0,2.303212608396442,4.006611705583736
46.0,2.303356989809796,4.005497997908766
47.0,2.303492880220743,4.004400720108324
48.0,2.3036204554920485,4.003319525308939
49.0,2.3037398884701767,4.002254073233985
50.0,2.3038513490103214,4.00120403011388
51.0,2.303955004002539,4.000169068595904
52.0,2.3040510173989124,3.9991488676537212
53.0,2.3041395502416657,3.998143112496684
54.0,2.3042207606921643,3.997151494479004
55.0,2.3042948040607274,3.9961737110088715
56.0,2.3043618328371904,3.995209465457594
57.0,2.304421996722152,3.994258467068823
58.0,2.3044754426588416,3.993320430867946
59.0,2.3045223148655545,3.9923950775716954
60.0,2.304562754868589,3.9914821334980464
61.0,2.3045969015356422,3.9905813304764575
62.0,2.3046248911095994,3.98969240575851
63.0,2.304646857242679,3.988815101928998
64.0,2.304662931030876,3.9879491668175167
65.0,2.304673241048664,3.987094353410601
66.0,2.3046779133839075,3.9862504197644526
67.0,2.3046770716729483,3.9854171289182982
68.0,2.3046708371358195,3.9845942488084187
69.0,2.3046593286115535,3.9837815521828843
70.0,2.30464266259355,3.9829788165170292
71.0,2.304620953264963,3.982185823929696
72.0,2.3045943125340798,3.981402361100282
73.0,2.304562850069663,3.98062821918661
74.0,2.3045266733362175,3.979863193743651
75.0,2.304485887629167,3.97910708464312
76.0,2.3044405961099037,3.978359695993967
77.0,2.304390899840693,3.977620836063781
78.0,2.3043368978194083,3.9768903172011214
79.0,2.304278687014077,3.9761679557588
80.0,2.3042163623972085,3.9754535720181146
81.0,2.304150016979902,3.9747469901140606
82.0,2.304079741845696,3.9740480379615177
83.0,2.3040056261841633,3.9733565471824313
84.0,2.3039277573242174,3.972672353033988
85.0,2.3038462207671344,3.9719952943377987
86.0,2.303761100219261,3.971325213410088
