t,H,L
0.0,2.18,4.44
1.0,2.1819641643388112,4.434917255006725
2.0,2.1839036361942363,4.429902688543904
3.0,2.1858184964452576,4.42495561970197
4.0,2.1877088298868994,4.420075370472212
5.0,2.189574725210547,4.415261265652071
6.0,2.191416274980048,4.410512632760071
7.0,2.193233575603665,4.405828801960064
8.0,2.195026727301968,4.401209105994515
9.0,2.1967958340717404,4.396652880126509
10.0,2.198541003646002,4.392159462090195
11.0,2.200262347450239,4.387728192049349
12.0,2.2019599805549563,4.3833584125637595
13.0,2.2036340216246457,4.379049468563131
14.0,2.2052845928633054,4.37480070732819
15.0,2.2069118199566122,4.3706114784787005
16.0,2.2085158320108853,4.366481133968064
17.0,2.2100967614889595,4.362409028084217
18.0,2.211654744143109,4.358394517456506
19.0,2.213189918945152,4.354436961068237
20.0,2.2147024280138763,4.35053572027461
21.0,2.2161924165399296,4.346690158825715
22.0,2.2176600327083165,4.34289964289431
23.0,2.2191054276186453,4.339163541108079
24.0,2.220528755203279,4.335481224586073
25.0,2.2219301721435287,4.3318520669790495
26.0,2.2233098377840506,4.3282754445134275
27.0,2.2246679140455816,4.32475073603857
28.0,2.2260045653361766,4.321277323077126
29.0,2.2273199584610865,4.317854589878154
30.0,2.228614262531432,4.314481923472764
31.0,2.2298876488718147,4.311158713732023
32.0,2.2311402909270153,4.307884353426858
33.0,2.2323723641679245,4.304658238289723
34.0,2.2335840459968423,4.301479767077772
35.0,2.2347755156522946,4.29834834163732
36.0,2.235946954113497,4.295263366969356
37.0,2.237098544004606,4.292224251295878
38.0,2.238230469498887,4.289230406126862
39.0,2.2393429162229297,4.286281246327625
40.0,2.240436071161032,4.283376190186417
41.0,2.24151012255988,4.280514659482031
42.0,2.2425652598336385,4.277696079551247
43.0,2.243601673469567,4.27491987935595
44.0,2.2446195549342707,4.2721854915497435
45.0,2.2456190965806915,4.269492352543896
46.0,2.2466004915559443,4.2668399025724835
47.0,2.2475639337100923,4.26422758575657
48.0,2.2485096175059547,4.261654850167304
49.0,2.249437737930035,4.259121147887785
50.0,2.250348490404656,4.256625935073606
51.0,2.2512420707013745,4.254168672011934
52.0,2.2521186748557613,4.251748823179047
53.0,2.252980476775249,4.249361120854572
54.0,2.253858091301437,4.2469321662195405
55.0,2.254764838284072,4.244429985641644
56.0,2.2557018732281535,4.241851739962819
57.0,2.256670414104319,4.239194440227863
58.0,2.257671745782596,4.236454937269503
59.0,2.2587072248593105,4.233629910386012
60.0,2.2597782849191455,4.230715855015997
61.0,2.2608864422795962,4.227709069303121
62.0,2.2620333022711145,4.224605639430114
63.0,2.2632205661131426,4.221401423585899
64.0,2.264450038454199,4.21809203441202
65.0,2.265723635653346,4.21467281975408
