t,H,L
0.0,2.18,4.44
1.0,2.178051819471657,4.444490695386747
2.0,2.1761391317436605,4.4489164476119605
3.0,2.174260929582766,4.453278928600442
4.0,2.1724162475729676,4.457579744633716
5.0,2.1706041598337027,4.461820439799689
6.0,2.1688237778913617,4.466002499217158
7.0,2.1670742486919212,4.470127352052657
8.0,2.165354752743637,4.474196374345518
9.0,2.163664502379725,4.478210891655658
10.0,2.1620027401318613,4.482172181547323
11.0,2.160368737206136,4.486081475920869
12.0,2.1587617920538227,4.489939963203657
13.0,2.1571812290299808,4.493748790410176
14.0,2.1556263971335015,4.497509065080695
15.0,2.1540966688227408,4.501221857106965
16.0,2.1525914389013705,4.504888200452806
17.0,2.1511101234695165,4.508509094776783
18.0,2.1496521589356505,4.512085506963615
19.0,2.1482170010850705,4.515618372570421
20.0,2.146804124201122,4.519108597193449
21.0,2.1454130202356314,4.5225570577604985
22.0,2.1440431980252748,4.525964603753851
23.0,2.1426941825508763,4.529332058368154
24.0,2.141365514236841,4.532660219607394
25.0,2.140056748288146,4.535949861324769
26.0,2.1387674540625046,4.539201734209006
27.0,2.1374972144754856,4.542416566720418
28.0,2.1362456254365414,4.545595065979751
29.0,2.1350122953140342,4.548737918612651
30.0,2.133796844427497,4.5518457915524175
31.0,2.1325989045654787,4.554919332803481
32.0,2.1314181185274492,4.5579591721679025
33.0,2.1302541396883345,4.560965921937039
34.0,2.1291066315843574,4.563940177550361
35.0,2.127975267518948,4.566882518223287
36.0,2.1268597301875656,4.569793507545775
37.0,2.125759711320356,4.572673694053293
38.0,2.124674911341641,4.575523611771699
39.0,2.123605039045292,4.57834378073744
40.0,2.1225498112851127,4.581134707494426
41.0,2.1215089526794055,4.5838968855688025
42.0,2.120482195328949,4.586630795922819
43.0,2.119469278547662,4.58933690738888
44.0,2.118469948605281,4.592015677084817
45.0,2.117483958481409,4.594667550811346
46.0,2.11651106763034,4.597292963432642
47.0,2.1155510417561008,4.599892339240856
48.0,2.114603652597179,4.6024660923054235
49.0,2.1136686777204443,4.6050146268078835
50.0,2.1127459003237923,4.60753833736296
51.0,2.111835109047078,4.610037609326557
52.0,2.1109360977909204,4.6125128190913225
53.0,2.1100486655429878,4.614964334370359
54.0,2.109172616211401,4.617392514469676
55.0,2.108307758464906,4.619797710549902
56.0,2.1074539055794834,4.622180265877757
57.0,2.1066108752910964,4.624540516067791
58.0,2.105778489654276,4.626878789314804
59.0,2.1049565749062746,4.629195406617412
60.0,2.1041449613365204,4.631490681993134
61.0,2.103343483161135,4.6337649226854065
62.0,2.1025519784022726,4.636018429362871
63.0,2.1017702887720664,4.638251496311293
64.0,2.100998259560967,4.640464411618437
65.0,2.100235739530281,4.642657457352192
66.0,2.099482580808717,4.644830909732267
67.0,2.098738638792765,4.646985039295713
68.0,2.0980037720507347,4.649120111056552
69.0,2.0972778422303007,4.651236384659754
70.0,2.0965607139693927,4.653334114529807
71.0,2.095852254810295,4.655413550014114
72.0,2.0951523351168113,4.657474935521411
73.0,2.09446082799437,4.659518510655445
74.0,2.0937776092129403,4.6615445103440765
75.0,2.093102557132644,4.663553164964011
76.0,2.092435552631953,4.665544700461335
77.0,2.0917764790383617,4.667519338468024
78.0,2.0911252220614323,4.66947729641458
79.0,2.0904816697281206,4.671418787638959
80.0,2.0898457123202867,4.673344021491931
81.0,2.0892172423143016,4.675253203439019
82.0,2.088596154322668,4.677146535159135
83.0,2.0879823450375756,4.679024214640065
84.0,2.0873757131763124,4.680886436270897
85.0,2.086776159428461,4.682733390931535
86.0,2.0861835864048093,4.68456526607939
87.0,2.0855978985879102,4.686382245833362
88.0,2.085019002284226,4.68818451105522
89.0,2.0844468055777976,4.689972239428467
90.0,2.0838812182853785,4.691745605534789
91.0,2.083322151912984,4.693504780928174
92.0,2.082769519613793,4.695249934206794
93.0,2.0822232361473643,4.696981231082718
94.0,2.081683217840104,4.698698834449545
95.0,2.081149382546955,4.700402904448028
96.0,2.0806216496142453,4.702093598529762
97.0,2.0800999398436706,4.703771071519003
98.0,2.0795841754573563,4.70543547567268
99.0,2.079074280063969,4.70708696073868
100.0,2.0785701786258355,4.708725674012437
101.0,2.0780717974270337,4.710351760391918
102.0,2.0775790640424265,4.71196536243103
103.0,2.077091907307595,4.7135666203915285
104.0,2.076610257289652,4.715155672293451
105.0,2.076134045258894,4.716732653964158
106.0,2.075663203661272,4.718297699085993
107.0,2.075197666091646,4.719850939242644
108.0,2.0747373672678013,4.7213925039642115
109.0,2.074282243005198,4.722922520771062
110.0,2.0738322301924295,4.724441115216482
111.0,2.0733872667673676,4.72594841092818
112.0,2.072947291693969,4.727444529648679
113.0,2.0725122449397237,4.728929591274623
114.0,2.0720820674537217,4.730403713895047
115.0,2.07165670114532,4.731867013828634
116.0,2.071236088863389,4.73331960565999
117.0,2.070820174376119,4.734761602274979
118.0,2.0704089023513705,4.736193114895133
119.0,2.070002218337548,4.737614253111177
120.0,2.0696000687449856,4.739025124915696
121.0,2.0692024008278214,4.74042583673496
122.0,2.0688091626663514,4.741816493459944
123.0,2.0684203031498427,4.74319719847657
124.0,2.0680357719597975,4.744568053695174
125.0,2.067655519553646,4.745929159579254
126.0,2.067279497148865,4.74728061517349
127.0,2.0669076567074964,4.748622518131073
128.0,2.0665399509210687,4.749954964740369
129.0,2.066176333195894,4.75127804995092
130.0,2.0658167576387396,4.752591867398818
131.0,2.0654611790428588,4.753896509431463
132.0,2.06510955287437,4.7551920671317225
133.0,2.0647618352589747,4.756478630341514
134.0,2.0644179829690055,4.757756287684821
135.0,2.06407795341079,4.7590251265901715
136.0,2.063741704612326,4.760285233312573
137.0,2.063409195211257,4.761536692954943
138.0,2.0630803844431385,4.76277958948903
139.0,2.0627552321299882,4.7640140057758575
140.0,2.062433698669111,4.765240023585683
141.0,2.06211574502219,4.766457723617509
142.0,2.0618013327046385,4.767667185518137
143.0,2.061490423775202,4.768868487900795
144.0,2.0611829808258086,4.770061708363334
145.0,2.0608789669716527,4.771246923506024
146.0,2.060578345841514,4.772424208948939
147.0,2.0602810815682995,4.77359363934896
148.0,2.0599871387798028,4.774755288416401
149.0,2.059696482589679,4.775909228931257
150.0,2.0594090785886254,4.777055532759107
151.0,2.05912489283576,4.778194270866659
152.0,2.0588438918502012,4.779325513336958
153.0,2.0585660426028314,4.780449329384264
154.0,2.0582913125082514,4.781565787368606
155.0,2.0580196694169106,4.78267495481003
156.0,2.057751081607415,4.78377689840253
157.0,2.057485517779006,4.78487168402769
158.0,2.0572229470442016,4.785959376768038
159.0,2.0569633389216033,4.78704004092011
160.0,2.05670666332886,4.788113740007245
161.0,2.0564528905757817,4.789180536792112
162.0,2.0562019913576073,4.790240493288973
163.0,2.0559539367484136,4.791293670775694
164.0,2.0557086981946684,4.792340129805507
165.0,2.0554662475089205,4.7933799302185305
166.0,2.0552265568636248,4.794413131153053
167.0,2.0549895987850983,4.795439791056591
168.0,2.0547553461476027,4.796459967696714
169.0,2.054523772167552,4.797473718171663
170.0,2.054294850397844,4.798481098920742
171.0,2.0540685547223045,4.7994821657345135
172.0,2.0538448593502516,4.800476973764784
173.0,2.0536237388111704,4.801465577534393
174.0,2.053405167949499,4.80244803094681
175.0,2.0531891219195173,4.803424387295538
176.0,2.052975576180345,4.804394699273341
177.0,2.0527645064910396,4.805359018981286
178.0,2.052555888905791,4.806317397937609
179.0,2.0523496997692168,4.807269887086412
180.0,2.05214591571175,4.808216536806194
181.0,2.051944513645119,4.809157396918212
182.0,2.0517454707579197,4.8100925166946915
183.0,2.0515487645112707,4.811021944866876
184.0,2.0513543726345596,4.81194572963292
185.0,2.0511622731212698,4.812863918665644
186.0,2.0509724442248896,4.813776559120136
187.0,2.050784864454902,4.814683697641212
188.0,2.050599512572852,4.815585380370739
189.0,2.0504163675884874,4.816481652954824
190.0,2.050235408755981,4.817372560550867
191.0,2.0500566155702162,4.818258147834487
192.0,2.049879967763151,4.81913845900632
193.0,2.0497054453002477,4.820013537798692
194.0,2.04953302837697,4.820883427482176
195.0,2.049362697415349,4.821748170872024
196.0,2.0491944330606118,4.822607810334486
197.0,2.049028216177873,4.82346238779302
198.0,2.048864027848889,4.824311944734383
199.0,2.048701849368874,4.825156522214619
200.0,2.048541662243371,4.82599616086494
201.0,2.0483834481851853,4.826830900897504
202.0,2.0482271891113704,4.827660782111091
203.0,2.0480728671402715,4.8284858438966785
204.0,2.047920464588623,4.829306125242919
205.0,2.0477699639686975,4.830121664741529
206.0,2.047621347985507,4.830932500592574
207.0,2.0474745995340546,4.831738670609677
208.0,2.0473297016966368,4.832540212225119
209.0,2.047186637740191,4.833337162494872
210.0,2.0470453911136937,4.834129558103531
211.0,2.046905945445604,4.8349174353691735
212.0,2.0467682845413506,4.835700830248126
213.0,2.046632392380866,4.836479778339663
214.0,2.046498253116161,4.837254314890613
215.0,2.0463658510689458,4.838024474799903
216.0,2.0462351707282864,4.838790292623017
217.0,2.0461061967483087,4.839551802576381
218.0,2.0459789139459374,4.840309038541679
219.0,2.0458533072986764,4.841062034070101
220.0,2.0457293619424264,4.841810822386514
221.0,2.04560706316934,4.842555436393569
222.0,2.0454863964257135,4.843295908675743
223.0,2.045367347309915,4.844032271503311
224.0,2.045249901570348,4.844764556836258
225.0,2.045134045103446,4.845492796328127
226.0,2.0450197639517063,4.846217021329806
227.0,2.0449070443017527,4.846937262893251
228.0,2.044795872482432,4.847653551775155
229.0,2.0446862349629433,4.848365918440556
230.0,2.044578118350995,4.849074393066388
231.0,2.0444715093909953,4.84977900554498
232.0,2.044366394962273,4.850479785487494
233.0,2.0442627620773237,4.851176762227312
234.0,2.0441605978800896,4.8518699648233765
235.0,2.0440598896442634,4.852559422063467
236.0,2.0439606247716213,4.853245162467439
237.0,2.0438627907903837,4.853927214290403
238.0,2.0437663753536017,4.85460560552586
239.0,2.0436713662375685,4.85528036390879
240.0,2.043577751340258,4.855951516918689
241.0,2.043485518679788,4.856619091782566
242.0,2.043394656392907,4.857283115477887
243.0,2.043305152733505,4.8579436147354835
244.0,2.0432169960711497,4.858600616042412
245.0,2.0431301748896424,4.859254145644771
246.0,2.043044677785601,4.859904229550479
247.0,2.0429604934670613,4.860550893532008
248.0,2.0428776107521016,4.861194163129079
249.0,2.0427960185674894,4.861834063651316
250.0,2.042715705947348,4.862470620180863
251.0,2.0426366620318444,4.863103857574963
252.0,2.042558876065896,4.863733800468494
253.0,2.0424823373979,4.864360473276479
254.0,2.0424070354784787,4.864983900196548
255.0,2.0423329598592472,4.865604105211371
256.0,2.042260100191597,4.866221112091058
257.0,2.0421884462255004,4.866834944395515
258.0,2.0421179878083318,4.86744562547678
259.0,2.0420487148837054,4.868053178481314
260.0,2.041980617490334,4.868657626352267
261.0,2.0419136857609015,4.869258991831706
262.0,2.041847909920952,4.869857297462819
263.0,2.0417832802877998,4.870452565592083
264.0,2.0417197872694492,4.871044818371399
265.0,2.0416574213635363,4.8716340777602065
266.0,2.0415961731562815,4.87222036552756
267.0,2.041536033321461,4.872803703254181
268.0,2.04147699261939,4.873384112334481
269.0,2.0414190418959244,4.8739616139785555
270.0,2.041362172081474,4.874536229214153
271.0,2.041306374190031,4.875107978888615
272.0,2.041251639318214,4.87567688367079
273.0,2.0411979586443216,4.876242964052924
274.0,2.041145323427406,4.87680624035252
275.0,2.0410937250063523,4.87736673271418
276.0,2.0410431547989782,4.877924461111417
277.0,2.0409936043011414,4.8784794453484395
278.0,2.040945065085861,4.879031705061925
279.0,2.0408975288024527,4.879581259722754
280.0,2.040850987175675,4.880128128637734
281.0,2.0408054320048863,4.880672330951293
282.0,2.0407608551632173,4.881213885647152
283.0,2.0407172485967506,4.881752811549979
284.0,2.0406746043237147,4.882289127327019
285.0,2.040632914433688,4.882822851489702
286.0,2.0405921710868133,4.88335400239523
287.0,2.0405523665130265,4.883882598248148
288.0,2.0405134930112903,4.884408657101885
289.0,2.040475542948843,4.88493219686029
290.0,2.040438508760455,4.88545323527913
291.0,2.040402382947698,4.885971789967584
292.0,2.0403671580782197,4.886487878389715
293.0,2.0403328267850345,4.887001517865916
294.0,2.0402993817658177,4.887512725574341
295.0,2.040266815782213,4.888021518552326
296.0,2.0402351216591477,4.888527913697779
297.0,2.040204292284159,4.889031927770563
298.0,2.0401743206067247,4.889533577393857
299.0,2.04014519963761,4.890032879055501
300.0,2.040116922448215,4.890529849109321
301.0,2.040089482169937,4.891024503776446
302.0,2.040062871993538,4.8915168591465985
303.0,2.040037085168523,4.892006931179377
304.0,2.0400121150025217,4.892494735705519
305.0,2.0399879548606843,4.892980288428149
306.0,2.0399645981650814,4.893463604924011
307.0,2.0399420383941123,4.89394470064469
308.0,2.039920269081921,4.89442359091781
309.0,2.039899283817822,4.894900290948227
310.0,2.039879076245728,4.895374815819201
311.0,2.0398596400635918,4.895847180493558
312.0,2.0398409690228503,4.896317399814834
313.0,2.0398230569278777,4.896785488508414
314.0,2.0398058976354454,4.89725146118264
315.0,2.039789485054188,4.89771533232993
316.0,2.0397738131440772,4.89817711632786
317.0,2.0397588759159024,4.89863682744025
318.0,2.039744667430756,4.899094479818231
319.0,2.039731181799528,4.8995500875012965
320.0,2.039718413182403,4.900003664418347
321.0,2.0397063557883683,4.90045522438872
322.0,2.0396950038747246,4.900904781123209
323.0,2.0396843517466032,4.901352348225069
324.0,2.0396743937564907,4.9017979391910105
325.0,2.039665124303759,4.902241567412184
326.0,2.0396565378342,4.902683246175153
327.0,2.0396486288395668,4.903122988662851
328.0,2.0396413918571206,4.903560807955536
329.0,2.0396348214691833,4.903996717031727
330.0,2.0396289123026956,4.904430728769131
331.0,2.039623659028779,4.904862855945566
332.0,2.039619056362305,4.905293111239861
333.0,2.039615099061469,4.905721507232761
334.0,2.039611781927369,4.906148056407809
335.0,2.0396090998035885,4.906572771152224
336.0,2.0396070475757866,4.906995663757768
337.0,2.039605620171291,4.9074167464216085
338.0,2.039604812558697,4.907836031247159
339.0,2.039604619747471,4.908253530244924
340.0,2.0396050367875573,4.908669255333325
341.0,2.039606058768993,4.909083218339522
342.0,2.039607680821523,4.909495431000227
343.0,2.0396098981142234,4.909905904962502
344.0,2.0396127058551277,4.910314651784555
345.0,2.039616099290855,4.9107216829365266
346.0,2.039620073706249,4.911127009801263
347.0,2.039624624424013,4.911530643675089
348.0,2.0396297468043554,4.911932595768562
349.0,2.039635436244638,4.912332877207226
350.0,2.039641688179025,4.912731499032358
351.0,2.0396484980781406,4.913128472201698
352.0,2.039655861448728,4.913523807590181
353.0,2.039663773833312,4.913917515990655
354.0,2.039672230809867,4.9143096081145945
355.0,2.0396812279914878,4.914700094592802
356.0,2.0396907610260646,4.915088985976108
357.0,2.0397008255959617,4.91547629273606
358.0,2.0397114174176987,4.915862025265607
359.0,2.0397225322416372,4.916246193879771
360.0,2.039734165851669,4.916628808816317
361.0,2.0397463140649097,4.917009880236416
362.0,2.0397589727313945,4.917389418225297
363.0,2.039772137733778,4.917767432792895
364.0,2.0397858049870363,4.918143933874495
365.0,2.0397999704381746,4.918518931331359
366.0,2.0398146300659348,4.918892434951363
367.0,2.03982977988051,4.919264454449612
368.0,2.0398454159232595,4.919634999469056
369.0,2.0398615342664272,4.9200040795810995
370.0,2.0398781310128653,4.920371704286202
371.0,2.039895202295757,4.920737883014478
372.0,2.0399127442783476,4.9211026251262835
373.0,2.0399307531536723,4.9214659399128005
374.0,2.0399492251442926,4.921827836596618
375.0,2.0399681565020327,4.922188324332302
376.0,2.039987543507718,4.922547412206961
377.0,2.040007382470919,4.922905109240811
378.0,2.0400276697296964,4.923261424387728
379.0,2.040048401650348,4.923616366535797
380.0,2.0400695746271613,4.923969944507859
381.0,2.0400911850821646,4.924322167062049
382.0,2.040113229464885,4.924673042892326
383.0,2.0401357042521067,4.925022580629009
384.0,2.0401586059476307,4.925370788839293
385.0,2.04018193108204,4.925717676027768
386.0,2.0402056762124654,4.926063250636934
387.0,2.0402298379223542,4.926407521047711
388.0,2.040254412821241,4.926750495579935
389.0,2.0402793975445217,4.92709218249286
390.0,2.0403047887532284,4.927432589985653
391.0,2.040330583133809,4.927771726197879
392.0,2.040356777397907,4.928109599209984
393.0,2.0403833682821433,4.928446217043778
394.0,2.040410352547903,4.928781587662905
395.0,2.040437726981122,4.929115718973315
396.0,2.0404654883920754,4.929448618823728
397.0,2.040493633615171,4.929780295006096
398.0,2.0405221595087424,4.930110755256059
399.0,2.0405510629548433,4.930440007253394
400.0,2.0405803408590475,4.93076805862247
401.0,2.0406099901502484,4.931094916932682
402.0,2.04064000778046,4.931420589698896
403.0,2.0406703907246233,4.931745084381886
404.0,2.0407011359804095,4.932068408388758
405.0,2.04073224056803,4.932390569073382
406.0,2.040763701530046,4.932711573736816
407.0,2.04079551593118,4.933031429627719
408.0,2.040827680858129,4.933350143942771
409.0,2.0408601934193817,4.933667723827085
410.0,2.0408930507450345,4.933984176374609
411.0,2.0409262499866117,4.934299508628534
412.0,2.0409597883168855,4.934613727581693
413.0,2.0409936629297007,4.934926840176956
414.0,2.0410278710397978,4.935238853307623
415.0,2.0410624098826395,4.935549773817812
416.0,2.0410972767142392,4.935859608502846
417.0,2.0411324688109906,4.936168364109634
418.0,2.0411679834694993,4.93647604733705
419.0,2.0412038180064154,4.936782664836303
420.0,2.0412399697582684,4.937088223211317
421.0,2.041276436081304,4.93739272901909
422.0,2.041313214351321,4.937696188770066
423.0,2.0413503019635124,4.93799860892849
424.0,2.041387696332305,4.9382999959127725
425.0,2.0414253948912022,4.938600356095838
426.0,2.041463395092629,4.938899695805483
427.0,2.0415016944077773,4.939198021324716
428.0,2.0415402903264512,4.939495338892114
429.0,2.0415791803569188,4.939791654702156
430.0,2.0416183620257597,4.940086974905563
431.0,2.0416578328777173,4.94038130560964
432.0,2.0416975904755517,4.940674652878603
433.0,2.0417376323998937,4.940967022733912
434.0,2.041777956249101,4.941258421154599
435.0,2.0418185596391143,4.941548854077589
436.0,2.0418594402033174,4.941838327398027
437.0,2.0419005955923946,4.9421268469695905
438.0,2.0419420234741934,4.942414418604812
439.0,2.0419837215335863,4.942701048075385
440.0,2.0420256874723344,4.942986741112481
441.0,2.042067919008952,4.943271503407053
442.0,2.0421104138785737,4.943555340610143
443.0,2.0421531698328215,4.94383825833318
444.0,2.0421961846396726,4.944120262148287
445.0,2.04223945608333,4.944401357588571
446.0,2.042282981964094,4.944681550148423
447.0,2.0423267600982333,4.944960845283804
448.0,2.0423707883178595,4.945239248412541
449.0,2.0424150644708012,4.945516764914611
450.0,2.0424595864204798,4.945793400132424
451.0,2.042504352045787,4.946069159371107
452.0,2.0425493592409616,4.9463440478987835
453.0,2.0425946059154705,4.946618070946851
454.0,2.042640089993887,4.946891233710255
455.0,2.0426858094157736,4.94716354134776
456.0,2.0427317621355634,4.947434998982226
457.0,2.0427779461224445,4.947705611700869
458.0,2.042824359360244,4.947975384555529
459.0,2.0428709998473145,4.948244322562937
