t,H,L
0.0,2.18,4.44
1.0,2.182302940134053,4.433998158794758
2.0,2.184595651708293,4.428028725986839
3.0,2.1868779431412024,4.42209190816074
4.0,2.1891496235804158,4.416187908438764
5.0,2.1914105029987203,4.4103169263534525
6.0,2.1936603922909574,4.404479157720438
7.0,2.195899103371738,4.398674794511858
8.0,2.19812644927387,4.3929040247304805
9.0,2.200342244247398,4.387167032284694
10.0,2.202546303859152,4.381463996864508
11.0,2.204738445092695,4.37579509381873
12.0,2.2069184864485605,4.370160494033458
13.0,2.2090862480446662,4.364560363812064
14.0,2.2112415517167907,4.35899486475681
15.0,2.2133842211189885,4.3534641536522685
16.0,2.2155140818238324,4.347968382350693
17.0,2.217630961422352,4.342507697659507
18.0,2.2197346896235515,4.337082241231068
19.0,2.221825098353375,4.331692149454853
20.0,2.223902021853,4.3263375533522455
21.0,2.2259652967763244,4.321018578474044
22.0,2.2280147622865236,4.315735344800882
23.0,2.230050260151547,4.310487966646678
24.0,2.2320716348384253,4.305276552565289
25.0,2.2340787336062617,4.300101205260488
26.0,2.236071406597776,4.294962021499435
27.0,2.238049506929275,4.28985909202975
28.0,2.2400128907789267,4.284792501500347
29.0,2.241961417473205,4.279762328386147
30.0,2.2438949495713927,4.274768644916787
31.0,2.2458133529480104,4.2698115170094715
32.0,2.2477164968730596,4.264891004206043
33.0,2.249604254089961,4.26000715961442
34.0,2.251476500891072,4.255160029854475
35.0,2.2533331171906807,4.250349655008466
36.0,2.2551666176727836,4.245594296254809
37.0,2.2569678885075786,4.240916117469546
38.0,2.258736953070826,4.236314622019621
39.0,2.2604740467671314,4.231788807501307
40.0,2.2621794114058775,4.227337674875588
41.0,2.2638532950020203,4.222960228588993
42.0,2.2654959515709825,4.218655476704278
43.0,2.267107640918157,4.214422431040064
44.0,2.268688628423524,4.2102601073185575
45.0,2.270239184821896,4.2061675253205
46.0,2.2717595859793005,4.2021437090465
47.0,2.273250112665999,4.198187686883929
48.0,2.2747110503266565,4.194298491778578
49.0,2.276142688848147,4.1904751614102915
50.0,2.2775453223254933,4.18671673837183
51.0,2.2789192488264147,4.1830222703502145
52.0,2.280264770154959,4.179390810309856
53.0,2.281582191614675,4.175821416676787
54.0,2.282871821771774,4.172313153523332
55.0,2.2841339722187155,4.168865090752597
56.0,2.2853689573386364,4.165476304282184
57.0,2.2865770940710273,4.162145876226551
58.0,2.2877587016790457,4.15887289507748
59.0,2.2889141015188397,4.155656455882158
60.0,2.2900436168112344,4.15249566041836
61.0,2.2911475724161225,4.14938961736632
62.0,2.2922262946098755,4.146337442476841
63.0,2.293280110866076,4.143338258735269
64.0,2.2943093496398608,4.140391196520966
65.0,2.2953143401561276,4.137495393761948
66.0,2.2962954122018626,4.134649996084389
67.0,2.2972528959228082,4.131854156956712
68.0,2.2981871216246796,4.129107037828027
69.0,2.299098419579125,4.126407808260687
70.0,2.2999871198345945,4.123755646056776
71.0,2.3008535520322764,4.121149737378358
72.0,2.301698045227235,4.118589276861348
73.0,2.302520927714867,4.116073467722875
74.0,2.3033225268627846,4.113601521862058
75.0,2.3041031689482017,4.111172659954107
76.0,2.3048631790009035,4.1087861115377065
77.0,2.3056028806518483,4.106441115095636
78.0,2.3063225959874405,4.104136918128638
79.0,2.3070226454095075,4.101872777222508
80.0,2.3077033475009863,4.099647958108463
81.0,2.3083650188973226,4.097461735716794
82.0,2.309007974163571,4.095313394223888
83.0,2.3096325256771704,4.093202227092663
84.0,2.3102389835163595,4.09112753710651
