t,H,L
0.0,2.35,4.6
0.25,2.3494143620671157,4.601293501471164
0.5,2.3488310204861724,4.60258318944685
0.75,2.348249959311219,4.603869088443003
1.0,2.347671162759699,4.605151222737222
1.25,2.347094615210241,4.606429616371863
1.5,2.3465203012004845,4.607704293157088
1.75,2.3459482054249414,4.6089752766738625
2.0,2.345378312732896,4.6102425902769095
2.25,2.3448106081263367,4.611506257097612
2.5,2.344245076757924,4.6127663000468715
2.75,2.3436817039289917,4.614022741817919
3.0,2.3431204750875807,4.615275604889083
3.25,2.3425613758265054,4.61652491152651
3.5,2.3420043918814506,4.617770683786848
3.75,2.341449509129102,4.619012943519878
4.0,2.3408967135853036,4.6202517123711155
4.25,2.340345991403249,4.621487011784363
4.5,2.339797328871698,4.622718863004225
4.75,2.339250712413224,4.623947287078584
5.0,2.3387061285824897,4.625172304861038
5.25,2.3381635640645495,4.626393937013298
5.5,2.33762300567318,4.627612204007556
5.75,2.3370844403492352,4.6288271261288045
6.0,2.33654785515903,4.630038723477131
6.25,2.336013237292748,4.631247015969972
6.5,2.335480574062874,4.6324520233443325
6.75,2.334949852902653,4.633653765158976
7.0,2.33442106136457,4.634852260796576
7.25,2.3338941871188585,4.636047529465839
7.5,2.3333692179520265,4.637239590203592
7.75,2.332846141765409,4.638428461876842
8.0,2.3323249465737432,4.6396141631848025
8.25,2.3318056205037627,4.64079671266089
8.5,2.3312881517928163,4.641976128674693
8.75,2.3307725287875063,4.643152429433907
9.0,2.330258739942348,4.644325632986245
9.25,2.3297467738184503,4.645495757221321
9.5,2.3292366190822147,4.646662819872498
9.75,2.3287282645040555,4.647826838518719
10.0,2.3282216989571394,4.648987830586305
10.25,2.3277169114161427,4.6501458133507265
10.5,2.3272138909560285,4.651300803938355
10.75,2.326712626750841,4.65245281932818
11.0,2.3262131080725195,4.65360187635351
11.25,2.3257153242897273,4.654747991703643
11.5,2.325219264866702,4.655891181925519
11.75,2.3247249193621182,4.657031463425338
12.0,2.324232277427971,4.658168852470171
12.25,2.3237413288084725,4.659303365189531
12.5,2.3232520633389675,4.660435017576934
12.75,2.322764470944863,4.661563825491434
13.0,2.322278541640574,4.662689804659133
13.25,2.321794265528485,4.663812970674675
13.5,2.3213116327979257,4.664933339002714
13.75,2.320830633724162,4.66605092497937
