t,H,L
0.0,2.18,4.44
0.25,2.1800002244939876,4.4399988044410135
0.5,2.180000442878168,4.439997611753863
0.75,2.1800006551634996,4.439996421915697
1.0,2.180000861360906,4.4399952349037415
1.25,2.1800010614812764,4.439994050695293
1.5,2.180001255535467,4.439992869267723
1.75,2.1800014435342994,4.439991690598476
2.0,2.1800016254885612,4.4399905146650696
2.25,2.180001801409007,4.439989341445094
2.5,2.1800019713063574,4.439988170916212
2.75,2.180002135191299,4.43998700305616
3.0,2.180002293074486,4.439985837842745
3.25,2.1800024449665387,4.439984675253845
3.5,2.1800025908780443,4.4399835152674125
3.75,2.180002730819557,4.43998235786147
4.0,2.180002864801598,4.439981203014111
4.25,2.1800029928346554,4.439980050703499
4.5,2.1800031149291854,4.439978900907872
4.75,2.180003231095611,4.439977753605534
5.0,2.180003341344322,4.439976608774863
5.25,2.1800034456856765,4.439975466394304
5.5,2.1800035441300007,4.439974326442375
5.75,2.1800036366875877,4.43997318889766
6.0,2.180003723368699,4.439972053738816
6.25,2.1800038041835634,4.4399709209445675
6.5,2.1800038791423786,4.439969790493707
6.75,2.1800039482553095,4.439968662365099
7.0,2.1800040115324903,4.439967536537673
7.25,2.180004068984023,4.439966412990429
7.5,2.1800041206199787,4.439965291702433
7.75,2.1800041664503955,4.439964172652822
8.0,2.180004206485282,4.439963055820798
8.25,2.1800042407346143,4.439961941185633
8.5,2.180004269208338,4.439960828726663
8.75,2.180004291916368,4.439959718423294
9.0,2.180004308868587,4.4399586102549975
9.25,2.1800043200748482,4.4399575042013115
9.5,2.180004325544973,4.439956400241841
9.75,2.180004325288753,4.4399552983562565
10.0,2.180004319315949,4.439954198524296
10.25,2.180004307636291,4.439953100725761
10.5,2.180004290259479,4.43995200494052
10.75,2.1800042671951827,4.4399509111485065
11.0,2.1800042384530416,4.439949819329719
11.25,2.180004204042665,4.439948729464223
11.5,2.180004163973632,4.439947641532144
11.75,2.180004118255493,4.439946555513677
12.0,2.1800040668977667,4.439945471389079
12.25,2.1800040099099443,4.439944389138671
12.5,2.180003947301486,4.439943308742839
12.75,2.180003879081822,4.439942230182031
13.0,2.180003805260355,4.43994115343676
13.25,2.180003725846457,4.439940078487603
13.5,2.1800036408494705,4.439939005315198
13.75,2.18000355027871,4.4399379339002465
14.0,2.18000345414346,4.4399368642235135
14.25,2.1800033524529767,4.439935796265827
14.5,2.1800032452164873,4.439934730008075
14.75,2.1800031324431903,4.4399336654312105
15.0,2.180003014142255,4.4399326025162456
15.25,2.1800028903228226,4.439931541244256
15.5,2.180002760994006,4.439930481596379
15.75,2.1800026261648893,4.439929423553812
16.0,2.180002485844528,4.439928367097814
16.25,2.1800023400419506,4.439927312209705
