t,H,L
200.0,2.142849393266848,4.457312517744428
217.0,2.1722437098769585,4.473730935295428
234.25,2.24366270292035,4.51337950048844
251.5,1.9544582019001455,4.5799283425895325
268.5,2.2529128754609724,4.4088727812855355
285.75,2.1856177550242704,4.521741949399267
303.0,2.193059820301158,4.602867681181394
320.0,2.3166609586035714,4.459036813575412
337.25,2.2019092689590267,4.423206771372219
354.5,2.2086967199134317,4.445685238170294
371.5,2.1536053031005467,4.46712470156183
388.75,2.220812149781643,4.571245166665608
406.0,2.1661984328264343,4.554982881404446
423.0,2.1835859577993837,4.397102322327443
440.25,2.184516086827595,4.412479129822221
457.5,2.175965031256447,4.402429152566035
474.5,2.1445937407505884,4.532586885558401
491.75,2.1907490729802257,4.4315490622859715
509.0,2.165239155251055,4.479314264729357
526.25,2.35706500046888,4.6226272246758855
543.25,2.1260889738874353,4.401554807697506
560.5,2.4069226102962373,4.380015750884765
577.75,2.0817322844656045,4.4956864727520225
594.75,2.265290377581,4.649081635415127
612.0,2.2005815573815783,4.5359072786257935
629.25,2.2918035927502216,4.452439446176083
646.25,2.3502682159688195,4.592439858662757
663.5,2.240305371881526,4.422131614189131
680.75,2.132083084303301,4.321955592920736
697.75,2.2670703604961044,4.417206727045549
715.0,2.3193565338521402,4.240885389366811
732.25,2.0826876488403063,4.282345749900823
749.25,2.125530211336682,4.466568094692904
766.5,2.05086278784399,4.360594184111304
783.75,2.148420345632974,4.51310520607094
801.0,2.2016031929900803,4.425861339501354
818.0,2.189308637287736,4.361915697548955
835.25,1.9364021339673745,4.3977488368412585
852.5,2.1250594785939336,4.5910737819940834
869.5,2.0252256863656912,4.367701143078081
886.75,2.0678653859569067,4.468186481968137
904.0,2.2819684391213704,4.381968995817359
921.0,2.232015489299103,4.334740176846611
938.25,2.1505196417240104,4.407118294484253
955.5,2.3593259020339348,4.444843304399977
972.5,1.9399898949122485,4.460877992246862
989.75,2.199426863791071,4.4859723316244295
1007.0,1.9891291193694471,4.179962819120996
1024.0,2.304626217967466,4.417698902360237
1041.25,2.129589905802367,4.4275086758565125
1058.5,2.365980282573559,4.493911089344395
1075.75,2.165048774892606,4.433143231780014
1092.75,2.176806322540756,4.643392005521642
1110.0,2.0786391236445563,4.469246027790909
1127.25,2.198428279379726,4.420657987088079
1144.25,2.1933087558966293,4.36527167067492
1161.5,2.237464290295289,4.412404525978573
1178.75,2.2332214023686894,4.4951333625192476
1195.75,2.175703908700778,4.2604026798245025
1213.0,2.151365989618401,4.481300991256242
1230.25,2.1042964764648824,4.210632131696776
1247.25,2.206434241378066,4.411514455033162
1264.5,1.9516361163665645,4.434645248445342
1281.75,2.0689716744563698,4.332928295887081
1298.75,2.316720950662643,4.268407530308728
1316.0,1.982607713520008,4.29426025140705
1333.25,2.142705489653291,4.433139021011382
1350.5,2.1169452820323236,4.357947583310798
1367.5,2.1125381337399696,4.326183680551514
1384.75,2.0530477808333645,4.5844151230590215
1402.0,2.1860890542668923,4.231299231126145
1419.0,2.084487089849159,4.589012578996884
1436.25,2.1662719609786234,4.535794769413528
1453.5,2.0958347775341175,4.4121640450366355
1470.5,2.0316693848393856,4.302757251788219
1487.75,2.2643274820196635,4.453325757593886
1505.0,2.073666740563871,4.305408266477436
1522.0,2.1610549295219235,4.362678636550027
1539.25,2.1220673765157216,4.4642725310265625
1556.5,2.087593230995461,4.389353336327044
1573.5,2.0266866554356837,4.4870878430624215
1590.75,2.1275265029827772,4.354663498521057
1608.0,1.9866254020442327,4.284919295202334
1625.25,2.1339614748304183,4.4635443250832925
1642.25,2.0304874199495826,4.481639231837657
1659.5,2.2195088862866146,4.291160926927822
1676.75,2.032682365677829,4.131010486589282
1693.75,1.9400888453527836,4.532894856765103
1711.0,2.279626301727125,4.37803632858403
1728.25,2.0936968119957053,4.423128616822021
1745.25,2.1872880730800115,4.403823851054316
1762.5,2.0601500000823654,4.32452007720076
1779.75,2.017918863802056,4.421847147563593
1796.75,2.079902966320187,4.258352726278872
1814.0,2.2027023750202077,4.39347081244424
