t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
0.25,2.180000224493988,4.4399988044410135,2.314272016712019,4.601069667343033,2.2956193729580456,4.591853301375879,2.3070597094023637,4.584222851012685,2.2990512614932803,4.612606296097208,2.299773376464583,4.597826220645792,2.296351691376971,4.608537891343968,2.299326505665864,4.590106407778609,2.2979316114196617,4.586351975963295,2.2994375290688356,4.59162237678999,2.3092933598007876,4.59404470058656,2.301811643436241,4.595824168893702
0.5,2.180000442878168,4.439997611753863,2.314348314046734,4.60085652064351,2.295715879240175,4.591600757408325,2.307130446459747,4.584025064279527,2.2991630253529234,4.612317125625323,2.299869396799282,4.597573276440251,2.2964635296004525,4.608249525273056,2.29941551743705,4.589869761273204,2.2980190537930123,4.586119447340693,2.299527882709491,4.591382605645789,2.309370517386682,4.5938314685472905,2.3019023562825547,4.595582555247697
0.75,2.1800006551635,4.439996421915697,2.314424261888106,4.600644126212945,2.29581198026128,4.591349098773653,2.307200860053499,4.583827970908038,2.299274328910179,4.61202897152428,2.299965009892973,4.597321221456178,2.2965749098415547,4.607962170669128,2.299504146746011,4.589633945698782,2.2981061203781654,4.5858877342410205,2.2996178491015162,4.59114367664584,2.309447326412409,4.593618987228178,2.3019926793485697,4.595341790335804
1.0,2.180000861360906,4.4399952349037415,2.3144998614354324,4.600432481286234,2.2959076773186267,4.591098322382396,2.307270951295429,4.583631568352541,2.2993851735962303,4.611741830305348,2.300060217058549,4.597070052571508,2.296685833518209,4.607675824073243,2.2995923948439794,4.589398958110993,2.2981928124062674,4.585656833773342,2.2997074295083113,4.590905586811235,2.309523788063815,4.593407253890166,2.302082613904485,4.5951018711557
1.25,2.1800010614812764,4.439994050695293,2.3145751138848727,4.600221583106852,2.296002971706662,4.590848425153748,2.307340721294362,4.583435854075331,2.2994955608395293,4.611455698489081,2.300155019606017,4.596819766673003,2.296796302045663,4.60739048203562,2.299680262979278,4.589164795574028,2.2982791311055766,4.5854267430551365,2.2997966251903716,4.590668333171664,2.3095999035236883,4.593196265802614,2.3021721612176016,4.594862794713708
1.5,2.180001255535467,4.439992869267723,2.3146500204294522,4.600011428926842,2.296097864717012,4.590599404015556,2.3074101711561408,4.583240825546667,2.299605492065791,4.611170572605311,2.3002494188424927,4.596570360656243,2.29690631683647,4.607106141115635,2.2997677523973197,4.588931455160602,2.29836507770146,4.585197459212286,2.2998854374052837,4.590431912765398,2.3096756739717597,4.592986020243283,2.302261322552318,4.5946245580247815
1.75,2.1800014435343,4.439991690598476,2.314724582259062,4.599802016006795,2.2961923576384766,4.590351255904309,2.3074793019836286,4.583046480244748,2.2997149686979834,4.610886449193144,2.3003434160721974,4.596321831425615,2.297015879300481,4.606822797881811,2.2998548643406056,4.588698933951944,2.298450653416393,4.5849689793790604,2.2999738674077226,4.5901963226392875,2.3097511005847027,4.5927765144983175,2.302350099170125,4.594387158112503
2.0,2.180001625488561,4.4399905146650696,2.314798800560459,4.599593341615841,2.2962864517570276,4.590103977765128,2.3075481148767087,4.5828528156557065,2.2998239921563237,4.610603324800949,2.300437012596454,4.596074175894301,2.2971249908448406,4.606540448911813,2.2999416000487227,4.588467229037787,2.298535859469956,4.58474130069811,2.30006191644945,4.589961559848741,2.3098261845361345,4.592567745862231,2.3024384923296077,4.59415059200906
2.25,2.180001801409007,4.439989341445094,2.314872676517267,4.599385403031627,2.296380148355803,4.589857566551755,2.3076166109322878,4.5826598292735845,2.299932563858268,4.610321195986356,2.3005302097136853,4.595827390984268,2.297233652873977,4.6062590907924434,2.3000279607583414,4.588236337516352,2.2986206970788334,4.584514420320449,2.3001495857793124,4.589727621457721,2.309900926996616,4.592359711637895,2.302526503286439,4.593914856755245
2.5,2.180001971306357,4.439988170916212,2.3149462113099775,4.599178197540304,2.2964734487151044,4.5896120192265455,2.307684791244296,4.582467518600324,2.3000406852185056,4.610040059316243,2.300623008719407,4.59558147362626,2.2973418667895964,4.605978720119628,2.3001139477032138,4.588006256494343,2.2987051674568124,4.5842883354054464,2.300236876643238,4.5894945045387265,2.3099753291336524,4.592152409136521,2.302614133293381,4.593679949400435
2.75,2.180002135191299,4.43998700305616,2.3150194061159497,4.598971722436514,2.2965663541123944,4.589367332760456,2.3077526569036895,4.582275881145751,2.3001483576489514,4.609759911366734,2.3007154109062276,4.595336420759783,2.2974496339906754,4.605699333498418,2.3001995621141718,4.587776983086928,2.2987892718147807,4.584063043120813,2.3003237902842346,4.589262206172785,2.310049392111693,4.591945835677644,2.3027013836002768,4.593445867002582
3.0,2.180002293074486,4.439985837842745,2.315092262109413,4.59876597502337,2.296658865822292,4.589123504133033,2.307820208998452,4.582084914427558,2.30025558255874,4.609480748723186,2.3008074175638438,4.595092229333097,2.2975569558734543,4.605420927542973,2.3002848052191256,4.587548514417731,2.2988730113607256,4.5838385406425886,2.3004103279423886,4.589030723449438,2.3101231170921332,4.591739988589114,2.3027882554540566,4.593212606628208
3.25,2.1800024449665387,4.439984675253845,2.315164780461467,4.598560952612444,2.2967509851165695,4.588880530332405,2.307887448613596,4.581894615971288,2.3003623613542175,4.609202567980187,2.3008990299790373,4.594848896303203,2.2976638338314306,4.605143498876562,2.300369678243061,4.587320847618815,2.2989563872997323,4.58361482515513,2.300496490854862,4.588800053466732,2.3101965052333147,4.591534865207073,2.3028747500987286,4.592980165352385
3.5,2.1800025908780443,4.4399835152674125,2.31523696234008,4.598356652523749,2.2968427132641493,4.588638408355269,2.3079543768311663,4.581704983310325,2.300468695438936,4.608925365741544,2.300990249435672,4.594606418635834,2.297770269255352,4.604867044131552,2.30045418240804,4.587093979830678,2.2990394008339825,4.583391893851099,2.30058228025589,4.588570193331204,2.3102695576905248,4.5913304628759475,2.3029608687753793,4.59274854025872
3.75,2.180002730819557,4.43998235786147,2.315308808910096,4.598153072085724,2.296934051531102,4.588397135206882,2.3080209947302395,4.581516013985869,2.3005745862136475,4.608649138620276,2.3010810772146906,4.594364793305443,2.29787626353321,4.6045915599494,2.300538318933196,4.586867908202232,2.2991220531627534,4.58316974393145,2.3006676973767806,4.588341140157869,2.310342275616,4.591126778948426,2.3030466127221714,4.592517728439358
4.0,2.180002864801598,4.439981203014111,2.3153803213332305,4.597950208635218,2.297025001180641,4.588156707901049,2.308087303386928,4.581327705546928,2.3006800350762955,4.608373883238608,2.301171514594112,4.594124017295192,2.2979818180502334,4.604317042980646,2.300622089034735,4.586642629890797,2.299204345482416,4.582948372605415,2.300752743445912,4.588112891070209,2.3104146601589246,4.590923810785449,2.3031319831743433,4.592287726994951
4.25,2.180002992834656,4.439980050703499,2.315451500768073,4.5977480595174764,2.2971155634731226,4.587917123460112,2.3081533038743802,4.5811400555503,2.3007850434220103,4.608099596227961,2.301261562849028,4.593884087596938,2.298086934188882,4.604043489884906,2.300705493925933,4.586418142062083,2.299286278986435,4.582727777090495,2.300837419688732,4.587885443200163,2.3104867124654325,4.590721555756193,2.303216981364203,4.592058533034662
4.5,2.1800031149291854,4.439978900907872,2.3155223483700906,4.59754662208612,2.29720573966604,4.587678378914942,2.3082189972627845,4.580953061560555,2.300889612643102,4.6078262742289455,2.3013512232516016,4.593645001211225,2.2981916133288403,4.603770897330863,2.300788534817135,4.586194441890183,2.299367854865366,4.582507954612446,2.3009217273277534,4.5876587936881075,2.3105584336786085,4.590520011238055,2.3033016085211324,4.591830143676144
4.75,2.180003231095611,4.439977753605534,2.315592865291626,4.597345893703133,2.2972955310140217,4.587440471304922,2.3082843846193692,4.580766721150023,2.300993744129055,4.6075539138913495,2.301440497071063,4.5934067551472735,2.298295856847012,4.603499261996259,2.3008712129157534,4.5859715265575565,2.299449074306857,4.5822889024052635,2.3010056675825563,4.587432939682854,2.3106298249384882,4.590319174616635,2.3033858658715802,4.591602556045527
5.0,2.180003341344322,4.439976608774863,2.3156630526819004,4.597145871738847,2.2973849387688308,4.587203397677944,2.308349467008407,4.580581031898776,2.301097439266521,4.607282511874136,2.3015293855737076,4.593169346422964,2.298399666117513,4.603228580567887,2.3009535294262675,4.585749393255017,2.2995299384956454,4.582070617711174,2.301089241669784,4.587207878341628,2.310700887382061,4.590119043285724,2.303469754639064,4.59137576727741
5.25,2.1800034456856765,4.439975466394304,2.315732911687016,4.596946553571923,2.297473964179359,4.586967155090389,2.308414245491215,4.580395991394613,2.3012006994393137,4.607012064845429,2.301617890022894,4.592932772064829,2.2985030425116664,4.602958849741583,2.301035485550222,4.585528039181722,2.2996104486135573,4.581853097780617,2.301172450803143,4.586983606830061,2.310771622143269,4.589919614647286,2.3035532760441653,4.591149774514845
5.5,2.1800035441300007,4.439974326442375,2.315802443449955,4.596747936589338,2.297562608491627,4.5867317406071235,2.308478721126158,4.580211597233044,2.301303526028404,4.606742569482507,2.301706011679041,4.592697029108042,2.2986059873979956,4.602690066222218,2.301117082486225,4.585307461545158,2.299690605839509,4.581636339872239,2.3012552961934016,4.5867601223221754,2.3108420303530104,4.589720886111444,2.303636431304533,4.590924574909329
5.75,2.180003636687588,4.43997318889766,2.315871649110585,4.596550018186366,2.2976508729487795,4.586497151301483,2.3085428949686513,4.5800278470172735,2.3014059204119115,4.606474022471796,2.301793751799625,4.5924621145964,2.29870850214222,4.6024222267236885,2.301198321429949,4.585087657561126,2.299770411349503,4.5814203412528745,2.3013377790483873,4.586537422000375,2.31091211313914,4.5895228550964635,2.303719221634875,4.590700165620785
6.0,2.180003723368699,4.439972053738816,2.3159405298056552,4.5963527957665615,2.297738758791085,4.586263384255263,2.308606768071162,4.579844738358186,2.301507883965102,4.606206420508858,2.301881111639179,4.592228025582321,2.2988105881072474,4.602155327968909,2.3012792035741287,4.584868624453733,2.29984986631663,4.581205099197534,2.301419900572988,4.5863155030554275,2.31098187162647,4.58932551902874,2.3038016482469645,4.590476543817553
6.25,2.1800038041835634,4.439970920944568,2.316009086668803,4.596156266741747,2.297826267255932,4.586030436558707,2.3086703414832117,4.579662268874329,2.3016094180603797,4.605939760298384,2.3019680924492887,4.591994759126822,2.298912246653171,4.601889366689801,2.30135973010856,4.5846503594553765,2.2999289719110676,4.580990610989395,2.301501661969148,4.586094362686457,2.311051306936772,4.5891288753427775,2.3038837123496334,4.59025370667638
6.5,2.1800038791423786,4.439969790493707,2.3160773208305536,4.595960428531993,2.2979133995778285,4.585798305310494,2.3087336162513794,4.579480436191897,2.3017105240672833,4.605674038554182,2.3020546954785917,4.591762312299517,2.299013479137262,4.601624339627289,2.3014399022201,4.584432859806729,2.300007729300079,4.580776873919782,2.3015830644358704,4.5858739981009276,2.3111204201887787,4.588932921481178,2.303965415148773,4.590031651382399
6.75,2.180003948255309,4.439968662365099,2.3161452334183217,4.595765278565604,2.298000156988397,4.585566987617729,2.3087965934193035,4.579299237944716,2.301811203352479,4.605409251999172,2.3021409219727746,4.591530682178594,2.299114286913965,4.6013602435312855,2.301519721092667,4.584216122756731,2.3000861396480135,4.580563885288161,2.301664109169213,4.58565440651463,2.311189212498185,4.588737654894626,2.304046757847332,4.589810375129124
7.0,2.1800040115324903,4.439967536537673,2.316212825556414,4.5955708142791005,2.2980865407163757,4.585336480595929,2.3088592740276845,4.5791186717742285,2.301911457279757,4.605145397365373,2.302226773174572,4.591299865850812,2.2992146713348927,4.601097075160687,2.301599187907237,4.584000145562569,2.300164204116306,4.5803516424021185,2.3017447973622898,4.5854355851516715,2.3112576849776496,4.588543073041866,2.304127741645318,4.589589875118436
7.25,2.180004068984023,4.439966412990429,2.3162800983660308,4.595377033117204,2.2981725519876144,4.585106781369013,2.3089216591142874,4.5789387353294755,2.3020112872100262,4.604882471393897,2.302312250323764,4.591069860411483,2.299314633748821,4.600834831283361,2.3016783038418462,4.583784925489671,2.300241923863477,4.5801401425773545,2.301825130205269,4.58521753124446,2.3113258387367974,4.588349173389698,2.3042083677397933,4.589370148560562
7.5,2.1800041206199787,4.439965291702433,2.316347052965268,4.595183932532819,2.2982581920250733,4.584877887069288,2.3089837497139447,4.57875942626708,2.3021106945013075,4.604620470834937,2.3023973546571748,4.590840662964462,2.2994141755016835,4.600573508676142,2.30175707007159,4.583570459811689,2.300319300045131,4.5799293831376655,2.301905108885372,4.585000242033693,2.31139367488222,4.58815595341295,2.304288637324876,4.5891511926740725
7.75,2.1800041664503955,4.439964172652822,2.316413690469119,4.59499150998702,2.2983434620488215,4.58464979483744,2.3090455468585587,4.578580742251234,2.3022096805087306,4.604359392447758,2.3024820874086704,4.590612270622137,2.2995132979365676,4.600313104124816,2.301835487768621,4.583356745810485,2.3003963338139584,4.5797193614149325,2.3019847345868745,4.584783714768341,2.311461194517479,4.58796341059447,2.3043685515917405,4.588933004685864
8.0,2.180004206485282,4.439963055820798,2.3164800119894773,4.594799762949028,2.298428363276034,4.58442250182252,2.309107051577104,4.578402680953681,2.3023082465845293,4.604099233000689,2.302566449809158,4.590384680505411,2.2996120023937077,4.600053614424116,2.3019135581021506,4.583143780776118,2.3004730263197337,4.579510074749106,2.302064008491104,4.584567946705641,2.311528398743106,4.5877715424251075,2.3044481117286106,4.588715581831141
