t,H,L,1H,1L,2H,2L,3H,3L,4H,4L,5H,5L,6H,6L,7H,7L,8H,8L,9H,9L,10H,10L,aH,aL
0.0,2.18,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.6
0.25,2.180000224493988,4.4399988044410135,2.298603556228451,4.587319586254041,2.3008678927740074,4.592407818873569,2.2995286260679477,4.626491406537843,2.300384729926487,4.6152106044561245,2.299486378164652,4.622760950074665,2.3018391289661966,4.616608075557819,2.3033241865939265,4.610858209734236,2.293940811899996,4.588041461898444,2.286328746961206,4.619689190460334,2.30991333795586,4.62039989649631,2.299421739553873,4.609978720034339
0.5,2.180000442878168,4.439997611753863,2.2986909131885556,4.587087005969582,2.300956793500994,4.5921708586096806,2.2996532969501287,4.626171887394132,2.3004970434853687,4.614919669753931,2.299607462114147,4.622449855857765,2.301950618082084,4.616318531860915,2.303427700652759,4.610586641019512,2.294036131034546,4.587792270617482,2.2864660681559337,4.619344510081514,2.3100162046208617,4.62012740021943,2.299530223178538,4.609696863138394
0.75,2.1800006551635,4.439996421915697,2.298777894095098,4.586855241723279,2.3010453108434747,4.591934731186603,2.2997774640937476,4.625853490577454,2.3006088936156623,4.614629758636463,2.2997280542161613,4.6221398547402055,2.3020616451566074,4.616030008006692,2.303530778436216,4.610316029845354,2.29413105045574,4.5875439518502015,2.286602858415742,4.619001024680606,2.3101186311281627,4.619855869273823,2.299638258045661,4.609415996052068
1.0,2.180000861360906,4.4399952349037415,2.2988645001814967,4.586624290619524,2.3011334460587523,4.5916994336468955,2.299901129020548,4.625536212299522,2.3007202817593795,4.614340867586543,2.2998481559687645,4.6218309430147535,2.3021722116333017,4.615742500480039,2.30363342133491,4.610046372868762,2.294225571443332,4.587296502553502,2.2867391192647237,4.618658730364557,2.310220618896402,4.619585300256884,2.299745845556161,4.609136115369099
1.25,2.1800010614812764,4.439994050695293,2.298950732678272,4.586394149771148,2.301221200401198,4.591464963041719,2.3000242932497317,4.625220048781655,2.3008312093557857,4.61405299309636,2.2999677688674223,4.621523116983703,2.302282318952922,4.6154560057752585,2.3037356307365644,4.609777666755981,2.2943196952742766,4.587049919692832,2.2868748522248823,4.618317623249481,2.310322169341211,4.619315689775543,2.2998529871082267,4.608857217692368
1.5,2.180001255535467,4.439992869267723,2.299036592813042,4.586164816299409,2.3013085751222473,4.59123131643082,2.3001469582979452,4.624904996254771,2.3009416778413945,4.613766131667457,2.3000868944049877,4.621216372958877,2.3023919685534358,4.615170520396054,2.3038374080260065,4.609509908182493,2.2944134232227267,4.586804200242174,2.2870100588161177,4.617977699460653,2.310423283875212,4.619047034446252,2.299959684097312,4.608579299633896
1.75,2.1800014435343,4.439991690598476,2.299122081810522,4.585936287333978,2.3013955714703997,4.590998490882522,2.300269125679271,4.624591050959389,2.301051688649958,4.613480279810728,2.300205534071691,4.620910707261614,2.3025011618700164,4.614886040855527,2.3039387545851633,4.609243093833003,2.2945067565600303,4.58655934118404,2.2871447405562138,4.617638955132515,2.310523963908008,4.61877933089498,2.3000659379161275,4.608302357814829
2.0,2.180001625488561,4.4399905146650696,2.299207200892523,4.585708560012931,2.301482190691215,4.590766483473713,2.300390796905217,4.62427820914562,2.301161243212461,4.6131954340464105,2.30032368935513,4.620606116222772,2.302609900335036,4.614602563676167,2.304039671793056,4.608977220401435,2.2945996965547266,4.5863153395094605,2.2872788989608246,4.617301386408674,2.310624210846181,4.618512575757196,2.3001717499546372,4.608026388865438
2.25,2.180001801409007,4.439989341445094,2.299291951277948,4.585481631482732,2.3015684340273115,4.590535291289832,2.3005119734847055,4.623966467073164,2.301270342957112,4.612911590904075,2.300441361740261,4.620302596182718,2.302718185378058,4.614320085389843,2.3041401610257926,4.608712284590922,2.2946922444725426,4.586072192217969,2.287412535543462,4.616964989441901,2.310724026093286,4.618246765677863,2.3002771216000477,4.607751389425102
2.5,2.180001971306357,4.439988170916212,2.299376334182793,4.585255498898224,2.301654302718365,4.590304911424858,2.300632656924062,4.623655821011309,2.301378989309339,4.612628746922623,2.300558552709389,4.620000143491324,2.3028260184258285,4.614038602537801,2.3042402236565667,4.608448283113794,2.2947844015763903,4.5858298963176,2.2875456518154813,4.6166297603941295,2.310823411049845,4.617981897311432,2.300382054236806,4.60747735614231
2.75,2.180002135191299,4.43998700305616,2.2994603508201434,4.585030159422618,2.3017397980011065,4.590075340981297,2.3007528487270075,4.623346267238922,2.301487183691778,4.612346898650276,2.3006752637421584,4.619698754507962,2.302933400902272,4.61375811167065,2.3043398610556483,4.608185212691567,2.294876169126362,4.585588448824871,2.2876782492860714,4.616295695436459,2.310922367113342,4.617717967321821,2.300486549246589,4.607204285674644
3.0,2.180002293074486,4.439985837842745,2.2995440024001734,4.584805610227477,2.3018249211093202,4.589846577070171,2.3008725503946454,4.623037802044449,2.3015949275242695,4.612066042644567,2.3007914963155436,4.619398425601501,2.3030403342284833,4.61347860934836,2.3044390745903818,4.607923070054941,2.29496754837973,4.585347846764776,2.2878103294622387,4.61596279074915,2.3110208956782197,4.617454972382414,2.3005906080083003,4.60693217468878
3.25,2.1800024449665387,4.439984675253845,2.2996272901301453,4.5845818484927054,2.3019096732738418,4.589618616811004,2.3009917634254546,4.622730421725905,2.3017022222238497,4.611786175472338,2.3009072519038405,4.619099153150297,2.3031468198227194,4.613200092140248,2.3045378656251794,4.60766185194378,2.2950585405909396,4.585108087170775,2.2879418938487963,4.615631042521628,2.311118998135873,4.617192909176047,2.3006942318980643,4.606661019860473
3.5,2.1800025908780443,4.4399835152674125,2.2997102152144064,4.584358871406537,2.3019940557225573,4.589391457331811,2.3011104893152776,4.622424122590874,2.301809069204745,4.611507293709728,2.3010225319786577,4.6188009335421905,2.3032528591003953,4.6129225566249765,2.3046362355215173,4.60740155510711,2.2951491470116108,4.58486916708478,2.288072943948352,4.615300446952475,2.3112166758746455,4.6169317743949945,2.3007974222892167,4.606390817874547
3.75,2.180002730819557,4.43998235786147,2.29979277885439,4.584136676165521,2.3020780696804013,4.589165095769084,2.3012287295573115,4.622118900956503,2.301915469878364,4.611229393942165,2.3011373380089073,4.6185037631745,2.303358453474076,4.612645999390541,2.30473418563793,4.607142176303106,2.2952393688905315,4.58463108355715,2.288203481261295,4.61497100024944,2.311313930279824,4.616671564740965,2.3009001805523033,4.606121565424897
4.0,2.180002864801598,4.439981203014111,2.2998749822486118,4.5839152599745105,2.3021617163693553,4.588939529267781,2.301346485642098,4.621814753149495,2.302021425653291,4.61095247276436,2.301251671460796,4.618207638454017,2.30346360435347,4.612370417034262,2.3048317173300075,4.606883712299081,2.295329207473656,4.5843938336466765,2.2883335072857838,4.614642698629426,2.311410762733635,4.616412276925087,2.3010025080550705,4.60585325921447
4.25,2.180002992834656,4.439980050703499,2.2999568265926706,4.583694620046651,2.3022449970084464,4.588714754981312,2.301463759057515,4.621511675506108,2.302126937935282,4.610676526780299,2.3013655337978167,4.617912555796997,2.3035683131454245,4.6120958061627775,2.304928831950388,4.606626159871476,2.2954186640041043,4.58415741442057,2.288463023517735,4.614315538318496,2.311507174615239,4.6161539076678935,2.3011044061624624,4.605585895955258
4.5,2.1800031149291854,4.439978900907872,2.3000383130792468,4.583474753603364,2.302327912813747,4.588490770071527,2.3015805512887666,4.621209664372143,2.3022320081272536,4.610401552603234,2.3014789264807405,4.617618511629158,2.3036725812539167,4.611822163392037,2.3050255308487566,4.606369515805854,2.2955077397221557,4.583921822954454,2.2885920314508104,4.61398951555187,2.3116031673007282,4.61589645369932,2.301205876236612,4.605319472368296
4.75,2.180003231095611,4.439977753605534,2.3001194428981018,4.583255657874339,2.3024104649983714,4.588267571708704,2.301696863818373,4.620908716102947,2.3023366376292818,4.610127546855673,2.3015918509676077,4.61732550238567,2.3037764100800495,4.611549485347287,2.3051218153718387,4.606113776896882,2.2955964358652494,4.583687056332352,2.2887205325764053,4.613664626573922,2.3116987421631205,4.615639911758685,2.30130691963684,4.6050539851836465
5.0,2.180003341344322,4.439976608774863,2.3002002172360756,4.5830373300975165,2.302492654772477,4.588045157071533,2.301812698126163,4.620608827063399,2.3024408278385917,4.609854506169375,2.3017043087137203,4.617033524511152,2.3038798010220454,4.611277768663069,2.305217686863397,4.605858939948327,2.295684753667981,4.583453111646676,2.2888485283836375,4.61334086763818,2.3117939005723565,4.615384278594685,2.301407537719645,4.604789431140391
5.25,2.1800034456856765,4.439975466394304,2.3002806372770883,4.582819767519076,2.3025744833432618,4.587823523347107,2.3019280556892645,4.620309993627912,2.3025445801495543,4.60958242718534,2.301816301171633,4.616742574459662,2.3039827554752397,4.6110070099832035,2.3053131466642274,4.605605001773042,2.295772694362099,4.583219985998216,2.288976020359335,4.613018235007325,2.3118886438952946,4.615129550965378,2.3015077318387,4.604525806986626
5.5,2.1800035441300007,4.439974326442375,2.3003607042021375,4.5826029673934245,2.3026559519149634,4.587602667730908,2.3020429379820952,4.620012212180422,2.302647895953679,4.609311306553799,2.3019278297911456,4.616452648694695,2.304085274832076,4.610737205960789,2.305408196112154,4.605351959192958,2.295860259176504,4.582987676496128,2.2891030099880245,4.612696724953185,2.311982973495708,4.614875725638176,2.3016075033448486,4.604263109479448
5.75,2.180003636687588,4.43997318889766,2.300440419189299,4.582386926983184,2.302737061688859,4.587382587426792,2.302157346476354,4.619715479114382,2.3027507766396087,4.609041140934208,2.3020388960192957,4.616163743689171,2.304187360482099,4.610468353258186,2.3055028365420265,4.605099809039069,2.295947449337247,4.582756180257921,2.289229498751921,4.612376333756738,2.3120768907342812,4.614622799389831,2.3017068535860994,4.604001335384948
6.0,2.180003723368699,4.439972053738816,2.300519783413724,4.582171643559175,2.3028178138632636,4.587163279646977,2.302271282641013,4.619419790832762,2.3028532235931127,4.608771926995236,2.30214950130035,4.615875855925432,2.3042890138119505,4.610200448547013,2.3055970692857155,4.604848548151425,2.296034266067525,4.582525494409451,2.2893554881309144,4.612057057708105,2.312170396968605,4.614370769006427,2.3018057839076174,4.6037404814782
6.25,2.1800038041835634,4.439970920944568,2.300598798047642,4.581957114400405,2.3028982096335304,4.586944741612029,2.302384747942308,4.619125143748034,2.302955238197082,4.608503661414759,2.3022596470757977,4.615588981895233,2.3043902362053625,4.609933488508133,2.3056908956721087,4.604598173379121,2.2961207105876804,4.582295616084902,2.2894809796025615,4.611738893106553,2.3122634935531745,4.6141196312833594,2.301904295651725,4.603480544543253
