t,H,L
0.0,2.18,4.44
1.0,2.1797017304376967,4.439993523547341
2.0,2.179405029052087,4.439983700967782
3.0,2.1791098743114037,4.439970577690702
4.0,2.1788162450069812,4.439954198486188
5.0,2.1785241202477827,4.439934607475658
6.0,2.1782334794550327,4.439911848142289
7.0,2.1779443023569565,4.439885963341244
8.0,2.177656568983624,4.4398569953097144
9.0,2.1773702596618922,4.439824985676778
10.0,2.1770853550104476,4.439789975473075
11.0,2.1768018359349455,4.439752005140307
12.0,2.1765196836232414,4.439711114540563
13.0,2.1762388795407173,4.439667342965476
14.0,2.175959405425695,4.439620729145213
15.0,2.1756812432849384,4.439571311257308
16.0,2.1754043753892423,4.439519126935325
17.0,2.1751287842691043,4.43946421327738
18.0,2.1748544527104783,4.439406606854496
19.0,2.1745813637506095,4.4393463437188245
20.0,2.174309500673946,4.439283459411706
21.0,2.174038847008129,4.439217988971598
22.0,2.173769386520057,4.439149966941863
23.0,2.1735011032120224,4.439079427378412
24.0,2.1732339813179222,4.439006403857221
25.0,2.1729680052995364,4.438930929481712
26.0,2.1727031598428765,4.438853036890011
27.0,2.172439429854601,4.438772758262073
28.0,2.172176800458495,4.438690125326686
29.0,2.171915256992017,4.438605169368358
30.0,2.171654785002905,4.43851792123408
31.0,2.1713953702458495,4.438428411339975
32.0,2.171136998679219,4.438336669677832
33.0,2.170879656461852,4.438242725821533
34.0,2.1706233299499034,4.438146608933365
35.0,2.170368005693745,4.438048347770225
36.0,2.170113670434927,4.437947970689729
37.0,2.1698603111031884,4.437845505656202
38.0,2.169607914813525,4.437740980246581
39.0,2.1693564688633047,4.437634421656214
40.0,2.169105960729437,4.4375258567045615
41.0,2.1688563780655916,4.437415311840802
42.0,2.168607708699465,4.437302813149344
43.0,2.1683599406300957,4.437188386355253
44.0,2.1681130620252262,4.437072056829575
45.0,2.1678670612187108,4.436953849594591
46.0,2.1676219267079677,4.436833789328962
47.0,2.167377647151476,4.436711900372811
48.0,2.167134211366317,4.436588206732706
49.0,2.1668916083257534,4.436462732086574
50.0,2.166649827156857,4.436335499788521
51.0,2.166408857138169,4.436206532873588
52.0,2.166168687697408,4.436075854062417
53.0,2.16592930840921,4.43594348576585
54.0,2.1656907089929125,4.43580945008945
55.0,2.1654528793103727,4.435673768837952
56.0,2.165215809363823,4.435536463519635
57.0,2.1649794892937635,4.435397555350636
58.0,2.16474390937689,4.43525706525918
59.0,2.164509060024055,4.435115013889759
60.0,2.164274931778264,4.434971421607229
61.0,2.1640415153127073,4.434826308500852
62.0,2.163808801428819,4.434679694388269
63.0,2.163576781054373,4.434531598819411
64.0,2.1633454452416103,4.434382041080352
65.0,2.1631147851653934,4.434231040197093
66.0,2.1628847921213947,4.434078614939297
67.0,2.162655457524314,4.433924783823954
68.0,2.1624267729061244,4.4337695651189994
69.0,2.162198729914346,4.433612976846867
70.0,2.16197132031035,4.433455036787991
71.0,2.16174453596769,4.433295762484256
72.0,2.161518368870457,4.433135171242387
73.0,2.161292811111666,4.432973280137291
74.0,2.161067854891665,4.432810106015344
75.0,2.1608434925165723,4.432645665497633
76.0,2.160619716396736,4.43247997498314
77.0,2.16039651904522,4.432313050651885
78.0,2.1601738930763155,4.432144908468013
79.0,2.1599518312040726,4.431975564182841
80.0,2.1597303262408594,4.431805033337853
81.0,2.15950937109594,4.431633331267651
82.0,2.159288958774079,4.431460473102862
83.0,2.159069082374165,4.431286473773
84.0,2.158849735087858,4.431111348009283
85.0,2.1586309101982564,4.430935110347412
86.0,2.1584126010785853,4.430757775130301
87.0,2.158194801190908,4.430579356510773
88.0,2.1579775040848523,4.430399868454208
89.0,2.157760703396363,4.430219324741157
90.0,2.157544392846469,4.430037738969917
91.0,2.1573285662400714,4.429855124559062
92.0,2.157113217464752,4.429671494749938
93.0,2.1568983404895965,4.429486862609125
94.0,2.15668392936404,4.42930124103086
95.0,2.156469978216727,4.429114642739417
96.0,2.156256481254392,4.428927080291464
97.0,2.156043432760754,4.428738566078375
98.0,2.1558308270954316,4.428549112328513
99.0,2.1556186586928714,4.428358731109475
100.0,2.155406922061295,4.4281674343303115
101.0,2.1551956117816617,4.427975233743701
102.0,2.154984722506646,4.4277821409481035
103.0,2.154774248959631,4.42758816738988
104.0,2.154564185933719,4.427393324365374
105.0,2.1543545282907544,4.427197623022973
106.0,2.1541452709603632,4.427001074365131
107.0,2.1539364089390056,4.426803689250364
108.0,2.153727937289044,4.426605478395222
109.0,2.1535198511378257,4.426406452376221
110.0,2.153312145676777,4.42620662163176
111.0,2.153104816160513,4.426005996463997
112.0,2.152897857905959,4.425804587040708
113.0,2.1526912662914888,4.425602403397114
114.0,2.1524850367560706,4.4253994554376845
115.0,2.1522791647984287,4.42519575293791
116.0,2.1520736459762175,4.424991305546052
117.0,2.1518684759052085,4.424786122784873
118.0,2.151663650258486,4.42458021405333
119.0,2.151459164765659,4.424373588628255
120.0,2.151255015212082,4.424166255666
121.0,2.1510511974380897,4.423958224204073
122.0,2.1508477073382375,4.423749503162736
123.0,2.1506445408605614,4.423540101346591
124.0,2.1504416940058424,4.4233300274461325
125.0,2.1502391628268835,4.42311929003929
126.0,2.150036943427799,4.422907897592942
127.0,2.1498350319633115,4.4226958584644045
128.0,2.149633424638061,4.422483180902908
129.0,2.149432117705923,4.422269873051047
130.0,2.1492311074693378,4.422055942946207
131.0,2.149030390278649,4.4218413985219795
132.0,2.148829962531451,4.42162624760955
133.0,2.148629820671946,4.421410497939066
134.0,2.1484299611903115,4.421194157140993
135.0,2.1482303806220755,4.420977232747445
136.0,2.1480310755475025,4.420759732193493
137.0,2.1478320425909865,4.420541662818465
138.0,2.1476332784204537,4.420323031867222
139.0,2.1474347797467734,4.420103846491417
140.0,2.147236543323178,4.419884113750731
141.0,2.147038565944691,4.419663840614104
142.0,2.1468408444475626,4.419443033960935
143.0,2.146643375708715,4.419221700582277
144.0,2.146446156645193,4.418999847182006
145.0,2.1462491842136258,4.41877748037798
146.0,2.146052455409693,4.418554606703177
147.0,2.1458559672676016,4.418331232606823
148.0,2.1456597168595666,4.418107364455499
149.0,2.1454637012953035,4.417883008534233
150.0,2.145267917721524,4.417658171047582
151.0,2.1450723633214417,4.4174328581206925
152.0,2.144877035314282,4.417207075800352
153.0,2.144681930954801,4.41698083005602
154.0,2.144487047532813,4.416754126780849
155.0,2.144292382372719,4.416526971792692
156.0,2.1440979328330467,4.416299370835091
157.0,2.1439036963059968,4.416071329578259
158.0,2.143709670216992,4.4158428536200445
159.0,2.143515852024237,4.415613948486878
160.0,2.14332223921828,4.4153846196347155
161.0,2.143128829321585,4.415154872449963
162.0,2.1429356198881075,4.4149247122503885
163.0,2.142742608502875,4.414694144286021
164.0,2.1425497927815753,4.414463173740043
165.0,2.142357170370152,4.414231805729661
166.0,2.142164738944401,4.41400004530697
167.0,2.141972496209578,4.413767897459812
168.0,2.141780439900006,4.413535367112607
169.0,2.141588567778694,4.4133024591271885
170.0,2.1413968776369554,4.413069178303618
171.0,2.1412053672940363,4.4128355293809935
172.0,2.141014034596746,4.412601517038243
173.0,2.1408228774190947,4.41236714589491
174.0,2.140631893661933,4.41213242051193
175.0,2.1404410812526007,4.411897345392389
176.0,2.140250438144578,4.411661924982281
177.0,2.1400599623171406,4.411426163671248
178.0,2.1398696517750215,4.411190065793316
179.0,2.1396795045480763,4.4109536356276156
180.0,2.1394895186909544,4.4107168773990955
181.0,2.139299692282773,4.410479795279227
182.0,2.1391100234267966,4.410242393386697
183.0,2.13892051025012,4.410004675788094
184.0,2.138731150903358,4.409766646498582
185.0,2.1385419435603366,4.409528309482568
186.0,2.1383528864177888,4.409289668654361
187.0,2.1381639776950565,4.409050727878815
188.0,2.137975215633795,4.408811490971975
189.0,2.137786598497681,4.408571961701707
190.0,2.137598124572126,4.408332143788317
191.0,2.1374097921639934,4.408092040905169
192.0,2.1372215996013173,4.407851656679291
193.0,2.137033545233029,4.407610994691973
194.0,2.1368456274286833,4.407370058479355
195.0,2.136657844578191,4.407128851533011
196.0,2.136470195091554,4.406887377300524
197.0,2.136282677398605,4.406645639186052
198.0,2.136095289948748,4.406403640550884
199.0,2.1359080312107075,4.406161384714
200.0,2.135720899672275,4.405918874952606
201.0,2.135533893840063,4.405676114502677
202.0,2.135347012239261,4.405433106559485
203.0,2.1351602534133955,4.405189854278121
204.0,2.1349736159240913,4.404946360774015
205.0,2.1347870983508384,4.404702629123439
206.0,2.134600699290761,4.404458662364015
207.0,2.1344144173583897,4.404214463495207
208.0,2.1342282511854354,4.403970035478812
