t,H,L
0.0,2.18,4.44
1.0,2.1800008901598416,4.439995234999913
2.0,2.180001759633235,4.439990515623616
3.0,2.1800026086861326,4.439985841295889
4.0,2.1800034375811093,4.439981211448821
5.0,2.1800042465774054,4.439976625521711
6.0,2.180005035930968,4.439972082960982
7.0,2.180005805894494,4.4399675832200876
8.0,2.1800065567174705,4.439963125759423
9.0,2.180007288646215,4.4399587100462385
10.0,2.1800080019239174,4.4399543355545505
11.0,2.180008696790677,4.439950001765058
12.0,2.1800093734835446,4.439945708165055
13.0,2.180010032236558,4.43994145424835
14.0,2.1800106732807834,4.43993723951518
15.0,2.18001129684435,4.4399330634721315
16.0,2.1800119031524896,4.43992892563206
17.0,2.1800124924275726,4.439924825514009
18.0,2.180013064889143,4.439920762643131
19.0,2.180013620753957,4.439916736550612
20.0,2.1800141602360146,4.439912746773594
21.0,2.1800146835465983,4.439908792855099
22.0,2.1800151908943053,4.439904874343956
23.0,2.1800156824850823,4.439900990794723
24.0,2.180016158522258,4.439897141767621
25.0,2.180016619206579,4.4398933268284555
26.0,2.1800170647362394,4.439889545548551
27.0,2.1800174953069145,4.439885797504677
28.0,2.1800179111117934,4.43988208227898
29.0,2.18001831234161,4.439878399458918
30.0,2.1800186991846733,4.4398747486371875
31.0,2.1800190718269,4.439871129411663
32.0,2.1800194304518428,4.439867541385327
33.0,2.180019775240722,4.439863984166208
34.0,2.180020106372454,4.439860457367313
35.0,2.180020424023681,4.439856960606568
36.0,2.1800207283688002,4.439853493506754
37.0,2.180021019579992,4.439850055695444
38.0,2.180021297827247,4.439846646804944
39.0,2.180021563278396,4.4398432664722325
40.0,2.180021816099136,4.439839914338902
41.0,2.1800220564530566,4.439836590051097
42.0,2.180022284501669,4.439833293259462
43.0,2.18002250040443,4.439830023619078
44.0,2.1800227043187697,4.439826780789409
45.0,2.1800228964001165,4.439823564434249
46.0,2.180023076801922,4.4398203742216635
47.0,2.1800232456756876,4.439817209823935
48.0,2.180023403170988,4.439814070917511
49.0,2.1800235494354956,4.439810957182952
50.0,2.1800236846150054,4.439807868304877
51.0,2.180023808853459,4.439804803971913
52.0,2.180023922292967,4.439801763876644
53.0,2.180024025073833,4.439798747715561
54.0,2.1800241173345762,4.439795755189014
55.0,2.180024199211955,4.439792786001157
56.0,2.1800242708409874,4.439789839859908
57.0,2.1800243323549755,4.439786916476894
58.0,2.1800243838855256,4.439784015567409
59.0,2.18002442556257,4.439781136850364
60.0,2.180024457514389,4.439778280048243
61.0,2.1800244798676314,4.439775444887056
62.0,2.180024492747334,4.4397726310962975
63.0,2.180024496276945,4.439769838408897
64.0,2.180024490578341,4.4397670665611795
65.0,2.180024475771849,4.4397643152928215
66.0,2.1800244519762653,4.439761584346808
67.0,2.1800244193088756,4.4397588734693905
68.0,2.1800243778854727,4.439756182410044
69.0,2.180024327820377,4.43975351092143
70.0,2.180024269226455,4.439750858759352
71.0,2.1800242022151366,4.439748225682717
72.0,2.180024126896435,4.439745611453496
73.0,2.1800240433789635,4.439743015836687
74.0,2.1800239517699533,4.439740438600272
75.0,2.1800238521752715,4.439737879515185
76.0,2.180023744699439,4.43973533835527
77.0,2.1800236294456456,4.439732814897243
78.0,2.1800235065157696,4.439730308920662
79.0,2.1800233760103924,4.439727820207884
80.0,2.1800232380288156,4.439725348544033
81.0,2.1800230926690776,4.439722893716963
82.0,2.180022940027969,4.439720455517227
83.0,2.1800227802010492,4.439718033738036
84.0,2.1800226132826617,4.439715628175234
85.0,2.180022439365949,4.439713238627255
86.0,2.180022258542869,4.4397108648950985
87.0,2.180022070904209,4.439708506782291
88.0,2.1800218765396004,4.439706164094857
89.0,2.1800216755375357,4.439703836641286
90.0,2.1800214679853793,4.439701524232502
91.0,2.1800212539693855,4.4396992266818325
92.0,2.1800210335747097,4.439696943804976
93.0,2.180020806885424,4.439694675419974
94.0,2.1800205739845304,4.439692421347182
95.0,2.1800203349539746,4.439690181409237
96.0,2.1800200898746596,4.4396879554310305
97.0,2.180019838826458,4.4396857432396795
98.0,2.180019581888226,4.4396835446645
99.0,2.180019319137817,4.439681359536974
100.0,2.180019050652093,4.439679187690728
101.0,2.1800187765069365,4.439677028961502
102.0,2.180018496777265,4.439674883187124
103.0,2.180018211537043,4.4396727502074835
104.0,2.1800179208592927,4.439670629864502
105.0,2.1800176248161067,4.439668522002115
106.0,2.18001732347866,4.4396664264662355
107.0,2.1800170169172217,4.43966434310474
108.0,2.180016705201166,4.439662271767435
109.0,2.1800163883989843,4.4396602123060385
110.0,2.180016066578296,4.43965816457415
111.0,2.1800157398058593,4.439656128427233
112.0,2.1800154081475824,4.439654103722583
113.0,2.180015071668535,4.439652090319315
114.0,2.180014730432958,4.439650088078331
115.0,2.180014384504274,4.4396480968622996
116.0,2.180014033945099,4.439646116535637
117.0,2.1800136788172506,4.439644146964482
118.0,2.18001331918176,4.439642188016674
119.0,2.1800129550988805,4.439640239561733
120.0,2.1800125866280995,4.4396383014708345
121.0,2.1800122138281455,4.439636373616794
122.0,2.180011836757,4.4396344558740415
123.0,2.180011455471906,4.439632548118604
124.0,2.180011070029377,4.439630650228084
125.0,2.1800106804852075,4.439628762081637
126.0,2.1800102868944813,4.439626883559956
127.0,2.18000988931158,4.439625014545251
128.0,2.1800094877901937,4.439623154921226
129.0,2.180009082383328,4.439621304573065
130.0,2.180008673143313,4.439619463387411
131.0,2.1800082601218134,4.439617631252346
132.0,2.180007843369835,4.439615808057375
133.0,2.1800074229377344,4.439613993693406
134.0,2.180006998875226,4.439612188052736
135.0,2.180006571231392,4.439610391029028
136.0,2.180006140054689,4.439608602517295
137.0,2.1800057053929556,4.439606822413888
138.0,2.1800052672934225,4.43960505061647
139.0,2.180004825802717,4.43960328702401
140.0,2.180004380966874,4.439601531536756
141.0,2.1800039328313408,4.439599784056225
142.0,2.180003481440986,4.439598044485185
143.0,2.1800030268401067,4.439596312727639
144.0,2.180002569072436,4.439594588688812
145.0,2.1800021081811485,4.43959287227513
146.0,2.18000164420887,4.439591163394209
147.0,2.180001177197683,4.43958946195484
148.0,2.1800007071891336,4.439587767866971
149.0,2.180000234224238,4.439586081041695
150.0,2.1799997583434902,4.439584401391234
151.0,2.179999279586869,4.439582728828925
152.0,2.179998797993842,4.439581063269206
153.0,2.179998313603375,4.439579404627603
154.0,2.1799978264539375,4.439577752820713
155.0,2.1799973365835075,4.439576107766195
156.0,2.17999684402958,4.439574469382752
157.0,2.1799963488291723,4.43957283759012
158.0,2.179995851018829,4.439571212309056
159.0,2.1799953506346297,4.439569593461321
160.0,2.179994847712193,4.439567980969672
161.0,2.1799943422866854,4.439566374757847
162.0,2.1799938343928233,4.439564774750552
163.0,2.179993324064881,4.439563180873448
164.0,2.1799928113366973,4.439561593053144
165.0,2.179992296241678,4.439560011217176
166.0,2.179991778812803,4.439558435294004
167.0,2.1799912590826325,4.439556865212998
168.0,2.179990737083312,4.43955530090442
169.0,2.179990212846576,4.439553742299421
170.0,2.179989686403755,4.439552189330026
171.0,2.1799891577857804,4.439550641929124
172.0,2.1799886270231883,4.439549100030454
173.0,2.1799880941461263,4.439547563568598
174.0,2.1799875591843567,4.439546032478969
175.0,2.1799870221672633,4.439544506697799
176.0,2.1799864831238542,4.439542986162131
177.0,2.179985942082768,4.4395414708098055
178.0,2.1799853990722786,4.439539960579455
179.0,2.179984854120298,4.4395384554104895
180.0,2.179984307254384,4.439536955243089
181.0,2.179983758501741,4.439535460018191
182.0,2.1799832078892276,4.439533969677486
183.0,2.17998265544336,4.4395324841634025
184.0,2.179982101190315,4.439531003419101
185.0,2.1799815451559366,4.439529527388464
186.0,2.1799809873657385,4.439528056016085
187.0,2.1799804278449093,4.439526589247262
188.0,2.179979866618316,4.439525127027988
189.0,2.1799793037105086,4.439523669304939
190.0,2.1799787391457235,4.439522216025471
191.0,2.1799781729478878,4.439520767137606
192.0,2.179977605140624,4.439519322590027
193.0,2.179977035747252,4.439517882332069
194.0,2.1799764647907955,4.439516446313708
195.0,2.1799758922939834,4.439515014485556
